metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-15.409458249598263,-15.409458249598263,0.0
normalization_dose_gy,1.9140743938881628,2.0001456602684575,0.08607126638029472
peak_position_mm,-10.0,-13.107091448210474,-3.1070914482104737
peak_relative_dose,1.004088454522366,1.005181357172684,0.0010929026503179173
fwhm_mm,74.59491192342841,73.41232676564886,-1.182585157779556
left_50_mm,-53.33207522288784,-52.75642881536158,0.5756464075262571
right_50_mm,21.262836700540582,20.65589795028728,-0.6069387502533026
left_penumbra_mm,12.761259493456954,12.121786034812558,-0.639473458644396
right_penumbra_mm,10.750188617505696,9.987041141944289,-0.7631474755614072
flatness_percent,7.3162560201019025,8.790604310818283,1.4743482907163807
symmetry_percent,5.088105916863849,5.4196114188063245,0.3315055019424751
