crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-75,0.0099345,0.0082678,0.0080458,0.0078238,0.0084586,0.0090934,0.0103767,0.01166,0.0127235,0.013787,0.014866,0.015945,0.017811,0.019677,0.0221855,0.024694,0.02767,0.030646,0.0334395,0.036233,0.0379385,0.039644,0.0409375,0.042231,0.0432595,0.044288,0.0441775,0.044067,0.0430545,0.042042,0.04062,0.039198,0.0373635,0.035529,0.0328595,0.03019,0.027171,0.024152,0.021662,0.019172,0.017307,0.015442,0.01431,0.013178,0.012097,0.011016,0.0098906,0.0087652,0.00805225,0.0073393,0.00741905,0.0074988,0.00910585
-70,0.010406,0.00909705,0.0077881,0.0083354,0.0088827,0.01008385,0.011285,0.0122,0.013115,0.01448,0.015845,0.0173455,0.018846,0.02209,0.025334,0.0308015,0.036269,0.041373,0.046477,0.049475,0.052473,0.0544505,0.056428,0.057749,0.05907,0.0597105,0.060351,0.059796,0.059241,0.057488,0.055735,0.0535935,0.051452,0.048557,0.045662,0.040358,0.035054,0.030006,0.024958,0.0218195,0.018681,0.016641,0.014601,0.0136065,0.012612,0.011696,0.01078,0.00929315,0.0078063,0.007517,0.0072277,0.0083944,0.0095611
-65,0.010715,0.0084153,0.0084624,0.0085095,0.00946625,0.010423,0.011537,0.012651,0.014142,0.015633,0.0166595,0.017686,0.0214845,0.025283,0.035456,0.045629,0.0581425,0.070656,0.0779365,0.085217,0.08828,0.091343,0.0935385,0.095734,0.0969895,0.098245,0.0979775,0.09771,0.0964785,0.095247,0.092827,0.090407,0.0868655,0.083324,0.0760215,0.068719,0.056541,0.044363,0.0345225,0.024682,0.020886,0.01709,0.015868,0.014646,0.013056,0.011466,0.01053215,0.0095983,0.00869405,0.0077898,0.0070701,0.0063504,0.009018
-60,0.011024,0.009884,0.008744,0.00913685,0.0095297,0.01094685,0.012364,0.0139215,0.015479,0.0166795,0.01788,0.020688,0.023496,0.0380355,0.052575,0.0957525,0.13893,0.166805,0.19468,0.202035,0.20939,0.2127,0.21601,0.21831,0.22061,0.22121,0.22181,0.220475,0.21914,0.216415,0.21369,0.209495,0.2053,0.197075,0.18885,0.16196,0.13507,0.0932695,0.051469,0.036891,0.022313,0.019694,0.017075,0.015934,0.014793,0.0128215,0.01085,0.00961735,0.0083847,0.0077671,0.0071495,0.0078122,0.0084749
-55,0.011369,0.0092786,0.00931675,0.0093549,0.01038695,0.011419,0.0131025,0.014786,0.0172165,0.019647,0.0207735,0.0219,0.032766,0.043632,0.124776,0.20592,0.36792,0.52992,0.55949,0.58906,0.598155,0.60725,0.61079,0.61433,0.61671,0.61909,0.618455,0.61782,0.61406,0.6103,0.604485,0.59867,0.589205,0.57974,0.54918,0.51862,0.361735,0.20485,0.123973,0.043096,0.031745,0.020394,0.019688,0.018982,0.0163635,0.013745,0.0111832,0.0086214,0.00747105,0.0063207,0.00668865,0.0070566,0.00874495
-50,0.011714,0.0104023,0.0090906,0.0098088,0.010527,0.01225,0.013973,0.0158155,0.017658,0.02042,0.023182,0.028051,0.03292,0.0826,0.13228,0.48959,0.8469,1.0161,1.1853,1.20735,1.2294,1.24045,1.2515,1.25605,1.2606,1.26175,1.2629,1.2605,1.2581,1.2504,1.2427,1.23045,1.2182,1.1966,1.175,1.009275,0.84355,0.4876,0.13165,0.081686,0.031722,0.026726,0.02173,0.0190685,0.016407,0.0142025,0.011998,0.00932825,0.0066585,0.0067129,0.0067673,0.00789115,0.009015
-45,0.0121915,0.0098426,0.0101618,0.010481,0.01164,0.012799,0.014437,0.016075,0.0182155,0.020356,0.02381,0.027264,0.046985,0.066706,0.283273,0.49984,0.96192,1.424,1.4877,1.5514,1.56735,1.5833,1.5923,1.6013,1.60715,1.613,1.6116,1.6102,1.60425,1.5983,1.5881,1.5779,1.5596,1.5413,1.4795,1.4177,0.962335,0.50697,0.286532,0.066094,0.046056,0.026018,0.021705,0.017392,0.0158775,0.014363,0.0125595,0.010756,0.0080332,0.0053104,0.00551775,0.0057251,0.0091772
-40,0.012669,0.01127095,0.0098729,0.01082545,0.011778,0.013719,0.01566,0.0169745,0.018289,0.021318,0.024347,0.0331645,0.041982,0.112936,0.18389,0.670345,1.1568,1.3833,1.6098,1.6391,1.6684,1.68125,1.6941,1.7014,1.7087,1.7107,1.7127,1.70915,1.7056,1.69715,1.6887,1.67425,1.6598,1.62995,1.6001,1.38045,1.1608,0.672175,0.18355,0.1120205,0.040491,0.0317165,0.022942,0.0190965,0.015251,0.0146185,0.013986,0.01128535,0.0085847,0.00679025,0.0049958,0.0071676,0.0093394
-35,0.012962,0.010575,0.0108825,0.01119,0.0125455,0.013901,0.0155515,0.017202,0.0189325,0.020663,0.0263775,0.032092,0.0563815,0.080671,0.3193855,0.5581,1.05005,1.542,1.61175,1.6815,1.7018,1.7221,1.7311,1.7401,1.74495,1.7498,1.7499,1.75,1.74325,1.7365,1.7251,1.7137,1.69395,1.6742,1.60425,1.5343,1.048975,0.56365,0.3211645,0.078679,0.0546685,0.030658,0.0247105,0.018763,0.016358,0.013953,0.0129355,0.011918,0.0093068,0.0066956,0.0055059,0.0043162,0.00842405
-30,0.013255,0.0119155,0.010576,0.0115005,0.012425,0.014369,0.016313,0.017657,0.019001,0.022672,0.026343,0.0368605,0.047378,0.123129,0.19888,0.70089,1.2029,1.4337,1.6645,1.6946,1.7247,1.74045,1.7562,1.7638,1.7714,1.7718,1.7722,1.77035,1.7685,1.75975,1.751,1.7349,1.7188,1.687,1.6552,1.42895,1.2027,0.701635,0.20057,0.122771,0.044972,0.0350665,0.025161,0.0214015,0.017642,0.015251,0.01286,0.011055,0.00925,0.0081643,0.0070786,0.00729365,0.0075087
