x_aligned_mm,mcc_dose_gy,csv_dose_gy,mcc_relative,csv_relative,difference_percent_points,abs_difference_percent_points,region
-99.0,0.018502599999999998,0.0094714693626339,0.00977567476281701,0.004757827492766017,-0.5017847270050994,0.5017847270050994,tail
-98.0,0.018707199999999997,0.009634473120853224,0.00988377324932552,0.0048397095886253665,-0.5044063660700154,0.5044063660700154,tail
-97.0,0.0189118,0.009808358499344721,0.009991871735834032,0.004927057876699943,-0.5064813859134089,0.5064813859134089,tail
-96.0,0.0191164,0.009546224574239634,0.010099970222342542,0.00479537946990786,-0.5304590752434681,0.5304590752434681,tail
-95.0,0.019320999999999998,0.009161169857310122,0.010208068708851051,0.004601953946550944,-0.5606114762300107,0.5606114762300107,tail
-94.0,0.019970799999999997,0.009717643426384853,0.010551384429932332,0.0048814887414779596,-0.5669895688454372,0.5669895688454372,tail
-93.0,0.0206206,0.010539548827229612,0.010894700151013612,0.00529435858910893,-0.5600341561904681,0.5600341561904681,tail
-92.0,0.0212704,0.010937952720912015,0.011238015872094893,0.005494489838655626,-0.5743526033439268,0.5743526033439268,tail
-91.0,0.0219202,0.011216964789118267,0.011581331593176173,0.005634646686352597,-0.5946684906823576,0.5946684906823576,tail
-90.0,0.02257,0.011557275879209485,0.011924647314257453,0.005805596028903066,-0.6119051285354388,0.6119051285354388,tail
-89.0,0.0236166,0.011914868140675475,0.012477608584930995,0.005985226266584596,-0.6492382318346399,0.6492382318346399,tail
-88.0,0.0246632,0.012962970961654115,0.013030569855604537,0.006511722444312933,-0.6518847411291604,0.6518847411291604,tail
-87.0,0.0257098,0.014205739716086371,0.013583531126278081,0.007136005659577863,-0.6447525466700218,0.6447525466700218,tail
-86.0,0.0267564,0.014948901124599784,0.014136492396951623,0.0075093198356166015,-0.6627172561335022,0.6627172561335022,tail
-85.0,0.027803,0.015551215258565773,0.014689453667625165,0.007811881839055106,-0.6877571828570059,0.6877571828570059,tail
-84.0,0.0293782,0.01739404938260371,0.015521695778808964,0.008737597430190888,-0.6784098348618076,0.6784098348618076,tail
-83.0,0.030953400000000002,0.01958660586571123,0.016353937889992762,0.009838989950756499,-0.6514947939236263,0.6514947939236263,tail
-82.0,0.032528600000000005,0.021581590249630033,0.017186180001176565,0.010841135572099482,-0.6345044429077082,0.6345044429077082,tail
-81.0,0.034103800000000004,0.023520875909491524,0.018018422112360363,0.01181530191055766,-0.6203120201802702,0.6203120201802702,tail
-80.0,0.035679,0.026133443568370295,0.018850664223544162,0.013127679722089544,-0.5722984501454618,0.5722984501454618,tail
-79.0,0.0385435,0.028935820154876054,0.020364095868723182,0.014535404738966237,-0.5828691129756945,0.5828691129756945,tail
-78.0,0.041408,0.032176353251907715,0.021877527513902203,0.016163230039346863,-0.571429747455534,0.571429747455534,tail
-77.0,0.044272500000000006,0.035540409653464215,0.02339095915908122,0.017853105118042157,-0.5537854041039063,0.5537854041039063,tail
-76.0,0.047137000000000005,0.039460039859724794,0.02490439080426024,0.01982206301072088,-0.5082327793539361,0.5082327793539361,tail
-75.0,0.050001500000000004,0.043536295177368775,0.02641782244943926,0.021869698797237002,-0.45481236522022583,0.45481236522022583,tail
-74.0,0.056284,0.04802761680732302,0.02973712226121695,0.024125835908776844,-0.5611286352440105,0.5611286352440105,tail
-73.0,0.0625665,0.052635952246867734,0.03305642207299464,0.026440752867348573,-0.6615669205646068,0.6615669205646068,tail
-72.0,0.06884900000000001,0.058016911172469356,0.03637572188477233,0.029143783762921528,-0.7231938121850804,0.7231938121850804,tail
-71.0,0.0751315,0.06361568497439611,0.039695021696550016,0.03195623016386491,-0.7738791532685106,0.7738791532685106,tail
-70.0,0.081414,0.07336748728114832,0.04301432150832771,0.03685487802331194,-0.6159443485015764,0.6159443485015764,tail
-69.0,0.0960662,0.08429009452261704,0.050755673629637545,0.042341659327928174,-0.841401430170937,0.841401430170937,tail
