metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-25.38643639503725,-25.38643639503725,0.0
normalization_dose_gy,1.8927184515566053,1.9907130674734814,0.09799461591687608
peak_position_mm,-20.0,-24.7800823508075,-4.7800823508075005
peak_relative_dose,1.0017337752694786,1.0000600112286893,-0.0016737640407893384
fwhm_mm,54.391695489858826,52.59300828169268,-1.7986872081661431
left_50_mm,-53.21273589367395,-52.327608132515735,0.8851277611582162
right_50_mm,1.178959596184872,0.2654001491769521,-0.9135594470079199
left_penumbra_mm,12.573497101825971,11.770106454279606,-0.8033906475463652
right_penumbra_mm,9.953638489704277,9.097328345699935,-0.8563101440043415
flatness_percent,7.144370823502822,12.226805091404257,5.082434267901435
symmetry_percent,7.073260095761668,5.885188733147517,-1.188071362614151
