Depth [mm],Dose [Gy],PDD [%]
0,0.8921992058,50.86447684
0.1,0.9595553289,54.70446452
0.2,1.026911452,58.5444522
0.3,1.094267575,62.38443989
0.4,1.161623698,66.22442757
0.5,1.228979821,70.06441525
0.6,1.296335944,73.90440293
0.7,1.348540541,76.88059869
0.8,1.354305093,77.20923709
0.9,1.360069645,77.53787549
1,1.365834197,77.86651389
1.1,1.371598749,78.19515229
1.2,1.377363301,78.52379069
1.3,1.383127852,78.8524291
1.4,1.388892404,79.1810675
1.5,1.394656956,79.5097059
1.6,1.400421508,79.8383443
1.7,1.40618606,80.1669827
1.8,1.411950612,80.4956211
1.9,1.417715164,80.8242595
2,1.423479716,81.1528979
2.1,1.429244268,81.4815363
2.2,1.43500882,81.8101747
2.3,1.440773372,82.1388131
2.4,1.446537924,82.4674515
2.5,1.452302476,82.7960899
2.6,1.458067028,83.12472831
2.7,1.463353672,83.42612104
2.8,1.467175506,83.64400469
2.9,1.470997341,83.86188834
3,1.474819175,84.07977199
3.1,1.47864101,84.29765563
3.2,1.482462845,84.51553928
3.3,1.486284679,84.73342293
3.4,1.490106514,84.95130658
3.5,1.493928349,85.16919023
3.6,1.497750183,85.38707388
3.7,1.501572018,85.60495753
3.8,1.505393853,85.82284118
3.9,1.509215687,86.04072483
4,1.513037522,86.25860848
4.1,1.516859356,86.47649213
4.2,1.520681191,86.69437578
4.3,1.524503026,86.91225943
4.4,1.52832486,87.13014308
4.5,1.532146695,87.34802672
4.6,1.53596853,87.56591037
4.7,1.539831163,87.78611997
4.8,1.543818846,88.01345867
4.9,1.547806529,88.24079737
5,1.551794212,88.46813607
5.1,1.555781895,88.69547477
5.2,1.559769578,88.92281347
5.3,1.563757261,89.15015217
5.4,1.567744944,89.37749087
5.5,1.571732627,89.60482957
5.6,1.57572031,89.83216827
5.7,1.579707993,90.05950697
5.8,1.583695675,90.28684567
5.9,1.587683358,90.51418437
6,1.591671041,90.74152307
6.1,1.595658724,90.96886177
6.2,1.599646407,91.19620047
6.3,1.60363409,91.42353917
6.4,1.607621773,91.65087787
6.5,1.611609456,91.87821657
6.6,1.615597139,92.10555527
6.7,1.619377726,92.32108739
6.8,1.622523556,92.50043185
6.9,1.625669386,92.67977631
7,1.628815216,92.85912077
7.1,1.631961045,93.03846523
7.2,1.635106875,93.21780969
7.3,1.638252705,93.39715415
7.4,1.641398535,93.5764986
7.5,1.644544364,93.75584306
7.6,1.647690194,93.93518752
7.7,1.650836024,94.11453198
7.8,1.653981853,94.29387644
7.9,1.657127683,94.4732209
8,1.660273513,94.65256536
8.1,1.663419343,94.83190982
8.2,1.666565172,95.01125428
8.3,1.669711002,95.19059874
8.4,1.672856832,95.3699432
8.5,1.676002662,95.54928766
8.6,1.679148491,95.72863212
8.7,1.682173793,95.90110525
8.8,1.684829672,96.05251749
8.9,1.687485551,96.20392974
9,1.69014143,96.35534198
9.1,1.692797308,96.50675423
9.2,1.695453187,96.65816647
9.3,1.698109066,96.80957871
9.4,1.700764945,96.96099096
9.5,1.703420823,97.1124032
