metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-4.604315925462539,-4.604315925462539,0.0
normalization_dose_gy,1.7562640302121815,1.851378682656226,0.09511465244404449
peak_position_mm,0.0,0.673260964664936,0.673260964664936
peak_relative_dose,1.0060560198266622,1.0067898218865206,0.0007338020598584016
fwhm_mm,51.216611045171945,51.308701170091275,0.09209012491933066
left_50_mm,-30.841645744305062,-31.057438181566905,-0.21579243726184316
right_50_mm,20.374965300866887,20.25126298852437,-0.12370231234251605
left_penumbra_mm,12.27025521203069,11.674272244692453,-0.5959829673382373
right_penumbra_mm,9.187566512793964,8.733803492682839,-0.45376302011112557
flatness_percent,11.485132896916166,12.914999638300634,1.4298667413844672
symmetry_percent,7.259881332464402,7.85179214813263,0.5919108156682285
