metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-25.61184018769208,-25.61184018769208,0.0
normalization_dose_gy,1.888386847474462,1.9637326365652774,0.07534578909081535
peak_position_mm,-20.0,-18.971917486322244,1.0280825136777558
peak_relative_dose,1.0024958617625628,1.0104071228216527,0.007911261059089902
fwhm_mm,54.4985858411443,53.20001423681603,-1.2985716043282665
left_50_mm,-53.4387614816091,-52.76195083757368,0.6768106440354202
right_50_mm,1.0598243595351962,0.43806339924235715,-0.621760960292839
left_penumbra_mm,12.551861871812186,11.71348536242143,-0.8383765093907556
right_penumbra_mm,10.743187668211473,9.986826037000913,-0.7563616312105594
flatness_percent,7.999714754332173,12.381062266173807,4.381347511841634
symmetry_percent,6.159890753937014,5.767091327468565,-0.3927994264684491
