x_aligned_mm,mcc_dose_gy,csv_dose_gy,mcc_relative,csv_relative,difference_percent_points,abs_difference_percent_points,region
-99.0,0.0185095,0.007578926091665394,0.009678967645927397,0.0038016659252239062,-0.587730172070349,0.587730172070349,tail
-98.0,0.018715000000000002,0.008185379739869708,0.009786427482834826,0.004105869204385248,-0.5680558278449578,0.5680558278449578,tail
-97.0,0.0189205,0.009126279199661217,0.009893887319742257,0.004577833882769512,-0.5316053436972745,0.5316053436972745,tail
-96.0,0.019126,0.009562681982217842,0.010001347156649687,0.004796737929075347,-0.520460922757434,0.520460922757434,tail
-95.0,0.0193315,0.009790031181173588,0.010108806993557118,0.004910778585013065,-0.5198028408544053,0.5198028408544053,tail
-94.0,0.0199948,0.01000273773093622,0.010455659109472926,0.005017474340127211,-0.5438184769345715,0.5438184769345715,tail
-93.0,0.020658100000000002,0.010209376652455972,0.010802511225388733,0.00512112651159126,-0.5681384713797473,0.5681384713797473,tail
-92.0,0.0213214,0.010747307147654653,0.01114936334130454,0.005390957884664628,-0.5758405456639912,0.5758405456639912,tail
-91.0,0.021984700000000003,0.011422518409644408,0.011496215457220347,0.005729650677810712,-0.5766564779409635,0.5766564779409635,tail
-90.0,0.022648,0.011885644343399879,0.011843067573136155,0.005961959326839745,-0.588110824629641,0.588110824629641,tail
-89.0,0.0236833,0.012260886253538874,0.012384445525205559,0.0061501844614086296,-0.6234261063796929,0.6234261063796929,tail
-88.0,0.0247186,0.013136601056617058,0.012925823477274962,0.006589451857186195,-0.6336371620088768,0.6336371620088768,tail
-87.0,0.0257539,0.014219702065561826,0.013467201429344367,0.00713274626980873,-0.6334455159535637,0.6334455159535637,tail
-86.0,0.0267892,0.0150671229948636,0.01400857938141377,0.007557821172543428,-0.6450758208870343,0.6450758208870343,tail
-85.0,0.0278245,0.01581688269574509,0.014549957333483174,0.007933908216073484,-0.661604911740969,0.661604911740969,tail
-84.0,0.029382,0.016768704249184422,0.01536440354264776,0.008411351527017403,-0.6953052015630358,0.6953052015630358,tail
-83.0,0.030939499999999998,0.01780425629341267,0.016178849751812347,0.008930794898376816,-0.724805485343553,0.724805485343553,tail
-82.0,0.032497,0.019731173064533168,0.016993295960976935,0.00989735582546742,-0.7095940135509515,0.7095940135509515,tail
-81.0,0.0340545,0.02202745399375592,0.01780774217014152,0.011049193547300825,-0.6758548622840695,0.6758548622840695,tail
-80.0,0.035612,0.02510668483405671,0.01862218837930611,0.012593766857541112,-0.6028421521764996,0.6028421521764996,tail
-79.0,0.0385353,0.028510354847253484,0.020150837241746454,0.014301082135903092,-0.5849755105843362,0.5849755105843362,tail
-78.0,0.0414586,0.030889573467977854,0.0216794861041868,0.015494522242016927,-0.6184963862169872,0.6184963862169872,tail
-77.0,0.0443819,0.03284427941203784,0.02320813496662714,0.01647502249910976,-0.6733112467517381,0.6733112467517381,tail
-76.0,0.047305200000000006,0.036054093640582256,0.024736783829067487,0.018085097756655216,-0.6651686072412271,0.6651686072412271,tail
-75.0,0.0502285,0.039784000263226746,0.026265432691507832,0.019956056615479324,-0.6309376076028508,0.6309376076028508,tail
-74.0,0.0564884,0.04449998429807159,0.02953885280370648,0.022321641870214265,-0.7217210933492215,0.7217210933492215,tail
-73.0,0.0627483,0.04962457958058257,0.03281227291590513,0.024892190656474328,-0.7920082259430805,0.7920082259430805,tail
-72.0,0.0690082,0.055942456720463815,0.036085693028103785,0.02806130168248775,-0.8024391345616034,0.8024391345616034,tail
-71.0,0.0752681,0.06275480658888005,0.03935911314030243,0.03147844522660307,-0.788066791369936,0.788066791369936,tail
-70.0,0.081528,0.07052826432512024,0.04263253325250108,0.03537769019081129,-0.7254843061689796,0.7254843061689796,tail
-69.0,0.0962274,0.0786999864168302,0.05031912754270585,0.03947670858084636,-1.0842418961859488,1.0842418961859488,tail
-68.0,0.11092679999999999,0.09061554537244364,0.05800572183291061,0.04545367337950931,-1.2552048453401299,1.2552048453401299,tail
-67.0,0.1256262,0.10408247730657863,0.06569231612311538,0.052208822543401034,-1.3483493579714345,1.3483493579714345,tail
-66.0,0.1403256,0.11962111019863125,0.07337891041332015,0.060003157845765646,-1.3375752567554502,1.3375752567554502,tail
-65.0,0.155025,0.1360182155622487,0.08106550470352492,0.06822811161615831,-1.2837393087366602,1.2837393087366602,tail
-64.0,0.192304,0.15876363395939216,0.10055939891312148,0.0796374433644219,-2.092195554869958,2.092195554869958,low_dose
-63.0,0.22958299999999998,0.18413966946337715,0.12005329312271804,0.09236631924023522,-2.768697388248281,2.768697388248281,low_dose
-62.0,0.266862,0.21871012814236354,0.13954718733231458,0.10970721070555682,-2.983997662675776,2.983997662675776,low_dose
-61.0,0.304141,0.2570905764617417,0.15904108154191116,0.12895923148077656,-3.008185006113459,3.008185006113459,low_dose
-60.0,0.34142,0.3036428473408565,0.1785349757515077,0.15231032104180897,-2.622465470969873,2.622465470969873,low_dose
-59.0,0.42351,0.35358136210967694,0.22146138943389673,0.17735998476154027,-4.410140467235646,4.410140467235646,penumbra_or_shoulder
-58.0,0.5056,0.41834274499104757,0.2643878031162858,0.209844948936245,-5.454285418004079,5.454285418004079,penumbra_or_shoulder
-57.0,0.58769,0.4892464353206178,0.3073142167986748,0.24541095660519213,-6.190326019348269,6.190326019348269,penumbra_or_shoulder
-56.0,0.66978,0.5777104617282298,0.35024063048106385,0.28978540632726685,-6.0455224153797005,6.0455224153797005,penumbra_or_shoulder
-55.0,0.75187,0.6734511489187656,0.3931670441634529,0.3378099026408074,-5.535714152264548,5.535714152264548,penumbra_or_shoulder
-54.0,0.861336,0.783207355620348,0.45040888604622054,0.3928647251912078,-5.754416085501274,5.754416085501274,penumbra_or_shoulder
-53.0,0.9708019999999999,0.8987713202557815,0.5076507279289882,0.4508327778182744,-5.681795011071383,5.681795011071383,penumbra_or_shoulder
-52.0,1.080268,1.0230387524045472,0.564892569811756,0.5131665777130331,-5.172599209872287,5.172599209872287,penumbra_or_shoulder
-51.0,1.189734,1.1509127317428574,0.6221344116945235,0.5773094581282209,-4.482495356630267,4.482495356630267,penumbra_or_shoulder
-50.0,1.2992,1.2658778197605671,0.6793762535772913,0.6349771081911938,-4.439914538609746,4.439914538609746,penumbra_or_shoulder
-49.0,1.3704299999999998,1.3754937149834365,0.7166237678493899,0.689961549085791,-2.6662218763598866,2.6662218763598866,penumbra_or_shoulder
-48.0,1.44166,1.469296337477753,0.7538712821214884,0.737013892560343,-1.6857389561145353,1.6857389561145353,penumbra_or_shoulder
-47.0,1.5128899999999998,1.5565462481673433,0.791118796393587,0.7807793295676009,-1.0339466825986077,1.0339466825986077,penumbra_or_shoulder
-46.0,1.58412,1.6305324057465158,0.8283663106656856,0.8178915339624032,-1.047477670328234,1.047477670328234,high_dose
-45.0,1.6553499999999999,1.69902232272619,0.865613824937784,0.8522467685238511,-1.3367056413932987,1.3367056413932987,high_dose
-44.0,1.6842599999999999,1.746634075112118,0.8807314107528391,0.8761293047165224,-0.4602106036316722,0.4602106036316722,high_dose
-43.0,1.7131699999999999,1.7855943232874454,0.8958489965678942,0.8956721589593274,-0.01768376085667933,0.01768376085667933,high_dose
-42.0,1.74208,1.8146944663358002,0.9109665823829491,0.910269084817693,-0.06974975652561666,0.06974975652561666,high_dose
-41.0,1.77099,1.839708774125987,0.9260841681980042,0.9228165144164053,-0.3267653781598878,0.3267653781598878,high_dose
-40.0,1.7999,1.8619430419856964,0.9412017540130593,0.9339694478890664,-0.7232306123992838,0.7232306123992838,high_dose
-39.0,1.8112300000000001,1.8830253155186938,0.9471264253131136,0.9445445293646313,-0.2581895948482349,0.2581895948482349,high_dose
-38.0,1.82256,1.9033706264151962,0.9530510966131681,0.9547499429334979,0.16988463203297943,0.16988463203297943,high_dose
-37.0,1.83389,1.9234105543684772,0.9589757679132225,0.9648021733316425,0.5826405418420055,0.5826405418420055,high_dose
-36.0,1.8452199999999999,1.93273692600293,0.964900439213277,0.9694803756019701,0.457993638869314,0.457993638869314,high_dose
-35.0,1.85655,1.9376238088505855,0.9708251105133313,0.9719316854284274,0.11065749150961368,0.11065749150961368,high_dose
-34.0,1.86172,1.943699729771727,0.9735286013007348,0.9749794287697513,0.14508274690164802,0.14508274690164802,high_dose
-33.0,1.86689,1.9502683648801304,0.9762320920881383,0.9782743225271016,0.2042230438963233,0.2042230438963233,high_dose
-32.0,1.87206,1.9591865097205334,0.9789355828755418,0.9827477541117234,0.3812171236181605,0.3812171236181605,high_dose
-31.0,1.87723,1.9690782455702411,0.9816390736629453,0.987709548786368,0.6070475123422625,0.6070475123422625,high_dose
-30.0,1.8824,1.9774379860696951,0.9843425644503488,0.9919028791099659,0.756031465961704,0.756031465961704,high_dose
-29.0,1.8852900000000001,1.9851628975752582,0.98585380011294,0.9957777727942262,0.9923972681286197,0.9923972681286197,high_dose
-28.0,1.8881800000000002,1.989761121768955,0.987365035775531,0.9980842885224823,1.071925274695129,1.071925274695129,high_dose
-27.0,1.89107,1.9930637077219253,0.9888762714381222,0.9997408990146123,1.0864627576490093,1.0864627576490093,high_dose
-26.0,1.89396,1.9965733615403947,0.9903875071007132,1.0015013768408414,1.111386974012818,1.111386974012818,high_dose
-25.0,1.8968500000000001,2.0001688202437817,0.9918987427633044,1.0033048952645465,1.1406152501242106,1.1406152501242106,high_dose
-24.0,1.8988200000000002,1.9954401626945786,0.9929288930246554,1.0009329528469224,0.800405982226704,0.800405982226704,high_dose
-23.0,1.9007900000000002,1.9872621537196098,0.9939590432860064,0.9968307808927053,0.28717376066988987,0.28717376066988987,high_dose
-22.0,1.90276,1.9885716907914759,0.9949891935473575,0.997487657923002,0.24984643756444935,0.24984643756444935,high_dose
-21.0,1.90473,1.9938126819049031,0.9960193438087085,1.0001165920344228,0.4097248225714334,0.4097248225714334,high_dose
