crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00308235,0.0029947,0.00299815,0.0030016,0.00320295,0.0034043,0.00367525,0.0039462,0.00426745,0.0045887,0.0048453,0.0051019,0.00536915,0.0056364,0.0059783,0.0063202,0.0067542,0.0071882,0.00758715,0.0079861,0.00830685,0.0086276,0.0087766,0.0089256,0.0089801,0.0090346,0.00923325,0.0094319,0.00926265,0.0090934,0.008992,0.0088906,0.00858315,0.0082757,0.0077102,0.0071447,0.00685365,0.0065626,0.0062564,0.0059502,0.00543185,0.0049135,0.0046997,0.0044859,0.00422585,0.0039658,0.00365225,0.0033387,0.0030792,0.0028197,0.00274285,0.002666,0.0031418
-120,0.0033407,0.0031819,0.0030231,0.00323965,0.0034562,0.003782,0.0041078,0.0043083,0.0045088,0.00476175,0.0050147,0.0055228,0.0060309,0.006316,0.0066011,0.0069206,0.0072401,0.00777255,0.008305,0.0086531,0.0090012,0.00931445,0.0096277,0.00983885,0.01005,0.01012,0.01019,0.010148,0.010106,0.00998965,0.0098733,0.00954565,0.009218,0.00879895,0.0083799,0.0080414,0.0077029,0.00704505,0.0063872,0.0061655,0.0059438,0.00543765,0.0049315,0.00462665,0.0043218,0.00411815,0.0039145,0.00353525,0.003156,0.00294495,0.0027339,0.0030975,0.0034611
-115,0.0037178,0.0033555,0.0034217,0.0034879,0.00379845,0.004109,0.004451,0.004793,0.0050808,0.0053686,0.00580145,0.0062343,0.0067582,0.0072821,0.00767985,0.0080776,0.0086044,0.0091312,0.00948865,0.0098461,0.01022305,0.0106,0.0108245,0.011049,0.0112155,0.011382,0.0116325,0.011883,0.011722,0.011561,0.0113115,0.011062,0.010619,0.010176,0.0096539,0.0091318,0.00862395,0.0081161,0.00770035,0.0072846,0.0068303,0.006376,0.005914,0.005452,0.00493595,0.0044199,0.0040787,0.0037375,0.00346705,0.0031966,0.00300065,0.0028047,0.0035471
-110,0.0040949,0.0038293,0.0035637,0.00371915,0.0038746,0.0045592,0.0052438,0.0055561,0.0058684,0.0062824,0.0066964,0.00751015,0.0083239,0.00871875,0.0091136,0.0095618,0.01001,0.0107025,0.011395,0.0117915,0.012188,0.0125215,0.012855,0.0131585,0.013462,0.013636,0.01381,0.013886,0.013962,0.013663,0.013364,0.0131135,0.012863,0.0124085,0.011954,0.011155,0.010356,0.0098319,0.0093078,0.00891485,0.0085219,0.00755585,0.0065898,0.00614315,0.0056965,0.00518345,0.0046704,0.0041317,0.003593,0.00346415,0.0033353,0.0034842,0.0036331
-105,0.00444845,0.003892,0.00385085,0.0038097,0.00438025,0.0049508,0.00562995,0.0063091,0.00670005,0.007091,0.0077881,0.0084852,0.0090745,0.0096638,0.0099559,0.010248,0.0109405,0.011633,0.0122495,0.012866,0.013132,0.013398,0.0138355,0.014273,0.014499,0.014725,0.0148605,0.014996,0.014828,0.01466,0.014257,0.013854,0.013546,0.013238,0.01252,0.011802,0.011121,0.01044,0.0100416,0.0096432,0.00883315,0.0080231,0.0072808,0.0065385,0.0061699,0.0058013,0.0050881,0.0043749,0.00390145,0.003428,0.00359835,0.0037687,0.00406445
-100,0.004802,0.00440245,0.0040029,0.0041493,0.0042957,0.0052945,0.0062933,0.00679245,0.0072916,0.0078659,0.0084402,0.00900855,0.0095769,0.00997745,0.010378,0.0107465,0.011115,0.011975,0.012835,0.013239,0.013643,0.0140505,0.014458,0.0149615,0.015465,0.0154975,0.01553,0.0154845,0.015439,0.0152635,0.015088,0.0146025,0.014117,0.013606,0.013095,0.012278,0.011461,0.010825,0.010189,0.0096986,0.0092082,0.0085184,0.0078286,0.00728825,0.0067479,0.0062436,0.0057393,0.0047338,0.0037283,0.0038515,0.0039747,0.00423525,0.0044958
-95,0.0050312,0.0041199,0.00428655,0.0044532,0.0049548,0.0054564,0.00627135,0.0070863,0.00766635,0.0082464,0.00883045,0.0094145,0.00990725,0.0104,0.0107275,0.011055,0.0116555,0.012256,0.0130185,0.013781,0.014169,0.014557,0.0149625,0.015368,0.015413,0.015458,0.0154285,0.015399,0.01542,0.015441,0.0149845,0.014528,0.0139405,0.013353,0.0128555,0.012358,0.0115915,0.010825,0.0102646,0.0097042,0.0091369,0.0085696,0.0079812,0.0073928,0.00708065,0.0067685,0.0056994,0.0046303,0.0042838,0.0039373,0.00403135,0.0041254,0.0048473
-90,0.0052604,0.0048575,0.0044546,0.00447325,0.0044919,0.00554995,0.006608,0.00729745,0.0079869,0.0087226,0.0094583,0.01015715,0.010856,0.011549,0.012242,0.012743,0.013244,0.0137375,0.014231,0.0149765,0.015722,0.016166,0.01661,0.016985,0.01736,0.0173345,0.017309,0.0172875,0.017266,0.0169,0.016534,0.015944,0.015354,0.014743,0.014132,0.0133225,0.012513,0.0117035,0.010894,0.0102839,0.0096738,0.0091604,0.008647,0.00788345,0.0071199,0.0065281,0.0059363,0.0051764,0.0044165,0.00409195,0.0037674,0.0044831,0.0051988
-85,0.0055742,0.0046497,0.00454745,0.0044452,0.0051826,0.00592,0.00691985,0.0079197,0.0086595,0.0093993,0.01047515,0.011551,0.012775,0.013999,0.0145735,0.015148,0.0159745,0.016801,0.0176195,0.018438,0.0190005,0.019563,0.020265,0.020967,0.021272,0.021577,0.0216415,0.021706,0.021308,0.02091,0.0202045,0.019499,0.018775,0.018051,0.016946,0.015841,0.014691,0.013541,0.0125965,0.011652,0.0107515,0.009851,0.00916105,0.0084711,0.0078714,0.0072717,0.00625615,0.0052406,0.0046233,0.004006,0.00416915,0.0043323,0.005394
-80,0.005888,0.00516725,0.0044465,0.00479015,0.0051338,0.00617955,0.0072253,0.00842045,0.0096156,0.0101448,0.010674,0.012129,0.013584,0.014954,0.016324,0.0176325,0.018941,0.0205435,0.022146,0.023307,0.024468,0.025302,0.026136,0.026812,0.027488,0.0277875,0.028087,0.02775,0.027413,0.0267155,0.026018,0.02519,0.024362,0.0229595,0.021557,0.0198635,0.01817,0.0163345,0.014499,0.0130505,0.011602,0.0108185,0.010035,0.0094421,0.0088492,0.00764265,0.0064361,0.0056279,0.0048197,0.0045018,0.0041839,0.00488655,0.0055892
