Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
13.208,23106.03,0.2044012175,194.5124667,1.945124667,92.02089255
13.335,23130.28,0.2039456603,192.9974191,1.929974191,91.30414657
13.462,23096.51,0.2045801896,195.1076747,1.951076747,92.30247641
13.589,23077.66,0.2049347797,196.2869357,1.962869357,92.86036687
13.716,23091.29,0.2046783548,195.4341429,1.954341429,92.45692356
13.843,23052.8,0.2054028679,197.8436576,1.978436576,93.59682835
13.97,23036.82,0.2057040214,198.8452045,1.988452045,94.07064501
14.097,23049.26,0.2054695635,198.0654673,1.980654673,93.70176317
14.224,23004.97,0.2063048791,200.8434782,2.008434782,95.01599791
14.351,23043.04,0.2055867766,198.4552833,1.984552833,93.88617919
14.478,23059.43,0.2052779825,197.4283259,1.974283259,93.40034125
14.605,23008.08,0.2062461716,200.6482345,2.006482345,94.92363108
14.732,23078.54,0.2049182194,196.2318612,1.962318612,92.83431198
14.859,23005.36,0.2062975166,200.8189928,2.008189928,95.00441424
14.986,23022,0.2059835008,199.7746696,1.997746696,94.5103608
15.113,22999.92,0.2064002249,201.16057,2.0116057,95.16600923
15.24,23000.83,0.2063830422,201.1034255,2.011034255,95.13897505
15.367,23009.44,0.2062205013,200.5628629,2.005628629,94.88324308
15.494,23015.52,0.2061057588,200.1812634,2.001812634,94.70271415
15.621,22990.45,0.2065790784,201.7553834,2.017553834,95.44740641
15.748,22996.45,0.2064657519,201.3784933,2.013784933,95.26910541
15.875,22966.02,0.2070408116,203.2909706,2.032909706,96.17386941
16.002,22933.37,0.2076586725,205.3457917,2.053457917,97.14597401
16.129,22973.65,0.20689655,202.8111993,2.028111993,95.94689686
16.256,22941.29,0.2075087155,204.8470795,2.048470795,96.91004085
16.383,22915.6,0.2079953175,206.4653727,2.064653727,97.67563077
16.51,22942.94,0.207477481,204.7432028,2.047432028,96.86089836
16.637,22950.74,0.2073298573,204.2522504,2.042522504,96.62863625
16.764,22911.74,0.208068478,206.7086829,2.067086829,97.79073713
16.891,22928.13,0.2077579149,205.6758424,2.056758424,97.30211599
17.018,22973.06,0.2069077035,202.8482926,2.028482926,95.96444513
17.145,22938.87,0.2075545302,204.9994455,2.049994455,96.9821229
17.272,22977.3,0.2068275558,202.5817451,2.025817451,95.83834556
17.399,22953.46,0.2072783901,204.0810857,2.040810857,96.54766084
17.526,22940.03,0.2075325688,204.9264085,2.049264085,96.94757022
17.653,22956.52,0.2072204967,203.8885497,2.038885497,96.45657498
17.78,22958.24,0.2071879588,203.7803381,2.037803381,96.40538172
17.907,22924.47,0.2078272465,205.9064187,2.059064187,97.41119816
18.034,22957.41,0.2072036599,203.8325555,2.038325555,96.43008496
18.161,22967.43,0.2070141489,203.2022984,2.032022984,96.13191991
18.288,22932.15,0.2076817765,205.4226288,2.054226288,97.18232449
18.415,22939.66,0.2075395736,204.9497044,2.049497044,96.95859114
18.542,22947.91,0.2073834124,204.4303587,2.044303587,96.71289658
18.669,22944.59,0.2074462487,204.6393335,2.046393335,96.81175941
18.796,22946.7,0.2074063125,204.5065177,2.045065177,96.74892626
18.923,22913.92,0.2080271578,206.5712643,2.065712643,97.72572649
19.05,22954.79,0.2072532263,203.9973986,2.039973986,96.50806974
19.177,22906.26,0.2081723644,207.0541781,2.070541781,97.95418568
19.304,22910.8,0.2080862962,206.7679408,2.067679408,97.81877115
19.431,22961.69,0.207122701,203.5633102,2.035633102,96.30270912
19.558,22908.42,0.2081314135,206.9179876,2.069179876,97.88975604
19.685,22870.69,0.208847283,209.2987564,2.092987564,99.01606156
19.812,22851.41,0.2092135478,210.516844,2.10516844,99.59232032
19.939,22861.59,0.2090201185,209.8735557,2.098735557,99.28799036
20.066,22869.1,0.2088774768,209.3991719,2.093991719,99.06356659
20.193,22881.9,0.2086344671,208.5909938,2.085909938,98.68122984
20.32,22911.21,0.2080785243,206.7420939,2.067420939,97.8065434
20.447,22878.77,0.208693878,208.7885768,2.087885768,98.77470337
20.574,22879.3,0.2086838174,208.7551184,2.087551184,98.75887468
20.701,22906.48,0.2081681933,207.0403063,2.070403063,97.94762313
20.828,22915.51,0.2079970231,206.4710452,2.064710452,97.67831438
20.955,22904.96,0.2081970127,207.1361508,2.071361508,97.99296572
21.082,22837.78,0.2094726653,211.3785916,2.113785916,100
21.209,22930.58,0.2077115105,205.5215154,2.055215154,97.22910623
21.336,22956.57,0.2072195508,203.8854039,2.038854039,96.45508675
21.463,22909.41,0.2081126457,206.8555713,2.068555713,97.86022781
21.59,22964.95,0.2070610461,203.3582646,2.033582646,96.20570514
21.717,22930.51,0.2077128363,205.5259245,2.055259245,97.23119212
21.844,22929.43,0.2077332916,205.5939525,2.055939525,97.26337515
21.971,22960.1,0.2071527751,203.6633277,2.036633277,96.35002588
22.098,22954.74,0.2072541723,204.0005447,2.040005447,96.50955809
22.225,22961.75,0.2071215662,203.5595361,2.035595361,96.30092365
22.352,22960.38,0.2071474789,203.6457141,2.036457141,96.34169313
22.479,22984.21,0.2066969693,202.1474535,2.021474535,95.63288881
22.606,22944.82,0.2074418953,204.6248554,2.046248554,96.80491002
22.733,22999.35,0.206410988,201.1963649,2.011963649,95.18294327
22.86,23013.69,0.2061402916,200.2961092,2.002961092,94.75704596
22.987,23032.51,0.2057852819,199.1154529,1.991154529,94.19849539
23.114,23058.79,0.2052900362,197.468413,1.97468413,93.41930586
23.241,23057.42,0.2053158399,197.5542283,1.975542283,93.45990377
23.368,23069.64,0.2050857329,196.7889611,1.967889611,93.09786749
23.495,23071.51,0.2050505309,196.6718897,1.966718897,93.04248278
23.622,23097.09,0.2045692837,195.071405,1.95071405,92.28531777
23.749,23135.36,0.2038502886,192.6802413,1.926802413,91.15409456
23.876,23088.59,0.2047291386,195.6030347,1.956030347,92.53682371
24.003,23136.54,0.2038281383,192.6065761,1.926065761,91.11924468
24.13,23157.55,0.2034339399,191.2955897,1.912955897,90.49903693
24.257,23185.55,0.2029091478,189.5502874,1.895502874,89.67336094
24.384,23177.74,0.2030554636,190.03689,1.9003689,89.90356525
24.511,23206.75,0.2025122266,188.2302457,1.882302457,89.04886928
24.638,23239,0.2019091144,186.2244742,1.862244742,88.09996925
24.765,23252.52,0.2016565237,185.3844329,1.853844329,87.70255849
24.892,23274.36,0.2012488028,184.0284745,1.840284745,87.06107514
25.019,23351.18,0.1998177188,179.2691154,1.792691154,84.80949466
25.146,23355.36,0.1997399844,179.0105941,1.790105941,84.68719218
25.273,23343.33,0.1999637407,179.7547409,1.797547409,85.03923671
25.4,23307.39,0.2006329071,181.9801889,1.819801889,86.09206237
25.527,23358.88,0.1996745347,178.7929279,1.787929279,84.5842176
25.654,23345.74,0.1999189058,179.6056334,1.796056334,84.96869622
25.781,23420.25,0.1985350237,175.0032536,1.750032536,82.79138027
25.908,23416.08,0.1986123572,175.2604417,1.752604417,82.91305205
26.035,23433.31,0.1982929125,174.1980638,1.741980638,82.41045722
26.162,23500.47,0.1970500023,170.0645147,1.700645147,80.45493793
26.289,23524.13,0.1966129796,168.6111074,1.686111074,79.76735304
26.416,23562.2,0.1959107123,166.2755756,1.662755756,78.66244844
26.543,23531.24,0.196481737,168.1746337,1.681746337,79.56086397
26.67,23561.36,0.1959261953,166.3270675,1.663270675,78.68680847
26.797,23588.5,0.1954262255,164.6643168,1.646643168,77.90018638
26.924,23593.54,0.1953334426,164.3557484,1.643557484,77.75420735
27.051,23619.38,0.194858057,162.7747576,1.627747576,77.00626461
27.178,23663.35,0.194050323,160.088475,1.60088475,75.73542512
27.305,23696.54,0.1934416123,158.0640845,1.580640845,74.77771673
27.432,23760.52,0.1922706094,154.1696776,1.541696776,72.93533201
27.559,23801.24,0.1915269668,151.6965438,1.516965438,71.76532998
27.686,23835.13,0.1909090254,149.8744035,1.498744035,70.90330312
27.813,23866.64,0.190335268,149.2059902,1.492059902,70.58708694
27.94,23913.22,0.189488491,148.2195157,1.482195157,70.12040085
28.067,23945.77,0.1888977436,147.5313095,1.475313095,69.79482091
28.194,23987.54,0.1881408384,146.6495335,1.466495335,69.37766608
28.321,23994.84,0.188008692,146.4955861,1.464955861,69.30483593
28.448,24037.45,0.1872381565,145.5979311,1.455979311,68.88016898
28.575,24086.45,0.1863537545,144.5676244,1.445676244,68.39274653
28.702,24162.23,0.1849895363,142.9783436,1.429783436,67.64088194
28.829,24204.03,0.1842388678,142.1038332,1.421038332,67.22716435
28.956,24208.19,0.1841642311,142.0168832,1.420168832,67.18602964
29.083,24283.3,0.1828188451,140.4495415,1.404495415,66.44454409
29.21,24335.2,0.1818916305,139.3693591,1.393693591,65.93352623
29.337,24395.34,0.1808196751,138.1205573,1.381205573,65.34273705
29.464,24441.17,0.1800045586,137.1709666,1.371709666,64.8935001
29.591,24504.27,0.1788847812,135.8664534,1.358664534,64.27635473
