Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
0,17263.42,0.3309997138,300,3,158.2963976
0.127,22804.04,0.2101147562,213.5139947,2.135139947,112.661654
0.254,22040.22,0.2249106251,256.1034742,2.561034742,135.1341913
0.381,23608.03,0.195066802,163.4689812,1.634689812,86.25516951
0.508,23987.12,0.1881484426,146.6583921,1.466583921,77.38498385
0.635,24066.23,0.1867184874,144.9925294,1.449925294,76.50598361
0.762,24171.96,0.1848146834,142.7746443,1.427746443,75.33570623
0.889,24266.91,0.1831120709,140.7911424,1.407911424,74.28910218
1.016,24517.63,0.1786480636,135.5906831,1.355906831,71.54505563
1.143,24651.78,0.176278267,132.8299281,1.328299281,70.08833039
1.27,24779.1,0.174041022,130.2235924,1.302235924,68.7130852
1.397,25012.4,0.169971185,125.4823319,1.254823319,66.21133701
1.524,25285.09,0.1652620465,119.9963008,1.199963008,63.31660715
1.651,25394.26,0.1633909885,117.816564,1.17816564,62.16645887
1.778,25554.44,0.1606601821,114.6352413,1.146352413,60.48781913
1.905,25582.72,0.1601798328,114.0756461,1.140756461,60.19254613
2.032,25632.43,0.1593367703,113.093499,1.13093499,59.67431161
2.159,25695.24,0.1582738719,111.8552483,1.118552483,59.02094288
2.286,25708.48,0.1580501504,111.5946182,1.115946182,58.8834202
2.413,25771.8,0.156981798,110.3500138,1.103500138,58.22669889
2.54,25779.46,0.1568527344,110.1996579,1.101996579,58.14736287
2.667,25803.38,0.1564499522,109.7304265,1.097304265,57.89977074
2.794,25836.28,0.1558965678,109.0857472,1.090857472,57.55960273
2.921,25782.93,0.1567942808,110.1315609,1.101315609,58.11143121
3.048,25801.14,0.156487655,109.7743494,1.097743494,57.92294688
3.175,25720.08,0.1578542353,111.3663819,1.113663819,58.76299025
3.302,25703.37,0.1581364824,111.6951929,1.116951929,58.93648891
3.429,25658.94,0.1588878391,112.5705051,1.125705051,59.39835148
3.556,25576.72,0.1602817013,114.1943204,1.141943204,60.25516517
3.683,25492.19,0.1617194036,115.8692085,1.158692085,61.13892766
3.81,25436.17,0.1626748315,116.9822585,1.169822585,61.72623371
3.937,25376.12,0.163701331,118.1781054,1.181781054,62.35722786
4.064,25277.71,0.1653888233,120.1439926,1.201439926,63.39453741
4.191,25254.65,0.1657851963,120.6057574,1.206057574,63.63818978
4.318,25152.66,0.16754263,122.6531248,1.226531248,64.7184927
4.445,25137.75,0.1678001476,122.9531264,1.229531264,64.87678995
4.572,25054.86,0.16923457,124.6241934,1.246241934,65.75853624
4.699,24951.69,0.1710265842,126.7118461,1.267118461,66.86009594
4.826,24854.39,0.1727234416,128.6886435,1.286886435,67.90316225
4.953,24821.45,0.1732994022,129.3596234,1.293596234,68.25720795
5.08,24730.97,0.1748853997,131.2072718,1.312072718,69.2321282
5.207,24695.35,0.1755113647,131.9365056,1.319365056,69.61691185
5.334,24583.81,0.1774773596,134.2268416,1.342268416,70.8254183
5.461,24479.01,0.1793327006,136.3882685,1.363882685,71.96590525
5.588,24399.84,0.1807395718,138.027239,1.38027239,72.83071571
5.715,24392.94,0.1808624028,138.1703341,1.381703341,72.90622049
5.842,24337.22,0.1818555823,139.327364,1.39327364,73.51673269
5.969,24276.63,0.1829381511,140.58853,1.4058853,74.18219283
6.096,24198.51,0.1843379248,142.2192322,1.422192322,75.04264042
6.223,24201.47,0.1842848045,142.1573483,1.421573483,75.0099871
6.35,24065.59,0.1867300369,145.0059842,1.450059842,76.51308312
6.477,24100.24,0.1861051829,144.2780446,1.442780446,76.12898237
6.604,24045.57,0.1870914739,145.4270494,1.454270494,76.73526015
6.731,24020.51,0.1875443263,145.9546115,1.459546115,77.0136307
6.858,23984.6,0.1881940704,146.7115474,1.467115474,77.41303148
6.985,23939.68,0.1890082094,147.6599995,1.476599995,77.91348663
7.112,23893.51,0.1898465973,148.6367008,1.486367008,78.42884763
7.239,23879.05,0.1901095054,148.9429824,1.489429824,78.59045854
7.366,23824.97,0.1910941879,150.2572501,1.502572501,79.28393805
7.493,23784.68,0.1918292376,152.7018064,1.527018064,80.57381955
7.62,23758.2,0.1923130164,154.3107106,1.543107106,81.42276536
7.747,23783.04,0.191859184,152.8013995,1.528013995,80.6263703
7.874,23771.11,0.1920770886,153.5260852,1.535260852,81.00875408
8.001,23777.74,0.1919559764,153.1233021,1.531233021,80.79622374
8.128,23738.87,0.1926665082,155.4863191,1.554863191,82.04308066
8.255,23712.1,0.1931565325,157.115994,1.57115994,82.90298621
8.382,23709.35,0.1932069025,157.2835097,1.572835097,82.99137665
8.509,23678.82,0.1937664942,159.1445449,1.591445449,83.97336053
8.636,23679.47,0.1937545727,159.1048975,1.591048975,83.95244038
8.763,23680.22,0.1937408175,159.0591518,1.590591518,83.92830246
8.89,23673.66,0.1938611443,159.4593231,1.594593231,84.13945471
9.017,23626.72,0.1947231158,162.3259835,1.623259835,85.65206145
9.144,23625.84,0.1947392919,162.3797801,1.623797801,85.68044748
9.271,23614.81,0.1949420947,163.0542419,1.630542419,86.03633036
9.398,23597.61,0.1952585311,164.1066153,1.641066153,86.59162008
9.525,23601.7,0.1951832646,163.8563012,1.638563012,86.45954068
9.652,23593.82,0.1953282885,164.3386076,1.643386076,86.71403194
9.779,23592.55,0.1953516662,164.4163549,1.644163549,86.75505562
9.906,23564.29,0.1958721915,166.1474669,1.661474669,87.66848493
10.033,23519.76,0.1966936645,168.8794415,1.688794415,89.11002409
10.16,23518.59,0.1967152692,168.9512923,1.689512923,89.14793649
10.287,23565.42,0.1958513659,166.078207,1.66078207,87.63193967
10.414,23545.61,0.1962166041,167.2928805,1.672928805,88.2728678
10.541,23529.81,0.19650813,168.262409,1.68262409,88.784444
10.668,23546.64,0.1961976063,167.2296997,1.672296997,88.23953013
10.795,23544.55,0.196236156,167.3579045,1.673579045,88.30717799
10.922,23577.93,0.1956208763,165.3116676,1.653116676,87.22747154
11.049,23523.93,0.1966166719,168.6233871,1.686233871,88.97491577
11.176,23508.53,0.196901077,169.5692337,1.695692337,89.47399612
11.303,23483.24,0.1973685337,171.1238553,1.711238553,90.2942995
11.43,23506.89,0.1969313753,169.6699967,1.696699967,89.5271642
11.557,23451.29,0.1979598131,173.0902746,1.730902746,91.33188976
11.684,23484.68,0.1973419034,171.035291,1.71035291,90.24756812
11.811,23461.05,0.1977791053,172.4892941,1.724892941,91.0147796
11.938,23449.55,0.1979920374,173.1974428,1.731974428,91.38843761
12.065,23450.97,0.1979657392,173.1099831,1.731099831,91.34228905
12.192,23472.5,0.1975672026,171.784569,1.71784569,90.64292811
12.319,23460.12,0.1977963211,172.5465488,1.725465488,91.04499035
12.446,23471.65,0.1975829298,171.836873,1.71836873,90.67052657
12.573,23449.12,0.1980000012,173.2239282,1.732239282,91.40241272
12.7,23465.76,0.1976919258,172.1993611,1.721993611,90.86179514
12.827,23443.17,0.1981102135,173.5904613,1.735904613,91.59581561
12.954,23470.28,0.1976082796,171.9211787,1.719211787,90.71501091
13.081,23427.57,0.1983993061,174.5518975,1.745518975,92.10312189
13.208,23441.23,0.1981461543,173.7099897,1.737099897,91.65888531
13.335,23434.94,0.1982627044,174.0976007,1.740976007,91.86341011
13.462,23438.51,0.1981965505,173.8775925,1.738775925,91.74732173
13.589,23437.66,0.1982123005,173.9299724,1.739299724,91.77496022
13.716,23444.51,0.1980853901,173.5079062,1.735079062,91.55225505
13.843,23406.51,0.1987898868,175.8508523,1.758508523,92.78852147
13.97,23352.21,0.1997985629,179.2054085,1.792054085,94.55856865
14.097,23408,0.1987622416,175.7589125,1.757589125,92.74000902
14.224,23382.47,0.1992361645,177.3350392,1.773350392,93.57165957
14.351,23377.62,0.1993262554,177.6346545,1.776346545,93.72975301
14.478,23368.72,0.1994916254,178.1846258,1.781846258,94.01994794
14.605,23414.39,0.1986437025,175.3646868,1.753646868,92.53199399
14.732,23382.62,0.1992333785,177.3257737,1.773257737,93.56677061
14.859,23367,0.1995235918,178.2909366,1.782909366,94.0760433
14.986,23396.74,0.1989712014,176.4538508,1.764538508,93.10669642
15.113,23342.23,0.1999842063,179.8228033,1.798228033,94.88433994
15.24,23354.76,0.1997511416,179.0476996,1.790476996,94.47535282
15.367,23336.74,0.2000863627,180.162545,1.80162545,95.06360618
15.494,23335.96,0.2001008786,180.2108207,1.802108207,95.08907912
15.621,23312.49,0.2005378875,181.6641819,1.816641819,95.85595193
15.748,23336.04,0.2000993898,180.2058693,1.802058693,95.08646647
15.875,23359.15,0.1996695149,178.7762333,1.787762333,94.33211235
16.002,23339.05,0.2000433759,180.0195838,1.800195838,94.98817208
16.129,23340.44,0.2000175115,179.9335664,1.799335664,94.94278459
16.256,23338.11,0.2000608679,180.0777568,1.800777568,95.0188673
16.383,23310,0.2005842768,181.8184591,1.818184591,95.93735698
16.51,23291.9,0.2009216335,182.9404068,1.829404068,96.52935793
16.637,23304.73,0.2006824746,182.1450357,1.821450357,96.10967665
16.764,23304.03,0.2006955196,182.1884195,1.821884195,96.13256835
16.891,23272.2,0.2012891098,184.1625235,1.841625235,97.17421352
17.018,23304.52,0.2006863881,182.1580507,1.821580507,96.11654409
