crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-125,0.00431345,0.0043135,0.00453155,0.0047496,0.00506925,0.0053889,0.0056887,0.0059885,0.0063297,0.0066709,0.00711695,0.007563,0.00780315,0.0080433,0.0084586,0.0088739,0.0092239,0.0095739,0.00997345,0.010373,0.01079,0.011207,0.0114195,0.011632,0.01168,0.011728,0.011895,0.012062,0.011888,0.011714,0.0115575,0.011401,0.011024,0.010647,0.01015365,0.0096603,0.00933245,0.0090046,0.0086033,0.008202,0.00773575,0.0072695,0.00700825,0.006747,0.0063271,0.0059072,0.00555825,0.0052093,0.0049179,0.0046265,0.0043581,0.0040897,0.00428135
-120,0.0045759,0.00467635,0.0047768,0.00504955,0.0053223,0.0057493,0.0061763,0.00649955,0.0068228,0.00714675,0.0074707,0.00803245,0.0085942,0.0088731,0.009152,0.00955485,0.0099577,0.01038885,0.01082,0.011268,0.011716,0.0120765,0.012437,0.01258,0.012723,0.0128185,0.012914,0.012932,0.01295,0.0127725,0.012595,0.0122675,0.01194,0.011515,0.01109,0.0106725,0.010255,0.0096413,0.0090276,0.0087894,0.0085512,0.00799415,0.0074371,0.00699225,0.0065474,0.0062969,0.0060464,0.0055736,0.0051008,0.0047738,0.0044468,0.00450645,0.0045661
-115,0.00487075,0.0050248,0.00518225,0.0053397,0.0058343,0.0063289,0.00684555,0.0073622,0.00766865,0.0079751,0.00848845,0.0090018,0.0095569,0.010112,0.0105245,0.010937,0.0114365,0.011936,0.0124435,0.012951,0.013262,0.013573,0.013816,0.014059,0.0143105,0.014562,0.0147095,0.014857,0.014672,0.014487,0.014294,0.014101,0.0136355,0.01317,0.0125855,0.012001,0.0114725,0.010944,0.0105415,0.010139,0.00966275,0.0091865,0.00854505,0.0079036,0.0074416,0.0069796,0.00642955,0.0058795,0.005554,0.0052285,0.00490635,0.0045842,0.00466835
-110,0.0051656,0.005329,0.0054924,0.0058966,0.0063008,0.0071471,0.0079934,0.0082805,0.0085676,0.0091852,0.0098028,0.0105859,0.011369,0.011676,0.011983,0.0124785,0.012974,0.0136295,0.014285,0.0146465,0.015008,0.0154365,0.015865,0.016103,0.016341,0.0165165,0.016692,0.016797,0.016902,0.0166305,0.016359,0.0160225,0.015686,0.015178,0.01467,0.0140095,0.013349,0.0127925,0.012236,0.0117345,0.011233,0.01042725,0.0096215,0.00901865,0.0084158,0.00781625,0.0072167,0.0065499,0.0058831,0.0055425,0.0052019,0.00498625,0.0047706
-105,0.00548285,0.0055662,0.00582725,0.0060883,0.0067495,0.0074107,0.00823755,0.0090644,0.0095276,0.0099908,0.0106799,0.011369,0.0117735,0.012178,0.0126265,0.013075,0.013692,0.014309,0.0147845,0.01526,0.015697,0.016134,0.0165485,0.016963,0.017118,0.017273,0.0174145,0.017556,0.0173415,0.017127,0.016847,0.016567,0.0161145,0.015662,0.014985,0.014308,0.0137055,0.013103,0.012595,0.012087,0.0115175,0.010948,0.01031155,0.0096751,0.0091031,0.0085311,0.00769185,0.0068526,0.00625505,0.0056575,0.0054967,0.0053359,0.0051086
-100,0.0058001,0.0059393,0.0060785,0.00654435,0.0070102,0.00814435,0.0092785,0.00985375,0.010429,0.011066,0.011703,0.0119655,0.012228,0.0127735,0.013319,0.013783,0.014247,0.0149835,0.01572,0.016154,0.016588,0.0170405,0.017493,0.017838,0.018183,0.0182405,0.018298,0.0182955,0.018293,0.0181135,0.017934,0.017391,0.016848,0.0162875,0.015727,0.01506,0.014393,0.0136535,0.012914,0.0124865,0.012059,0.011608,0.011157,0.0105519,0.0099468,0.00929975,0.0086527,0.0075001,0.0063475,0.0061181,0.0058887,0.00566765,0.0054466
-95,0.0060099,0.0059428,0.00646315,0.0069835,0.00758115,0.0081788,0.0093274,0.010476,0.011098,0.01172,0.0121675,0.012615,0.0131175,0.01362,0.01416,0.0147,0.015293,0.015886,0.0166365,0.017387,0.0179235,0.01846,0.0188105,0.019161,0.0192355,0.01931,0.019321,0.019332,0.0193255,0.019319,0.018812,0.018305,0.0177545,0.017204,0.016665,0.016126,0.015231,0.014336,0.0137255,0.013115,0.012639,0.012163,0.0115195,0.010876,0.01038905,0.0099021,0.0086648,0.0074275,0.00686105,0.0062946,0.00602775,0.0057609,0.005733
-90,0.0062197,0.0064531,0.0066865,0.00703135,0.0073762,0.0087521,0.010128,0.0110965,0.012065,0.012675,0.013285,0.0138905,0.014496,0.01527,0.016044,0.01676,0.017476,0.018281,0.019086,0.0200045,0.020923,0.0214085,0.021894,0.022291,0.022688,0.022629,0.02257,0.0225625,0.022555,0.0222805,0.022006,0.0213235,0.020641,0.019937,0.019233,0.0182265,0.01722,0.0161865,0.015153,0.014497,0.013841,0.0132395,0.012638,0.011777,0.010916,0.0101112,0.0093064,0.00822245,0.0071385,0.0065415,0.0059445,0.00598195,0.0060194
-85,0.00647295,0.0063093,0.0066863,0.0070633,0.00799965,0.008936,0.0102965,0.011657,0.0125415,0.013426,0.0143025,0.015179,0.0161555,0.017132,0.0181905,0.019249,0.0204785,0.021708,0.02294,0.024172,0.0249955,0.025819,0.026437,0.027055,0.0274285,0.027802,0.027803,0.027804,0.0274525,0.027101,0.026416,0.025731,0.0248435,0.023956,0.022667,0.021378,0.0199215,0.018465,0.0172125,0.01596,0.014975,0.01399,0.013309,0.012628,0.011777,0.010926,0.00954215,0.0081583,0.0073509,0.0065435,0.0062717,0.0059999,0.0060901
-80,0.0067262,0.0067335,0.0067408,0.0073907,0.0080406,0.0093193,0.010598,0.0119975,0.013397,0.014077,0.014757,0.015959,0.017161,0.018745,0.020329,0.0222675,0.024206,0.0264465,0.028687,0.0302715,0.031856,0.032726,0.033596,0.0342655,0.034935,0.035307,0.035679,0.035357,0.035035,0.0343945,0.033754,0.032919,0.032084,0.0303815,0.028679,0.026487,0.024295,0.0219605,0.019626,0.0178115,0.015997,0.0150935,0.01419,0.0133895,0.012589,0.01115085,0.0097127,0.00857375,0.0074348,0.0068315,0.0062282,0.0061945,0.0061608
