metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-0.17686207396956988,-0.17686207396956988,0.0
normalization_dose_gy,1.8310930713734554,1.9849943803033685,0.15390130892991305
peak_position_mm,0.0,-9.761433570689137,-9.761433570689137
peak_relative_dose,1.0001130082516172,1.0044585697986659,0.004345561547048682
fwhm_mm,105.01018124357304,105.478006593932,0.46782535035895023
left_50_mm,-52.69498145158448,-52.928102361849895,-0.23312091026541282
right_50_mm,52.315199791988555,52.5499042320821,0.23470444009354452
left_penumbra_mm,11.075730270753006,11.483780962459882,0.408050691706876
right_penumbra_mm,11.016534354525618,11.434224346360352,0.41768999183473454
flatness_percent,3.34650112866817,5.175547270381043,1.829046141712873
symmetry_percent,0.44748278118117435,1.3431414003347575,0.8956586191535831
