crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-30,0.0086844,0.00767955,0.0066747,0.00723285,0.007791,0.00965,0.011509,0.0129605,0.014412,0.018301,0.02219,0.0388415,0.055493,0.1742765,0.29306,0.76983,1.2466,1.4991,1.7516,1.79425,1.8369,1.85305,1.8692,1.8766,1.884,1.8839,1.8838,1.881,1.8782,1.87055,1.8629,1.8458,1.8287,1.78395,1.7392,1.4925,1.2458,0.770985,0.29617,0.173541,0.050912,0.0353795,0.019847,0.0157925,0.011738,0.00856205,0.0053861,0.00373205,0.002078,0.001270905,0.00046381,-0.000578645,-0.0016211
-25,0.00855355,0.0067144,0.0069255,0.0071366,0.0083854,0.0096342,0.0110436,0.012453,0.01496,0.017467,0.0254775,0.033488,0.077479,0.12147,0.410245,0.69902,1.16061,1.6222,1.7239,1.8256,1.84905,1.8725,1.8844,1.8963,1.9,1.9037,1.90215,1.9006,1.8954,1.8902,1.878,1.8658,1.8399,1.814,1.7134,1.6128,1.16117,0.70954,0.416315,0.12309,0.0756075,0.028125,0.0212625,0.0144,0.0121723,0.0099446,0.005789,0.0016334,-0.00030825,-0.0022499,-0.00103426,0.00018138,0.0003104
-20,0.0084227,0.00765845,0.0068942,0.00744975,0.0080053,0.00976165,0.011518,0.013369,0.01522,0.019576,0.023932,0.040891,0.05785,0.17767,0.29749,0.779345,1.2612,1.51895,1.7767,1.8209,1.8651,1.88065,1.8962,1.9046,1.913,1.91325,1.9135,1.91025,1.907,1.89855,1.8901,1.8717,1.8533,1.80885,1.7644,1.5163,1.2682,0.78676,0.30532,0.1815705,0.057821,0.0380485,0.018276,0.0152175,0.012159,0.0105438,0.0089286,0.00355095,-0.0018267,-0.000601565,0.00062357,0.001432735,0.0022419
-15,0.0085024,0.0071634,0.00716335,0.0071633,0.00847225,0.0097812,0.0114296,0.013078,0.0156755,0.018273,0.026577,0.034881,0.0789005,0.12292,0.41159,0.70026,1.16388,1.6275,1.7306,1.8337,1.85705,1.8804,1.89455,1.9087,1.91035,1.912,1.9101,1.9082,1.9043,1.9004,1.8853,1.8702,1.84405,1.8179,1.719,1.6201,1.168135,0.71617,0.420775,0.12538,0.0785305,0.031681,0.0221675,0.012654,0.0116325,0.010611,0.00502629,-0.00055842,-0.00112651,-0.0016946,0.0004217,0.002538,0.00282535
-10,0.0085821,0.0077076,0.0068331,0.00748885,0.0081446,0.0099838,0.011823,0.013783,0.015743,0.020306,0.024869,0.041741,0.058613,0.1754565,0.2923,0.76765,1.243,1.49545,1.7479,1.79065,1.8334,1.8485,1.8636,1.87075,1.8779,1.87755,1.8772,1.87265,1.8681,1.8585,1.8489,1.82985,1.8108,1.7685,1.7262,1.4871,1.248,0.773245,0.29849,0.178275,0.05806,0.040334,0.022608,0.0165135,0.010419,0.0097919,0.0091648,0.0060699,0.002975,0.0005952,-0.0017846,0.0008121,0.0034088
-5,0.00867085,0.0068441,0.0071153,0.0073865,0.00857665,0.0097668,0.0114644,0.013162,0.0159895,0.018817,0.026856,0.034895,0.0765125,0.11813,0.387845,0.65756,1.08173,1.5059,1.59255,1.6792,1.69815,1.7171,1.72355,1.73,1.73005,1.7301,1.7261,1.7221,1.7119,1.7017,1.68555,1.6694,1.6444,1.6194,1.53285,1.4463,1.04807,0.64984,0.383155,0.11647,0.075012,0.033554,0.025128,0.016702,0.0128199,0.0089378,0.0082705,0.0076032,0.00487275,0.0021423,0.00074022,-0.00066186,0.0038994
0,0.0087596,0.0076911,0.0066226,0.0074239,0.0082252,0.0099951,0.011765,0.0137285,0.015692,0.0198595,0.024027,0.0401225,0.056218,0.158119,0.26002,0.57092,0.88182,0.99896,1.1161,1.13175,1.1474,1.1448,1.1422,1.1366,1.131,1.12075,1.1105,1.0941,1.0777,1.06005,1.0424,1.01953,0.99666,0.95989,0.92312,0.80089,0.67866,0.460585,0.24251,0.148014,0.053518,0.0382075,0.022897,0.0186075,0.014318,0.0114872,0.0086564,0.0072359,0.0058154,0.00504065,0.0042659,0.00432795,0.00439
5,0.00870475,0.0071071,0.0071236,0.0071401,0.00847105,0.009802,0.01157,0.013338,0.015855,0.018372,0.0262915,0.034211,0.0705455,0.10688,0.284525,0.46217,0.403545,0.34492,0.3485,0.35208,0.35204,0.352,0.349055,0.34611,0.341695,0.33728,0.33157,0.32586,0.318315,0.31077,0.302425,0.29408,0.283555,0.27303,0.25315,0.23327,0.256355,0.27944,0.189519,0.099598,0.066078,0.032558,0.0250995,0.017641,0.014913,0.012185,0.00988415,0.0075833,0.00648395,0.0053846,0.00538095,0.0053773,0.0060497
10,0.0086499,0.00764825,0.0066466,0.0073605,0.0080744,0.0099882,0.011902,0.013636,0.01537,0.019797,0.024224,0.0390975,0.053971,0.1369355,0.2199,0.26269,0.30548,0.20899,0.1125,0.11148,0.11046,0.11064,0.11082,0.110115,0.10941,0.10844,0.10747,0.105945,0.10442,0.1020165,0.099613,0.0968665,0.09412,0.0900825,0.086045,0.0961725,0.1063,0.142945,0.17959,0.1156035,0.051617,0.037508,0.023399,0.019103,0.014807,0.0127535,0.0107,0.00875745,0.0068149,0.00639025,0.0059656,0.0068375,0.0077094
15,0.0084627,0.0067905,0.0069733,0.0071561,0.00828945,0.0094228,0.0112229,0.013023,0.0153855,0.017748,0.02548,0.033212,0.0662195,0.099227,0.2443885,0.38955,0.238124,0.086698,0.0681645,0.049631,0.04904,0.048449,0.04759,0.046731,0.047496,0.048261,0.047931,0.047601,0.04588,0.044159,0.0439935,0.043828,0.042599,0.04137,0.042605,0.04384,0.120525,0.19721,0.143058,0.088906,0.060655,0.032404,0.0247035,0.017003,0.0146085,0.012214,0.01048225,0.0087505,0.00755055,0.0063506,0.00627745,0.0062043,0.00778245
