metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-25.033146188741487,-25.033146188741487,0.0
normalization_dose_gy,1.9020283534873188,1.978957410011173,0.07692905652385429
peak_position_mm,-20.0,-21.05365700687959,-1.0536570068795896
peak_relative_dose,1.0060312699816742,1.0079155810484521,0.0018843110667778884
fwhm_mm,53.929529528040355,52.04160631760226,-1.887923210438096
left_50_mm,-52.90578013299625,-52.2098843815073,0.6958957514889477
right_50_mm,1.023749395044103,-0.16827806390504463,-1.1920274589491475
left_penumbra_mm,12.359225778314517,11.364181971335142,-0.9950438069793748
right_penumbra_mm,8.025723876293796,6.801762830192173,-1.223961046101623
flatness_percent,7.406471892453209,12.310539449954232,4.9040675575010235
symmetry_percent,11.354114531799686,10.6930827881357,-0.6610317436639868
