metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-17.918653224027437,-17.918653224027437,0.0
normalization_dose_gy,1.9058930720186018,2.01057654051846,0.10468346849985832
peak_position_mm,-10.0,-17.095488913283447,-7.095488913283447
peak_relative_dose,1.0043060799694843,1.0003605534315878,-0.003945526537896482
fwhm_mm,69.7297774169021,67.93703462425651,-1.7927427926455834
left_50_mm,-53.36143432087718,-52.72079483151477,0.6406394893624068
right_50_mm,16.368343096024923,15.216239792741742,-1.1521033032831802
left_penumbra_mm,12.719735919431592,12.245794583905472,-0.4739413355261206
right_penumbra_mm,10.933414636105933,10.07561468230874,-0.8577999537971941
flatness_percent,7.196460573476701,9.966210427911143,2.7697498544344423
symmetry_percent,4.751264228958741,8.609948721280514,3.858684492321773
