X [mm],Dose [Gy],Central Inplane Y [mm],Directly Measured,Interpolation Method
-125,0.00268765,0,0,vertical_offset_rows
-120,0.0035449,0,1,direct
-115,0.0043091,0,0,vertical_offset_rows
-110,0.0045299,0,1,direct
-105,0.00479615,0,0,vertical_offset_rows
-100,0.0055521,0,1,direct
-95,0.00663295,0,0,vertical_offset_rows
-90,0.0077862,0,1,direct
-85,0.0101835,0,0,vertical_offset_rows
-80,0.015282,0,1,direct
-75,0.0283605,0,0,vertical_offset_rows
-70,0.060378,0,1,direct
-65,0.12331,0,0,vertical_offset_rows
-60,0.21984,0,1,direct
-55,0.33607,0,0,vertical_offset_rows
-50,0.44123,0,1,direct
-45,0.51657,0,0,vertical_offset_rows
-40,0.56027,0,1,direct
-35,0.580845,0,0,vertical_offset_rows
-30,0.58997,0,1,direct
-25,0.59382,0,0,vertical_offset_rows
-20,0.5968,0,1,direct
-15,0.59705,0,0,vertical_offset_rows
-10,0.59865,0,1,direct
-5,0.5987,0,0,vertical_offset_rows
0,0.60098,0,1,direct
5,0.59997,0,0,vertical_offset_rows
10,0.5993,0,1,direct
15,0.596935,0,0,vertical_offset_rows
20,0.59455,0,1,direct
25,0.582475,0,0,vertical_offset_rows
30,0.53893,0,1,direct
35,0.425515,0,0,vertical_offset_rows
40,0.26366,0,1,direct
45,0.121805,0,0,vertical_offset_rows
50,0.063426,0,1,direct
55,0.057903,0,0,vertical_offset_rows
60,0.06803,0,1,direct
65,0.053859,0,0,vertical_offset_rows
70,0.035834,0,1,direct
75,0.019804,0,0,vertical_offset_rows
80,0.012344,0,1,direct
85,0.0094653,0,0,vertical_offset_rows
90,0.0079779,0,1,direct
95,0.0069702,0,0,vertical_offset_rows
100,0.0057353,0,1,direct
105,0.00540315,0,0,vertical_offset_rows
110,0.0048018,0,1,direct
115,0.00501175,0,0,vertical_offset_rows
120,0.0043169,0,1,direct
125,0.0031898,0,0,vertical_offset_rows
