X [mm],Dose [Gy],Central Inplane Y [mm],Directly Measured,Interpolation Method
-125,0.006931,0,0,vertical_offset_rows
-120,0.0083813,0,1,direct
-115,0.0098052,0,0,vertical_offset_rows
-110,0.010516,0,1,direct
-105,0.0115925,0,0,vertical_offset_rows
-100,0.01355,0,1,direct
-95,0.0168645,0,0,vertical_offset_rows
-90,0.021288,0,1,direct
-85,0.0308035,0,0,vertical_offset_rows
-80,0.048785,0,1,direct
-75,0.08875,0,0,vertical_offset_rows
-70,0.17609,0,1,direct
-65,0.34554,0,0,vertical_offset_rows
-60,0.61643,0,1,direct
-55,0.948295,0,0,vertical_offset_rows
-50,1.2455,0,1,direct
-45,1.4417,0,0,vertical_offset_rows
-40,1.5478,0,1,direct
-35,1.59885,0,0,vertical_offset_rows
-30,1.6258,0,1,direct
-25,1.64125,0,0,vertical_offset_rows
-20,1.6525,0,1,direct
-15,1.6577,0,0,vertical_offset_rows
-10,1.6644,0,1,direct
-5,1.66535,0,0,vertical_offset_rows
0,1.67,0,1,direct
5,1.6655,0,0,vertical_offset_rows
10,1.6614,0,1,direct
15,1.6527,0,0,vertical_offset_rows
20,1.6444,0,1,direct
25,1.6251,0,0,vertical_offset_rows
30,1.5701,0,1,direct
35,1.3555,0,0,vertical_offset_rows
40,0.7948,0,1,direct
45,0.28585,0,0,vertical_offset_rows
50,0.097843,0,1,direct
55,0.0389455,0,0,vertical_offset_rows
60,0.020119,0,1,direct
65,0.0131025,0,0,vertical_offset_rows
70,0.0097427,0,1,direct
75,0.0084193,0,0,vertical_offset_rows
80,0.007496,0,1,direct
85,0.00701225,0,0,vertical_offset_rows
90,0.0061731,0,1,direct
95,0.00542875,0,0,vertical_offset_rows
100,0.0046584,0,1,direct
105,0.0043464,0,0,vertical_offset_rows
110,0.0038341,0,1,direct
115,0.0038903,0,0,vertical_offset_rows
120,0.0031737,0,1,direct
125,0.0023779,0,0,vertical_offset_rows
