X [mm],Dose [Gy],Central Inplane Y [mm],Directly Measured,Interpolation Method
-125,0.0073769,0,0,vertical_offset_rows
-120,0.0085622,0,1,direct
-115,0.010126,0,0,vertical_offset_rows
-110,0.010837,0,1,direct
-105,0.011923,0,0,vertical_offset_rows
-100,0.013927,0,1,direct
-95,0.0171275,0,0,vertical_offset_rows
-90,0.021527,0,1,direct
-85,0.0311565,0,0,vertical_offset_rows
-80,0.049145,0,1,direct
-75,0.0888995,0,0,vertical_offset_rows
-70,0.17602,0,1,direct
-65,0.345305,0,0,vertical_offset_rows
-60,0.61595,0,1,direct
-55,0.947885,0,0,vertical_offset_rows
-50,1.2456,0,1,direct
-45,1.4427,0,0,vertical_offset_rows
-40,1.5489,0,1,direct
-35,1.60065,0,0,vertical_offset_rows
-30,1.6281,0,1,direct
-25,1.6439,0,0,vertical_offset_rows
-20,1.6554,0,1,direct
-15,1.66145,0,0,vertical_offset_rows
-10,1.6681,0,1,direct
-5,1.6703,0,0,vertical_offset_rows
0,1.676,0,1,direct
5,1.67285,0,0,vertical_offset_rows
10,1.671,0,1,direct
15,1.6656,0,0,vertical_offset_rows
20,1.6591,0,1,direct
25,1.6332,0,0,vertical_offset_rows
30,1.5477,0,1,direct
35,1.2428,0,0,vertical_offset_rows
40,0.66166,0,1,direct
45,0.240665,0,0,vertical_offset_rows
50,0.13278,0,1,direct
55,0.180325,0,0,vertical_offset_rows
60,0.24969,0,1,direct
65,0.17723,0,0,vertical_offset_rows
70,0.11208,0,1,direct
75,0.063638,0,0,vertical_offset_rows
80,0.039125,0,1,direct
85,0.026881,0,0,vertical_offset_rows
90,0.020207,0,1,direct
95,0.0161365,0,0,vertical_offset_rows
100,0.013242,0,1,direct
105,0.0117175,0,0,vertical_offset_rows
110,0.0099482,0,1,direct
115,0.0096885,0,0,vertical_offset_rows
120,0.0084169,0,1,direct
125,0.00709365,0,0,vertical_offset_rows
