X [mm],Dose [Gy],Central Inplane Y [mm],Directly Measured,Interpolation Method
-125,0.0158415,0,0,vertical_offset_rows
-120,0.017212,0,1,direct
-115,0.0193425,0,0,vertical_offset_rows
-110,0.020441,0,1,direct
-105,0.021918,0,0,vertical_offset_rows
-100,0.024221,0,1,direct
-95,0.027891,0,0,vertical_offset_rows
-90,0.032697,0,1,direct
-85,0.0397705,0,0,vertical_offset_rows
-80,0.051381,0,1,direct
-75,0.075207,0,0,vertical_offset_rows
-70,0.1314,0,1,direct
-65,0.264065,0,0,vertical_offset_rows
-60,0.53018,0,1,direct
-55,0.910865,0,0,vertical_offset_rows
-50,1.2518,0,1,direct
-45,1.4392,0,0,vertical_offset_rows
-40,1.5204,0,1,direct
-35,1.5567,0,0,vertical_offset_rows
-30,1.5764,0,1,direct
-25,1.58915,0,0,vertical_offset_rows
-20,1.6002,0,1,direct
-15,1.6068,0,0,vertical_offset_rows
-10,1.6135,0,1,direct
-5,1.6151,0,0,vertical_offset_rows
0,1.6193,0,1,direct
5,1.61555,0,0,vertical_offset_rows
10,1.6132,0,1,direct
15,1.60795,0,0,vertical_offset_rows
20,1.6034,0,1,direct
25,1.5968,0,0,vertical_offset_rows
30,1.5856,0,1,direct
35,1.5436,0,0,vertical_offset_rows
40,1.1167,0,1,direct
45,0.162315,0,0,vertical_offset_rows
50,0.053864,0,1,direct
55,0.025746,0,0,vertical_offset_rows
60,0.014631,0,1,direct
65,0.00995605,0,0,vertical_offset_rows
70,0.0075125,0,1,direct
75,0.00694235,0,0,vertical_offset_rows
80,0.0064564,0,1,direct
85,0.00623435,0,0,vertical_offset_rows
90,0.0056947,0,1,direct
95,0.00487825,0,0,vertical_offset_rows
100,0.0043418,0,1,direct
105,0.00409405,0,0,vertical_offset_rows
110,0.0036193,0,1,direct
115,0.0036192,0,0,vertical_offset_rows
120,0.0027557,0,1,direct
125,0.00204395,0,0,vertical_offset_rows
