crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.0092555,0.004868407799706449,0.48684077997064484,0,vertical_offset_rows
-120.0,0.010114,0.00531998017246297,0.531998017246297,1,direct
-115.0,0.0116035,0.006103459554199532,0.6103459554199532,0,vertical_offset_rows
-110.0,0.013824,0.007271446104817886,0.7271446104817886,1,direct
-105.0,0.014887500000000001,0.007830848805372995,0.7830848805372995,0,vertical_offset_rows
-100.0,0.01542,0.008110944656849813,0.8110944656849812,1,direct
-95.0,0.0153425,0.008070179532925957,0.8070179532925957,0,vertical_offset_rows
-90.0,0.017048,0.0089672752600503,0.8967275260050299,1,direct
-85.0,0.0214685,0.011292465328507147,1.1292465328507146,0,vertical_offset_rows
-80.0,0.0277,0.014570244292784681,1.4570244292784682,1,direct
-75.0,0.0385705,0.02028814467490439,2.028814467490439,0,vertical_offset_rows
-70.0,0.063228,0.03325802910267834,3.325802910267834,1,direct
-65.0,0.12736999999999998,0.06699682366685865,6.699682366685865,0,vertical_offset_rows
-60.0,0.30479,0.1603200273645431,16.03200273645431,1,direct
-55.0,0.712955,0.37501547002751995,37.501547002752,0,vertical_offset_rows
-50.0,1.2771,0.6717566421052461,67.17566421052462,1,direct
-45.0,1.6487500000000002,0.8672451363800991,86.72451363800991,0,vertical_offset_rows
-40.0,1.7973,0.9453826739141483,94.53826739141483,1,direct
-35.0,1.8546,0.975522565537851,97.5522565537851,0,vertical_offset_rows
-30.0,1.883,0.9904610109499479,99.04610109499478,1,direct
-25.0,1.90105,0.9999553398122136,99.99553398122136,0,vertical_offset_rows
-20.0,1.9128,1.0061358586006695,100.61358586006695,1,direct
-15.0,1.91175,1.0055835569217009,100.55835569217008,0,vertical_offset_rows
-10.0,1.8825,0.9901980101504392,99.01980101504392,1,direct
-5.0,1.7383,0.914348579572116,91.4348579572116,0,vertical_offset_rows
0.0,1.1318,0.5953286097680037,59.53286097680037,1,direct
5.0,0.34103,0.17938232531293719,17.938232531293718,0,vertical_offset_rows
10.0,0.11293,0.059401360577046,5.9401360577046,1,direct
15.0,0.052735000000000004,0.027738694324187737,2.7738694324187736,0,vertical_offset_rows
20.0,0.033607,0.01767733573818104,1.767733573818104,1,direct
25.0,0.026923,0.014161541050348087,1.4161541050348085,0,vertical_offset_rows
30.0,0.023866,0.012553554162151596,1.2553554162151597,1,direct
35.0,0.022005,0.011574665186380034,1.1574665186380035,0,vertical_offset_rows
40.0,0.020292,0.010673624447263061,1.0673624447263061,1,direct
45.0,0.018534000000000002,0.0097489136361903,0.97489136361903,0,vertical_offset_rows
50.0,0.016323,0.008585924100762614,0.8585924100762613,1,direct
55.0,0.012227499999999999,0.0064316845519864505,0.6431684551986451,0,vertical_offset_rows
60.0,0.0093964,0.004942521425008013,0.4942521425008013,1,direct
65.0,0.0078557,0.0041321107614017555,0.41321107614017555,0,vertical_offset_rows
70.0,0.007247,0.003811933588079805,0.3811933588079805,1,direct
75.0,0.00710305,0.003736215657901236,0.37362156579012357,0,vertical_offset_rows
80.0,0.0067965,0.003574969867722422,0.3574969867722422,1,direct
85.0,0.006750600000000001,0.0035508263943275194,0.3550826394327519,0,vertical_offset_rows
90.0,0.0062129,0.0032679953345358106,0.32679953345358104,1,direct
95.0,0.0050368,0.002649364853931332,0.2649364853931332,0,vertical_offset_rows
100.0,0.0045763,0.002407141117583774,0.24071411175837742,1,direct
105.0,0.0054348,0.002858713490340296,0.2858713490340296,0,vertical_offset_rows
110.0,0.0074528,0.003920184717157606,0.3920184717157606,1,direct
115.0,0.00830985,0.0043709943875955524,0.43709943875955526,0,vertical_offset_rows
120.0,0.0081264,0.004274499394255792,0.42744993942557924,1,direct
125.0,0.007908950000000001,0.004160120346549438,0.41601203465494385,0,vertical_offset_rows
