crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
50,0.0085277,0.00876035,0.008993,0.0096235,0.010254,0.011348,0.012442,0.0160275,0.019613,0.023521,0.027429,0.0372195,0.04701,0.10019,0.15337,0.222995,0.29262,0.1808935,0.069167,0.0589855,0.048804,0.048177,0.04755,0.047581,0.047612,0.0475795,0.047547,0.0472285,0.04691,0.046262,0.045614,0.044472,0.04333,0.0422715,0.041213,0.0459435,0.050674,0.0612475,0.071821,0.0532015,0.034582,0.0292695,0.023957,0.02106,0.018163,0.014929,0.011695,0.01067725,0.0096595,0.0090229,0.0083863,0.00801885,0.0076514
55,0.00830195,0.0083641,0.00888425,0.0094044,0.0101157,0.010827,0.012469,0.014111,0.0180635,0.022016,0.025956,0.029896,0.0446615,0.059427,0.1153935,0.17136,0.1312095,0.091059,0.065275,0.039491,0.0375875,0.035684,0.0357025,0.035721,0.0356115,0.035502,0.0353755,0.035249,0.034856,0.034463,0.03375,0.033037,0.032319,0.031601,0.031325,0.031049,0.039068,0.047087,0.0426855,0.038284,0.0310775,0.023871,0.0217925,0.019714,0.016332,0.01295,0.0115185,0.010087,0.00951725,0.0089475,0.0082065,0.0074655,0.0074877
60,0.0080762,0.00839725,0.0087183,0.0091975,0.0096767,0.01071235,0.011748,0.01482,0.017892,0.019522,0.021152,0.0260885,0.031025,0.0462045,0.061384,0.069952,0.07852,0.056866,0.035212,0.0315915,0.027971,0.0274645,0.026958,0.026981,0.027004,0.0269375,0.026871,0.026659,0.026447,0.026186,0.025925,0.025312,0.024699,0.024047,0.023395,0.0243225,0.02525,0.028493,0.031736,0.027483,0.02323,0.0204955,0.017761,0.0170435,0.016326,0.013432,0.010538,0.0096672,0.0087964,0.00826275,0.0077291,0.00752655,0.007324
65,0.0079412,0.0080337,0.0083996,0.0087655,0.00963275,0.0105,0.0118785,0.013257,0.0161045,0.018952,0.020151,0.02135,0.026311,0.031272,0.036995,0.042718,0.037198,0.031678,0.0277735,0.023869,0.0231655,0.022462,0.0224025,0.022343,0.022427,0.022511,0.0223705,0.02223,0.0220495,0.021869,0.0214065,0.020944,0.020508,0.020072,0.019643,0.019214,0.0206205,0.022027,0.0217145,0.021402,0.0196835,0.017965,0.0172925,0.01662,0.0140745,0.011529,0.0103157,0.0091024,0.00850945,0.0079165,0.0074793,0.0070421,0.0071358
70,0.0078062,0.00800085,0.0081955,0.0088456,0.0094957,0.01027935,0.011063,0.013882,0.016701,0.018038,0.019375,0.021191,0.023007,0.025019,0.027031,0.0266005,0.02617,0.023462,0.020754,0.0201855,0.019617,0.0195215,0.019426,0.019486,0.019546,0.0195775,0.019609,0.01962,0.019631,0.019122,0.018613,0.0183255,0.018038,0.0176245,0.017211,0.016883,0.016555,0.017555,0.018555,0.0184495,0.018344,0.0175035,0.016663,0.0154705,0.014278,0.01195085,0.0096237,0.0087685,0.0079133,0.0074991,0.0070849,0.00701625,0.0069476
75,0.00752865,0.0077106,0.00819125,0.0086719,0.00939095,0.01011,0.0113165,0.012523,0.015316,0.018109,0.0191765,0.020244,0.021421,0.022598,0.0230955,0.023593,0.021928,0.020263,0.0196535,0.019044,0.0188735,0.018703,0.018832,0.018961,0.0190455,0.01913,0.019055,0.01898,0.018712,0.018444,0.01832,0.018196,0.017586,0.016976,0.01655,0.016124,0.016691,0.017258,0.0174625,0.017667,0.017305,0.016943,0.016198,0.015453,0.012893,0.010333,0.0091255,0.007918,0.00750045,0.0070829,0.00685855,0.0066342,0.00653585
80,0.0072511,0.0075758,0.0079005,0.00854075,0.009181,0.0099875,0.010794,0.013383,0.015972,0.0173325,0.018693,0.0194505,0.020208,0.0207,0.021192,0.0206415,0.020091,0.0188175,0.017544,0.017475,0.017406,0.0175565,0.017707,0.0179235,0.01814,0.0179825,0.017825,0.0178885,0.017952,0.0177525,0.017553,0.017048,0.016543,0.016232,0.015921,0.0157005,0.01548,0.016216,0.016952,0.016879,0.016806,0.0162225,0.015639,0.0143365,0.013034,0.0107611,0.0084882,0.00791055,0.0073329,0.0068822,0.0064315,0.0062778,0.0061241
85,0.00702885,0.0073693,0.0078239,0.0082785,0.0089579,0.0096373,0.01084365,0.01205,0.0146145,0.017179,0.017758,0.018337,0.018991,0.019645,0.0197715,0.019898,0.0181765,0.016455,0.0162525,0.01605,0.016308,0.016566,0.0166325,0.016699,0.016768,0.016837,0.016918,0.016999,0.016817,0.016635,0.0162855,0.015936,0.015671,0.015406,0.0149725,0.014539,0.014899,0.015259,0.0158535,0.016448,0.015992,0.015536,0.0148065,0.014077,0.01179465,0.0095123,0.00837435,0.0072364,0.00686995,0.0065035,0.00616315,0.0058228,0.0059447
90,0.0068066,0.00714485,0.0074831,0.0080176,0.0085521,0.00935555,0.010159,0.012346,0.014533,0.0155435,0.016554,0.017312,0.01807,0.0182215,0.018373,0.01755,0.016727,0.015732,0.014737,0.014704,0.014671,0.0148115,0.014952,0.0151015,0.015251,0.015296,0.015341,0.015235,0.015129,0.0149675,0.014806,0.014522,0.014238,0.0139655,0.013693,0.013489,0.013285,0.014213,0.015141,0.0151115,0.015082,0.0145095,0.013937,0.013006,0.012075,0.009902,0.007729,0.00717385,0.0066187,0.0062791,0.0059395,0.0058524,0.0057653
95,0.00646655,0.0066937,0.00717635,0.007659,0.0082439,0.0088288,0.0098294,0.01083,0.012514,0.014198,0.014686,0.015174,0.0155525,0.015931,0.0158115,0.015692,0.0143135,0.012935,0.0125105,0.012086,0.01221,0.012334,0.012527,0.01272,0.012806,0.012892,0.01281,0.012728,0.0126615,0.012595,0.0124345,0.012274,0.011992,0.01171,0.0114415,0.011173,0.01171,0.012247,0.012836,0.013425,0.0130335,0.012642,0.0121435,0.011645,0.0100675,0.00849,0.0075779,0.0066658,0.00641985,0.0061739,0.00578955,0.0054052,0.00546405
100,0.0061265,0.0065106,0.0068947,0.00734105,0.0077874,0.0084043,0.0090212,0.0104386,0.011856,0.012472,0.013088,0.0135035,0.013919,0.013981,0.014043,0.013288,0.012533,0.0114125,0.010292,0.0100732,0.0098544,0.0100712,0.010288,0.010524,0.01076,0.010561,0.010362,0.0104795,0.010597,0.0105435,0.01049,0.01011835,0.0097467,0.00973555,0.0097244,0.00959735,0.0094703,0.01030115,0.011132,0.011328,0.011524,0.011234,0.010944,0.01015635,0.0093687,0.00823135,0.007094,0.0065668,0.0060396,0.00578705,0.0055345,0.00534865,0.0051628
105,0.0058753,0.0059842,0.00639885,0.0068135,0.0073188,0.0078241,0.00843145,0.0090388,0.0099079,0.010777,0.0110735,0.01137,0.0116545,0.011939,0.011759,0.011579,0.01006635,0.0085537,0.0082109,0.0078681,0.00794315,0.0080182,0.0080222,0.0080262,0.0081077,0.0081892,0.0082061,0.008223,0.0080847,0.0079464,0.0078283,0.0077102,0.0076384,0.0075666,0.00738385,0.0072011,0.0076563,0.0081115,0.00875865,0.0094058,0.00940095,0.0093961,0.00896825,0.0085404,0.0079303,0.0073202,0.0068346,0.006349,0.0058475,0.005346,0.0051925,0.005039,0.00499735
110,0.0056241,0.0058332,0.0060423,0.00635775,0.0066732,0.00728065,0.0078881,0.00828055,0.008673,0.0090868,0.0095006,0.0100598,0.010619,0.0105445,0.01047,0.00954815,0.0086263,0.00777065,0.006915,0.00671615,0.0065173,0.0065828,0.0066483,0.00669855,0.0067488,0.00684945,0.0069501,0.006806,0.0066619,0.00659985,0.0065378,0.00649895,0.0064601,0.0063733,0.0062865,0.00623485,0.0061832,0.0070903,0.0079974,0.00825505,0.0085127,0.00828545,0.0080582,0.0077274,0.0073966,0.00693425,0.0064719,0.00593785,0.0054038,0.00523625,0.0050687,0.0049503,0.0048319
115,0.0052564,0.00512,0.00561635,0.0061127,0.00641435,0.006716,0.0071309,0.0075458,0.00804115,0.0085365,0.0089757,0.0094149,0.0094888,0.0095627,0.00930825,0.0090538,0.00800875,0.0069637,0.006483,0.0060023,0.0060063,0.0060103,0.0060794,0.0061485,0.00619835,0.0062482,0.00609685,0.0059455,0.00608095,0.0062164,0.00605715,0.0058979,0.0057298,0.0055617,0.0056221,0.0056825,0.00619125,0.0067,0.00733665,0.0079733,0.0080167,0.0080601,0.00775235,0.0074446,0.00691375,0.0063829,0.0059967,0.0056105,0.0054587,0.0053069,0.00487945,0.004452,0.00461845
120,0.0048887,0.0051565,0.0054243,0.00571215,0.006,0.0063184,0.0066368,0.007174,0.0077112,0.0080661,0.008421,0.0086361,0.0088512,0.00893585,0.0090205,0.00828485,0.0075492,0.00662935,0.0057095,0.0057061,0.0057027,0.00570675,0.0057108,0.0057537,0.0057966,0.00586495,0.0059333,0.00594275,0.0059522,0.00582625,0.0057003,0.00562635,0.0055524,0.0055953,0.0056382,0.005686,0.0057338,0.00638875,0.0070437,0.00753385,0.008024,0.0076884,0.0073528,0.0069003,0.0064478,0.00625655,0.0060653,0.00561385,0.0051624,0.00478825,0.0044141,0.00440955,0.004405
125,0.00464865,0.0046857,0.0048761,0.0050665,0.00551505,0.0059636,0.00627005,0.0065765,0.00692195,0.0072674,0.0076721,0.0080768,0.00826555,0.0084543,0.0081422,0.0078301,0.0070619,0.0062937,0.0059,0.0055063,0.00549055,0.0054748,0.00561635,0.0057579,0.00580475,0.0058516,0.0058911,0.0059306,0.0058785,0.0058264,0.0058219,0.0058174,0.00570035,0.0055833,0.00554875,0.0055142,0.00590315,0.0062921,0.00686285,0.0074336,0.00743715,0.0074407,0.0071278,0.0068149,0.0064775,0.0061401,0.0057313,0.0053225,0.0050473,0.0047721,0.00454555,0.004319,0.00409055
