Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
0,8243.06,0.6472085166,300,3,121.009751
0.127,24635.13,0.1717421193,148.9358284,1.489358284,60.07562503
0.254,21078.03,0.2394669594,300,3,121.009751
0.381,23302.44,0.1958955793,229.4292304,2.294292304,92.54391348
0.508,23367.11,0.1946919747,225.9348758,2.259348758,91.13441023
0.635,23385.9,0.1943428894,224.921397,2.24921397,90.7256075
0.762,23454.75,0.1930661694,221.2147708,2.212147708,89.23048113
0.889,23485.92,0.1924894004,219.5402713,2.195402713,88.55504523
1.016,23609.38,0.1902123953,212.9295759,2.129295759,85.88851656
1.143,23653.97,0.189392936,210.5504877,2.105504877,84.92887366
1.27,23670.54,0.189088812,209.6675423,2.096675423,84.57272365
1.397,23843,0.1859360789,200.5143973,2.005143973,80.88065764
1.524,24002.71,0.1830366996,189.1027931,1.891027931,76.27760635
1.651,24138.78,0.1805816611,179.2750529,1.792750529,72.31343174
1.778,24313.27,0.1774536047,166.7531621,1.667531621,67.26252876
1.905,24460.06,0.1748394596,156.2885045,1.562885045,63.04144339
2.032,24575.3,0.1727981495,149.6720555,1.496720555,60.37259389
2.159,24614.06,0.1721137227,149.1948972,1.491948972,60.18012456
2.286,24697.04,0.1706520725,148.1758862,1.481758862,59.76909032
2.413,24728.57,0.1700979749,147.7895889,1.477895889,59.61327117
2.54,24770.02,0.1693706204,147.2825029,1.472825029,59.40873004
2.667,24891.16,0.1672518412,145.8053647,1.458053647,58.81290295
2.794,24898.03,0.1671319918,145.7218099,1.457218099,58.7791998
2.921,24889.02,0.167289181,145.8313967,1.458313967,58.82340336
3.048,24895.76,0.167171589,145.7494157,1.457494157,58.79033504
3.175,24915.49,0.166827545,145.5095604,1.455095604,58.69358559
3.302,24867.75,0.167660485,146.0902568,1.460902568,58.92781867
3.429,24891.54,0.1672452111,145.8007425,1.458007425,58.81103849
3.556,24890.42,0.1672647527,145.8143662,1.458143662,58.81653383
3.683,24915.79,0.1668223158,145.5059148,1.455059148,58.69211508
