Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
0,507.29,1.858040676,300,3,118.572756
0.127,26281.9,0.1436402191,129.3441739,1.293441739,51.12231727
0.254,23508.34,0.1920750144,218.3372086,2.183372086,86.29614855
0.381,23958.47,0.1838378973,192.3100594,1.923100594,76.00911253
0.508,24571.96,0.172857178,149.713208,1.49713208,59.17302563
0.635,24647.83,0.1715182877,148.7797809,1.487797809,58.80409555
0.762,24635.51,0.1717354203,148.9311581,1.489311581,58.86392624
0.889,24721.35,0.1702247944,147.8780029,1.478780029,58.44767454
1.016,24825.65,0.1683963494,146.6032755,1.466032755,57.94384807
1.143,24976.63,0.1657631373,144.7674929,1.447674929,57.21826871
1.27,24993.65,0.1654672938,144.5612412,1.445612412,57.13674927
1.397,25125.18,0.1631877959,142.9720556,1.429720556,56.50863555
1.524,25288.03,0.1603819796,141.0159393,1.410159393,55.73549524
1.651,25476.83,0.1571515885,138.7638245,1.387638245,54.8453637
1.778,25544.2,0.1560046718,137.9642346,1.379642346,54.52933176
1.905,25649.98,0.1542099468,136.7130156,1.367130156,54.03479682
2.032,25733.83,0.15279255,135.7248565,1.357248565,53.64423432
2.159,25852.58,0.1507930869,134.3309013,1.343309013,53.09328396
2.286,25977.6,0.1486979524,132.8702473,1.328702473,52.51597139
2.413,26048.01,0.1475224277,132.0507129,1.320507129,52.19205657
2.54,26202.39,0.1449560712,130.2615396,1.302615396,51.48489919
2.667,26315.26,0.1430893124,128.9601011,1.289601011,50.97051537
2.794,26351.89,0.1424852087,128.5389414,1.285389414,50.80405511
2.921,26360.9,0.142336744,128.435437,1.28435437,50.7631458
3.048,26406.6,0.1415844907,127.9109925,1.279109925,50.55586304
3.175,26383.19,0.1419696726,128.1795278,1.281795278,50.66199957
3.302,26343.02,0.1426314161,128.640872,1.28640872,50.84434243
3.429,26267.91,0.143871458,129.5053855,1.295053855,51.18603495
3.556,26140.05,0.1459905637,130.9827513,1.309827513,51.76995273
3.683,26004.44,0.1482494719,132.5575825,1.325575825,52.39239297
3.81,25986.91,0.1485423353,132.7617566,1.327617566,52.47309124
3.937,25938,0.1493604917,133.3321464,1.333321464,52.69853356
4.064,25881.42,0.1503088772,133.9933273,1.339933273,52.95986036
4.191,25782.28,0.1519756571,135.1553475,1.351553475,53.41914015
4.318,25752.77,0.1524730285,135.5020974,1.355020974,53.55619044
4.445,25681.33,0.1536794662,136.3431832,1.363431832,53.88862332
4.572,25606.83,0.1549411594,137.2227912,1.372227912,54.23628182
4.699,25538.01,0.156109925,138.0376134,1.380376134,54.55833419
4.826,25454.63,0.157530189,139.0277714,1.390277714,54.94968674
4.953,25371.06,0.1589583653,140.0234456,1.400234456,55.34321951
5.08,25329.04,0.1596782478,140.5253223,1.405253223,55.54158254
5.207,25299.74,0.1601809196,140.8757674,1.408757674,55.68009333
5.334,25191.77,0.1620382951,142.1706641,1.421706641,56.19189158
5.461,25122.76,0.1632296281,143.0012195,1.430012195,56.52016239
5.588,25040.91,0.1646468703,143.9892709,1.439892709,56.91068228
5.715,25004.85,0.165272724,144.425594,1.44425594,57.08313574
5.842,24961.47,0.16602682,144.9513231,1.449513231,57.29092624
5.969,24932.74,0.1665269695,145.3000097,1.453000097,57.42874201
6.096,24866.81,0.1676769016,146.1017019,1.461017019,57.74560484
6.223,24802.75,0.1687971419,146.8826939,1.468826939,58.0542861
6.35,24761.58,0.1695186247,147.3856863,1.473856863,58.2530901
6.477,24682.53,0.1709073041,148.3538247,1.483538247,58.63573953
6.604,24686.53,0.170836929,148.3047616,1.483047616,58.61634771
6.731,24595.36,0.172443794,149.4250113,1.494250113,59.05911802
6.858,24568.99,0.1729096741,149.7498065,1.497498065,59.18749089
6.985,24459.43,0.1748506456,156.3332829,1.563332829,61.7895607
7.112,24429.85,0.1753761773,158.4370334,1.584370334,62.62105234
7.239,24398.39,0.1759358086,160.6772879,1.606772879,63.50649618
7.366,24380.77,0.1762495602,161.9332636,1.619332636,64.0029112
7.493,24306.7,0.1775709768,167.2230133,1.672230133,66.0936452
7.62,24264.91,0.1783182928,170.2145865,1.702145865,67.27604211
7.747,24225.71,0.1790204636,173.0254391,1.730254391,68.38701059
7.874,24160.1,0.1801982501,177.7402246,1.777402246,70.25049428
8.001,24112.41,0.181056358,181.1753075,1.811753075,71.60818514
8.128,24051.71,0.1821510189,185.5573335,1.855573335,73.3401481
8.255,24060.98,0.1819836655,184.887403,1.84887403,73.07536308
8.382,24006.67,0.182965055,188.8159933,1.888159933,74.62810904
8.509,23958.06,0.1838453294,192.3398109,1.923398109,76.02087157
8.636,23915.87,0.1846107936,195.4040327,1.954040327,77.23198234
8.763,23902.96,0.1848452929,196.3427547,1.963427547,77.60300516
8.89,23834.02,0.1860996782,200.9893656,2.009893656,79.43954339
9.017,23785,0.1869938219,203.5852805,2.035852805,80.46555934
9.144,23773.97,0.1871952673,204.1701252,2.041701252,80.69671481
9.271,23781.58,0.1870562728,203.7665905,2.037665905,80.53722074
9.398,23736.38,0.1878824916,206.1653031,2.061653031,81.48529396
9.525,23714.57,0.1882817234,207.3243693,2.073243693,81.9434062
9.652,23739.7,0.1878217512,205.9889591,2.059889591,81.41559532
9.779,23714.03,0.1882916127,207.3530805,2.073530805,81.95475407
9.906,23691.38,0.188706619,208.5579438,2.085579438,82.43096728
10.033,23713.38,0.1883035169,207.3876411,2.073876411,81.96841389
10.16,23650.78,0.1894515094,210.7205404,2.107205404,83.28571741
10.287,23588.26,0.1906010715,214.0579968,2.140579968,84.6048221
10.414,23616.65,0.1900786843,212.5413805,2.125413805,84.00539086
10.541,23601.75,0.1903527718,213.3371228,2.133371228,84.31990206
10.668,23546.61,0.191368587,216.2862793,2.162862793,85.48553409
10.795,23499.08,0.1922461179,218.8339633,2.188339633,86.49248715
10.922,23536.81,0.1915493761,216.8111539,2.168111539,85.69298683
11.049,23478.77,0.1926216362,219.9241836,2.199241836,86.92338856
11.176,23489.71,0.1924193226,219.3368183,2.193368183,86.69123683
11.303,23486.96,0.1924701695,219.4844392,2.194844392,86.74958289
11.43,23513.31,0.191983208,218.0706725,2.180706725,86.19080217
11.557,23489.77,0.1924182133,219.3335977,2.193335977,86.6899639
11.684,23442.63,0.1932906446,221.8664765,2.218664765,87.69106529
11.811,23473.08,0.1927268987,220.2297862,2.202297862,87.04417569
11.938,23468.73,0.1928073891,220.463469,2.20463469,87.13653709
12.065,23487.98,0.1924513092,219.4296833,2.194296833,86.72794101
12.192,23454.77,0.1930657991,221.2136957,2.212136957,87.43305856
12.319,23449.39,0.193165428,221.5029423,2.215029423,87.54738114
12.446,23481.16,0.1925774298,219.7958419,2.197958419,86.87266245
12.573,23477.08,0.1926528978,220.0149436,2.200149436,86.95926077
12.7,23472,0.1927468812,220.2877999,2.202877999,87.0671052
12.827,23469.23,0.1927981366,220.4366067,2.204366067,87.12591997
12.954,23440.91,0.1933225102,221.9589901,2.219589901,87.72763059
13.081,23447.87,0.19319358,221.5846746,2.215846746,87.57968521
13.208,23450.86,0.1931382037,221.4239037,2.214239037,87.5161417
13.335,23498.84,0.1922505534,218.8468408,2.188468408,86.49757686
13.462,23443.23,0.1932795293,221.8342059,2.218342059,87.67831058
13.589,23446.84,0.1932126578,221.640062,2.21640062,87.60157665
13.716,23410.37,0.1938886999,223.6027753,2.236027753,88.37732441
13.843,23388.05,0.194302964,224.8054841,2.248054841,88.85268606
13.97,23385.49,0.1943505035,224.9435025,2.249435025,88.90723682
14.097,23423.38,0.1936474136,222.9022629,2.229022629,88.10045213
14.224,23433.89,0.1934525907,222.336645,2.22336645,87.87689587
14.351,23406.7,0.1939567888,223.8004537,2.238004537,88.45545533
14.478,23436.72,0.1934001461,222.1843859,2.221843859,87.81671659
14.605,23390.07,0.1942654561,224.6965895,2.246965895,88.80964631
14.732,23460.9,0.1929523093,220.8842074,2.208842074,87.30283077
14.859,23482.99,0.1925435845,219.6975807,2.196975807,86.83382544
14.986,23399.24,0.1940952258,224.2023697,2.242023697,88.61430963
15.113,23308.55,0.1957817203,229.0986703,2.290986703,90.54953582
15.24,23405.86,0.1939723747,223.8457033,2.238457033,88.47333988
15.367,23425.14,0.1936147825,222.8075271,2.228075271,88.06300851
15.494,23438.65,0.1933643837,222.0805589,2.220805589,87.77567977
15.621,23378.22,0.1944855364,225.3355358,2.253355358,89.06218503
15.748,23431.98,0.1934879897,222.4394168,2.224394168,87.91751567
15.875,23395.54,0.1941639039,224.401759,2.24401759,88.69311674
16.002,23443.81,0.1932687847,221.8030118,2.218030118,87.66598134
16.129,23428.08,0.1935602793,222.6492911,2.226492911,88.00046691
16.256,23448.56,0.1931808003,221.5475718,2.215475718,87.5650206
16.383,23417.77,0.1937514414,223.2042809,2.232042809,88.21982247
16.51,23425.29,0.1936120016,222.7994533,2.227994533,88.05981742
16.637,23428.95,0.1935441521,222.6024699,2.226024699,87.9819612
16.764,23474.46,0.192701367,220.1556613,2.201556613,87.01487841
16.891,23362.38,0.194779894,226.1901269,2.261901269,89.39995576
17.018,23475.33,0.1926852717,220.1089327,2.201089327,86.99640926
17.145,23477.9,0.1926377292,219.9709054,2.199709054,86.94185499
17.272,23432.35,0.193481132,222.4195075,2.224195075,87.90964665
17.399,23449.96,0.1931548714,221.4722941,2.214722941,87.53526765
17.526,23425.33,0.19361126,222.7973004,2.227973004,88.05896647
17.653,23445.62,0.1932352559,221.7056696,2.217056696,87.62750757
17.78,23406.94,0.1939523358,223.7875256,2.237875256,88.45034558
17.907,23396.32,0.1941494249,224.359723,2.24359723,88.67650231
18.034,23422.14,0.1936704051,222.9690129,2.229690129,88.12683456
