Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
39.497,24635.14,0.1690922042,145.5141146,1.455141146,60.03922844
39.624,24644.81,0.1689217646,145.3966984,1.453966984,59.99078241
39.751,24701.2,0.1679291868,144.7129091,1.447129091,59.70865047
39.878,24696.24,0.1680164019,144.7729918,1.447729918,59.73344063
40.005,24770.98,0.1667040502,143.8689095,1.438689095,59.36041564
40.132,24828.34,0.1656995549,143.1769103,1.431769103,59.07489624
40.259,24843.05,0.1654423254,142.9997043,1.429997043,59.00178092
40.386,24925.48,0.1640037084,142.0086375,1.420086375,58.59286606
40.513,24988.76,0.1629025329,141.250035,1.41250035,58.27986613
40.64,25024.55,0.1622809623,140.8218335,1.408218335,58.10318988
40.767,25093.51,0.1610858256,139.9985009,1.399985009,57.76348226
40.894,25121.7,0.1605982139,139.662584,1.39662584,57.6248827
41.021,25112.59,0.1607557327,139.7710991,1.397710991,57.66965611
41.148,25147.45,0.1601532855,139.3560718,1.393560718,57.49841555
41.275,25196.07,0.1593144326,138.778184,1.38778184,57.25997862
41.402,25261.78,0.1581832902,137.9989373,1.379989373,56.93846086
41.529,25322.18,0.1571461473,137.284447,1.37284447,56.64366164
41.656,25393.52,0.1559243328,136.442736,1.36442736,56.29637108
41.783,25415.33,0.1555514858,136.1858808,1.361858808,56.19039244
41.91,25466.76,0.1546735434,135.5810641,1.355810641,55.94084465
42.037,25451.52,0.1549335148,135.760159,1.35760159,56.01473934
42.164,25547.63,0.1532966211,134.632499,1.34632499,55.54946601
42.291,25569.74,0.1529209268,134.3736823,1.343736823,55.44267806
42.418,25638.56,0.1517536097,133.5695147,1.335695147,55.11087791
42.545,25667.8,0.1512585922,133.2284959,1.332284959,54.97017333
42.672,25749.71,0.1498748966,132.2752647,1.322752647,54.57686943
42.799,25786.99,0.149246587,131.8424207,1.318424207,54.39827768
42.926,25858.88,0.1480375281,131.009497,1.31009497,54.05461278
43.053,25852.36,0.1481470439,131.0849428,1.310849428,54.08574175
43.18,25978.01,0.1460413592,129.6343315,1.296343315,53.48721848
43.307,26020.15,0.145337443,129.1494019,1.291494019,53.28713618
43.434,26054.63,0.1447623287,128.7532042,1.287532042,53.12366474
43.561,26121.3,0.1436524518,127.9886073,1.279886073,52.80819152
43.688,26182.19,0.1426412687,127.2920008,1.272920008,52.52077118
43.815,26226.07,0.1419140228,126.7909994,1.267909994,52.31405761
43.942,26255.4,0.1414285997,126.4565902,1.264565902,52.17608015
44.069,26251.15,0.1414989053,126.5050239,1.265050239,52.19606393
44.196,26334.18,0.1401274391,125.5602175,1.255602175,51.80623613
44.323,26392.51,0.1391665441,124.8982546,1.248982546,51.53310975
44.45,26500.54,0.1373925152,123.6761218,1.236761218,51.02885688
44.577,26582.77,0.1360470052,122.7491966,1.227491966,50.6464069
44.704,26631.8,0.1352467182,122.197877,1.22197877,50.418932
44.831,26644.34,0.135042272,122.0570335,1.220570335,50.36081987
44.958,26763.9,0.1330978403,120.7175098,1.207175098,49.80813144
45.085,26840.09,0.1318632711,119.867012,1.19867012,49.45721546
45.212,26880.51,0.1312097346,119.4167892,1.194167892,49.27145317
45.339,26899.99,0.1308951203,119.2000506,1.192000506,49.18202669
45.466,27037.98,0.1286729964,117.6692241,1.176692241,48.55040655
45.593,27036.94,0.1286897016,117.6807323,1.176807323,48.55515486
45.72,27119.69,0.127362518,116.7664323,1.167664323,48.17791401
45.847,27170.06,0.1265566414,116.2112619,1.162112619,47.94885033
45.974,27266.05,0.1250250121,115.1561188,1.151561188,47.5134975
46.101,27332.79,0.1239632742,114.424685,1.14424685,47.21170739
