crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.011845000000000001,0.006193974540965991,0.6193974540965991,0,vertical_offset_rows
-120.0,0.012793,0.006689701671809027,0.6689701671809027,1,direct
-115.0,0.0146475,0.007659454798547856,0.7659454798547856,0,vertical_offset_rows
-110.0,0.016771,0.008769873113257968,0.8769873113257968,1,direct
-105.0,0.017336999999999998,0.009065845218803492,0.9065845218803492,0,vertical_offset_rows
-100.0,0.018304,0.009571507809019966,0.9571507809019966,1,direct
-95.0,0.0193315,0.010108806993557118,1.0108806993557118,0,vertical_offset_rows
-90.0,0.022648,0.011843067573136155,1.1843067573136155,1,direct
-85.0,0.0278245,0.014549957333483174,1.4549957333483174,0,vertical_offset_rows
-80.0,0.035612,0.01862218837930611,1.8622188379306108,1,direct
-75.0,0.0502285,0.026265432691507832,2.6265432691507833,0,vertical_offset_rows
-70.0,0.081528,0.04263253325250108,4.263253325250108,1,direct
-65.0,0.155025,0.08106550470352492,8.106550470352492,0,vertical_offset_rows
-60.0,0.34142,0.1785349757515077,17.85349757515077,1,direct
-55.0,0.75187,0.3931670441634529,39.31670441634529,0,vertical_offset_rows
-50.0,1.2992,0.6793762535772913,67.93762535772913,1,direct
-45.0,1.6553499999999999,0.865613824937784,86.56138249377841,0,vertical_offset_rows
-40.0,1.7999,0.9412017540130593,94.12017540130593,1,direct
-35.0,1.85655,0.9708251105133313,97.08251105133313,0,vertical_offset_rows
-30.0,1.8824,0.9843425644503488,98.43425644503489,1,direct
-25.0,1.8968500000000001,0.9918987427633044,99.18987427633044,0,vertical_offset_rows
-20.0,1.9067,0.9970494940700595,99.70494940700596,1,direct
-15.0,1.91225,0.9999516940449317,99.99516940449317,0,vertical_offset_rows
-10.0,1.9183,1.0031153534769994,100.31153534769994,1,direct
-5.0,1.9179499999999998,1.0029323318569625,100.29323318569625,0,vertical_offset_rows
0.0,1.9183,1.0031153534769994,100.31153534769994,1,direct
5.0,1.8988,0.9929184346463675,99.29184346463676,0,vertical_offset_rows
10.0,1.8507,0.9677660348641418,96.77660348641417,1,direct
15.0,1.7061,0.892151959843147,89.2151959843147,0,vertical_offset_rows
20.0,1.2458,0.6514523835487912,65.14523835487913,1,direct
25.0,0.546745,0.28590330184891943,28.590330184891943,0,vertical_offset_rows
30.0,0.20216,0.105713287733363,10.5713287733363,1,direct
35.0,0.0937965,0.049047963953711825,4.904796395371182,0,vertical_offset_rows
40.0,0.052916,0.027670777273934685,2.7670777273934686,1,direct
45.0,0.035019999999999996,0.018312620381986406,1.8312620381986406,0,vertical_offset_rows
50.0,0.026463,0.013838003231539301,1.3838003231539302,1,direct
55.0,0.019511,0.01020267093869037,1.020267093869037,0,vertical_offset_rows
60.0,0.015159,0.007926927823259051,0.7926927823259051,1,direct
65.0,0.012611500000000001,0.00659479188884699,0.659479188884699,0,vertical_offset_rows
70.0,0.011338,0.005928854651369557,0.5928854651369557,1,direct
75.0,0.01064,0.005563857249124368,0.5563857249124368,0,vertical_offset_rows
80.0,0.00982,0.00513506373932343,0.513506373932343,1,direct
85.0,0.009505650000000001,0.004970684178584497,0.49706841785844974,0,vertical_offset_rows
90.0,0.0085385,0.004464943150530866,0.4464943150530866,1,direct
95.0,0.0073898,0.003864266193569479,0.3864266193569479,0,vertical_offset_rows
100.0,0.0064053,0.0033494525223511577,0.3349452522351158,1,direct
105.0,0.0061799,0.003231586599047339,0.3231586599047339,0,vertical_offset_rows
110.0,0.0059731,0.0031234469675512,0.31234469675512,1,direct
115.0,0.0052038499999999994,0.002721191592655624,0.2721191592655624,0,vertical_offset_rows
120.0,0.0042073,0.0022000767485188867,0.22000767485188866,1,direct
125.0,0.0039307000000000005,0.002055437376798229,0.20554373767982292,0,vertical_offset_rows
