metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-15.421826322807416,-15.421826322807416,0.0
normalization_dose_gy,1.9133792961467362,1.9956786575264251,0.08229936137968896
peak_position_mm,-10.0,-17.080460958274863,-7.0804609582748625
peak_relative_dose,1.003878323481501,1.007524767574361,0.0036464440928600794
fwhm_mm,74.61677043131715,73.63063991646018,-0.986130514856967
left_50_mm,-53.333489441437486,-52.838211184188154,0.49527825724933194
right_50_mm,21.28328098987967,20.792428732272025,-0.4908522576076457
left_penumbra_mm,12.75834579032464,11.85653971868728,-0.9018060716373597
right_penumbra_mm,10.91571370353514,10.029574680072665,-0.8861390234624746
flatness_percent,7.283288650580867,8.751839402532323,1.4685507519514553
symmetry_percent,5.062281651749845,5.128771179791647,0.06648952804180208
