crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
-30,0.0026529,0.00292415,0.0031954,0.00348525,0.0037751,0.00431005,0.004845,0.00533985,0.0058347,0.00636925,0.0069038,0.0094834,0.012063,0.0159485,0.019834,0.028335,0.036836,0.081028,0.12522,0.337775,0.55033,0.717175,0.88402,0.916065,0.94811,0.95449,0.96087,0.95626,0.95165,0.919905,0.88816,0.71414,0.54012,0.329915,0.11971,0.0777615,0.035813,0.027458,0.019103,0.014792,0.010481,0.00848375,0.0064865,0.005848,0.0052095,0.00425105,0.0032926,0.00292415,0.0025557,0.00203635,0.001517,0.000821265,0.00012553
-25,0.0025767,0.0026624,0.00313605,0.0036097,0.00408515,0.0045606,0.0048335,0.0051064,0.00574935,0.0063923,0.0077932,0.0091941,0.01258855,0.015983,0.02245,0.028917,0.0520715,0.075226,0.237823,0.40042,0.77941,1.1584,1.2625,1.3666,1.38515,1.4037,1.40285,1.402,1.38335,1.3647,1.25455,1.1444,0.76345,0.3825,0.227113,0.071726,0.049746,0.027766,0.021531,0.015296,0.0114254,0.0075548,0.00657455,0.0055943,0.00503005,0.0044658,0.0033064,0.002147,0.001544465,0.00094193,0.00088069,0.00081945,0.000400165
-20,0.0025005,0.00290395,0.0033074,0.0036324,0.0039574,0.00434445,0.0047315,0.00537815,0.0060248,0.0068204,0.007616,0.010452,0.013288,0.018039,0.02279,0.0354005,0.048011,0.1194905,0.19097,0.5659,0.94083,1.223015,1.5052,1.55405,1.6029,1.60965,1.6164,1.60615,1.5959,1.54535,1.4948,1.20146,0.90812,0.54553,0.18294,0.1141885,0.045437,0.033396,0.021355,0.016996,0.012637,0.00924635,0.0058557,0.0053312,0.0048067,0.0044965,0.0041863,0.002537185,0.00088807,0.000982635,0.0010772,0.000876,0.0006748
-15,0.0026196,0.0030366,0.00330725,0.0035779,0.0039842,0.0043905,0.0048918,0.0053931,0.0060549,0.0067167,0.0082447,0.0097727,0.01372035,0.017668,0.025996,0.034324,0.064439,0.094554,0.293652,0.49275,0.945825,1.3989,1.5261,1.6533,1.6759,1.6985,1.69645,1.6944,1.66945,1.6445,1.5102,1.3759,0.92403,0.47216,0.281958,0.091756,0.0618805,0.032005,0.0242795,0.016554,0.0124393,0.0083246,0.00648635,0.0046481,0.0045758,0.0045035,0.002642085,0.00078067,0.00068041,0.00058015,0.000973625,0.0013671,0.00065782
-10,0.0027387,0.00305425,0.0033698,0.00365605,0.0039423,0.00438875,0.0048352,0.0054054,0.0059756,0.00689285,0.0078101,0.01092505,0.01404,0.019445,0.02485,0.0402935,0.055737,0.1349785,0.21422,0.61111,1.008,1.31185,1.6157,1.6702,1.7247,1.7332,1.7417,1.72985,1.718,1.65985,1.6017,1.29151,0.98132,0.59461,0.2079,0.1311235,0.054347,0.038587,0.022827,0.0179355,0.013044,0.00984595,0.0066479,0.00521515,0.0037824,0.00375045,0.0037185,0.002864,0.0020095,0.00092945,-0.0001506,0.00024512,0.00064084
-5,0.00271675,0.0027539,0.0032131,0.0036723,0.0040783,0.0044843,0.0048514,0.0052185,0.0058864,0.0065543,0.0081459,0.0097375,0.01398125,0.018225,0.027411,0.036597,0.0693735,0.10215,0.305975,0.5098,0.97555,1.4413,1.5744,1.7075,1.73175,1.756,1.75535,1.7547,1.72645,1.6982,1.5589,1.4196,0.95828,0.49696,0.298505,0.10005,0.067836,0.035622,0.025953,0.016284,0.01259895,0.0089139,0.00717865,0.0054434,0.00424255,0.0030417,0.00323675,0.0034318,0.002158965,0.00088613,-0.000189385,-0.0012649,-0.00012491
0,0.0026948,0.00298885,0.0032829,0.0036495,0.0040161,0.00433775,0.0046594,0.00521725,0.0057751,0.0066748,0.0075745,0.01080925,0.014044,0.019441,0.024838,0.040829,0.05682,0.137535,0.21825,0.617725,1.0172,1.32555,1.6339,1.69045,1.747,1.75695,1.7669,1.75255,1.7382,1.6796,1.621,1.309835,0.99867,0.605775,0.21288,0.134196,0.055512,0.0396785,0.023845,0.017876,0.011907,0.0092229,0.0065388,0.0056465,0.0047542,0.0036337,0.0025132,0.002301,0.0020888,0.00162135,0.0011539,0.00013162,-0.00089066
5,0.00261185,0.0029635,0.0033355,0.0037075,0.00401925,0.004331,0.0047709,0.0052108,0.0058311,0.0064514,0.0079821,0.0095128,0.0135859,0.017659,0.0266155,0.035572,0.067811,0.10005,0.30063,0.50121,0.965755,1.4303,1.56395,1.6976,1.7222,1.7468,1.7457,1.7446,1.71635,1.6881,1.55075,1.4134,0.954865,0.49633,0.2969545,0.097579,0.0660475,0.034516,0.0257235,0.016931,0.0123037,0.0076764,0.0065692,0.005462,0.0047934,0.0041248,0.00296475,0.0018047,0.00132449,0.00084428,0.000688255,0.00053223,-1.14e-06
10,0.0025289,0.0029245,0.0033201,0.00359485,0.0038696,0.0043542,0.0048388,0.00522605,0.0056133,0.0064667,0.0073201,0.01041355,0.013507,0.0185585,0.02361,0.0378805,0.052151,0.1260505,0.19995,0.58305,0.96615,1.269225,1.5723,1.6245,1.6767,1.68495,1.6932,1.6841,1.675,1.61865,1.5623,1.26237,0.96244,0.581365,0.20029,0.1254455,0.050601,0.0364785,0.022356,0.017422,0.012488,0.00915915,0.0058303,0.00539245,0.0049546,0.0043334,0.0037122,0.00253585,0.0013595,0.00145425,0.001549,0.00121869,0.00088838
15,0.0024251,0.0028567,0.0032077,0.0035587,0.00384865,0.0041386,0.00461525,0.0050919,0.00562845,0.006165,0.0075934,0.0090218,0.0124999,0.015978,0.022855,0.029732,0.0540655,0.078399,0.2441095,0.40982,0.81086,1.2119,1.32805,1.4442,1.4656,1.487,1.4891,1.4912,1.4724,1.4536,1.33945,1.2253,0.82294,0.42058,0.2499515,0.079323,0.0538705,0.028418,0.0216755,0.014933,0.0116599,0.0083868,0.006636,0.0048852,0.00465445,0.0044237,0.00383165,0.0032396,0.00233305,0.0014265,0.0013281,0.0012297,0.00136534
