metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-15.52626687693509,-15.52626687693509,0.0
normalization_dose_gy,1.9099237610032118,1.9994664565911195,0.08954269558790773
peak_position_mm,-10.0,-5.266448791638567,4.733551208361433
peak_relative_dose,1.003809701279891,1.0014829413572401,-0.002326759922650856
fwhm_mm,74.3421313475555,73.5567834418916,-0.7853479056638974
left_50_mm,-53.34048332688641,-53.002691865571705,0.3377914613147013
right_50_mm,21.001648020669094,20.554091576319884,-0.4475564443492104
left_penumbra_mm,12.75233406916184,12.052747195323583,-0.6995868738382569
right_penumbra_mm,10.701247084370282,9.95353113693502,-0.7477159474352622
flatness_percent,7.2664456660092664,8.433925639280796,1.1674799732715293
symmetry_percent,5.150569024245177,5.40241079350351,0.25184176925833235
