Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
0,21834.31,0.2280654045,219.88768,2.1988768,134.3673729
0.127,17251.76,0.3303714687,300,3,183.32183
0.254,17939.31,0.3133991418,300,3,183.32183
0.381,15545,0.3756141501,300,3,183.32183
0.508,14539.86,0.4046446517,300,3,183.32183
0.635,15196.96,0.3854481562,300,3,183.32183
0.762,15886.99,0.3661632543,300,3,183.32183
0.889,16182.04,0.3581716062,300,3,183.32183
1.016,16410.13,0.352092855,300,3,183.32183
1.143,18120.7,0.3090299061,300,3,183.32183
1.27,22782.97,0.2095945382,194.5386227,1.945386227,118.8772544
1.397,25923.41,0.1535127479,127.93371,1.2793371,78.1768061
1.524,26228.53,0.1484309256,122.0444048,1.220444048,74.57801211
1.651,26380,0.1459300853,119.1461901,1.191461901,72.80699203
1.778,26387.11,0.145813049,119.0105572,1.190105572,72.72411043
1.905,26575.02,0.1427312765,115.4391023,1.154391023,70.54169162
2.032,26679.89,0.1410208418,113.4568859,1.134568859,69.33041315
2.159,26744.67,0.139967633,112.236326,1.12236326,68.58456223
2.286,26780.47,0.1393866819,111.5630639,1.115630639,68.17315009
2.413,26729.92,0.1402072176,112.5139797,1.125139797,68.75422885
2.54,26710.52,0.1405225336,112.8793983,1.128793983,68.97752619
2.667,26596.35,0.142382837,115.0352971,1.150352971,70.29493725
2.794,26523.52,0.1435737167,116.4154032,1.164154032,71.1382825
2.921,26456.61,0.1446706811,117.6866713,1.176866713,71.91511979
3.048,26297.93,0.1472833115,120.714439,1.20714439,73.7653062
3.175,26225.67,0.1484782844,122.0992887,1.220992887,74.61155014
3.302,26091.09,0.1507126536,124.688691,1.24688691,76.1938634
3.429,25973.85,0.1526685484,126.9553703,1.269553703,77.57896935
3.556,25920.95,0.1535539622,127.9814731,1.279814731,78.20599283
3.683,25747.22,0.1564745326,131.3661115,1.313661115,80.27425316
3.81,25691.88,0.1574089916,132.4490526,1.324490526,80.936009
3.937,25584.47,0.1592284518,134.5576183,1.345576183,82.2244961
4.064,25518.9,0.1603429265,135.8491789,1.358491789,83.01373359
4.191,25468.08,0.1612086711,136.8524872,1.368524872,83.62682798
4.318,25437.47,0.1617309621,137.4577684,1.374577684,83.9966988
4.445,25310.83,0.1638984896,139.969708,1.39969708,85.53167671
4.572,25264.86,0.1646879805,140.8846461,1.408846461,86.09077045
4.699,25215.71,0.1655336754,141.8647188,1.418647188,86.6896662
4.826,25119.26,0.1671980354,143.7935395,1.437935395,87.86831597
4.953,25053.63,0.1683342172,145.1102564,1.451102564,88.67292585
5.08,25029.87,0.1687462825,145.5877975,1.455877975,88.96473817
5.207,24984.96,0.169526218,146.4916618,1.464916618,89.51706507
