Depth [mm],Signal,Net OD,Dose [cGy],Dose [Gy],PDD [%]
0,20178.1,0.2623246065,272.4278896,2.724278896,168.4432133
0.127,17990.22,0.3121684022,300,3,185.4911554
0.254,15266.24,0.3834727909,300,3,185.4911554
0.381,13147.68,0.4483557512,300,3,185.4911554
0.508,12620.73,0.4661204007,300,3,185.4911554
0.635,13510.58,0.4365308831,300,3,185.4911554
0.762,15016.17,0.3906457002,300,3,185.4911554
0.889,15807.07,0.3683535,300,3,185.4911554
1.016,15683.45,0.3717632728,300,3,185.4911554
1.143,15407.73,0.3794662171,300,3,185.4911554
1.27,15411.22,0.3793678563,300,3,185.4911554
1.397,15674.55,0.372009795,300,3,185.4911554
1.524,16922.84,0.3387316282,300,3,185.4911554
1.651,18730.31,0.2946599112,300,3,185.4911554
1.778,20840.54,0.2482959087,248.7728826,2.487728826,153.8172314
1.905,22646.32,0.2122072368,197.6801675,1.976801675,122.2264089
2.032,24976.45,0.1696741661,146.6631183,1.466631183,90.68237085
2.159,26787.24,0.1392769078,111.4358471,1.114358471,68.90121341
2.286,26871.75,0.1379089261,109.8504981,1.098504981,67.92098606
2.413,26772.12,0.1395221136,111.7200152,1.117200152,69.07691564
2.54,26773.12,0.139505892,111.701216,1.11701216,69.06529206
2.667,26665.93,0.1412481418,113.720303,1.13720303,70.31370129
2.794,26611.94,0.1421283409,114.7403625,1.147403625,70.94440802
2.921,26530.21,0.1434641889,116.2884718,1.162884718,71.90160996
3.048,26467.31,0.1444950724,117.483159,1.17483159,72.64028963
3.175,26367.6,0.1461342748,119.3828245,1.193828245,73.81486018
3.302,26257.15,0.1479572913,121.4955118,1.214955118,75.12114284
3.429,26170.92,0.1493858866,123.1511056,1.231511056,76.14480288
3.556,26119,0.1502483311,124.1505894,1.241505894,76.76278755
3.683,26009.15,0.1520787172,126.2718171,1.262718171,78.0743508
3.81,25951.5,0.1530424113,127.3886387,1.273886387,78.7648859
3.937,25821.17,0.1552289595,129.9226214,1.299226214,80.33165716
4.064,25737.5,0.1566385169,131.5561522,1.315561522,81.34167558
4.191,25652.27,0.1580790741,133.2256087,1.332256087,82.37390696
4.318,25595.94,0.1590337931,134.332029,1.34332029,83.05801087
4.445,25555.98,0.1597123369,135.118391,1.35118391,83.54422153
4.572,25515.33,0.1604036869,135.919594,1.35919594,84.0396084
4.699,25456.7,0.161402772,137.07743,1.3707743,84.75550286
4.826,25400.09,0.1623696211,138.1979078,1.381979078,85.44829865
4.953,25329.14,0.1635844321,139.6057479,1.396057479,86.31877156
5.08,25293.73,0.1641919982,140.309854,1.40309854,86.7541231
5.207,25165.07,0.1664067337,142.8765029,1.428765029,88.341092
5.334,25201.28,0.1657822769,142.1528222,1.421528222,87.89363741
5.461,25164.28,0.1664203676,142.8923032,1.428923032,88.35086137
5.588,25147.14,0.1667162769,143.2352314,1.432352314,88.56289518
5.715,25038.46,0.1685972626,145.4150988,1.454150988,89.91071561
5.842,25072.01,0.1680157242,144.741156,1.44741156,89.49401421
5.969,25015.99,0.1689871819,145.8669748,1.458669748,90.1901123
6.096,25001.03,0.1692469753,146.1680484,1.461680484,90.37626727
6.223,24981.52,0.169586017,146.5609627,1.465609627,90.61920766
6.35,24968.4,0.1698141633,146.8253605,1.468253605,90.78268588
6.477,24923.08,0.170603165,147.7397317,1.477397317,91.3480451
6.604,24913.77,0.1707654257,147.9277751,1.479277751,91.46431304
6.731,24886.13,0.1712475111,148.486462,1.48486462,91.80975131
6.858,24854.15,0.1718059615,149.1336481,1.491336481,92.20990898
6.985,24815.58,0.1724804464,149.9153062,1.499153062,92.69321118
7.112,24823.32,0.1723450107,149.7583503,1.497583503,92.59616473
7.239,24813.66,0.1725140493,149.9542486,1.499542486,92.71728941
7.366,24729.39,0.1739914728,151.7290049,1.517290049,93.81462808
7.493,24730.51,0.1739718039,151.7053548,1.517053548,93.80000513
7.62,24746.43,0.1736923215,151.3693013,1.513693013,93.59222192
7.747,24735.6,0.1738824272,151.597887,1.51597887,93.73355739
7.874,24747.76,0.1736689809,151.3412362,1.513412362,93.57486919
8.001,24741.46,0.1737795526,151.4741892,1.514741892,93.65707456
8.128,24705.5,0.1744112288,152.2337253,1.522337253,94.12669866
8.255,24719.84,0.1741592211,151.9307078,1.519307078,93.93934175
8.382,24698.42,0.1745357049,152.3833972,1.523833972,94.21924134
8.509,24711.93,0.1742982114,152.0978317,1.520978317,94.04267511
8.636,24664.52,0.1751322085,153.1006413,1.531006413,94.66271616
8.763,24643.66,0.1754996682,153.5424799,1.535424799,94.93590665
