crossplane_x_mm,dose_gy_at_y_-130_mm,dose_gy_at_y_-125_mm,dose_gy_at_y_-120_mm,dose_gy_at_y_-115_mm,dose_gy_at_y_-110_mm,dose_gy_at_y_-105_mm,dose_gy_at_y_-100_mm,dose_gy_at_y_-95_mm,dose_gy_at_y_-90_mm,dose_gy_at_y_-85_mm,dose_gy_at_y_-80_mm,dose_gy_at_y_-75_mm,dose_gy_at_y_-70_mm,dose_gy_at_y_-65_mm,dose_gy_at_y_-60_mm,dose_gy_at_y_-55_mm,dose_gy_at_y_-50_mm,dose_gy_at_y_-45_mm,dose_gy_at_y_-40_mm,dose_gy_at_y_-35_mm,dose_gy_at_y_-30_mm,dose_gy_at_y_-25_mm,dose_gy_at_y_-20_mm,dose_gy_at_y_-15_mm,dose_gy_at_y_-10_mm,dose_gy_at_y_-5_mm,dose_gy_at_y_0_mm,dose_gy_at_y_5_mm,dose_gy_at_y_10_mm,dose_gy_at_y_15_mm,dose_gy_at_y_20_mm,dose_gy_at_y_25_mm,dose_gy_at_y_30_mm,dose_gy_at_y_35_mm,dose_gy_at_y_40_mm,dose_gy_at_y_45_mm,dose_gy_at_y_50_mm,dose_gy_at_y_55_mm,dose_gy_at_y_60_mm,dose_gy_at_y_65_mm,dose_gy_at_y_70_mm,dose_gy_at_y_75_mm,dose_gy_at_y_80_mm,dose_gy_at_y_85_mm,dose_gy_at_y_90_mm,dose_gy_at_y_95_mm,dose_gy_at_y_100_mm,dose_gy_at_y_105_mm,dose_gy_at_y_110_mm,dose_gy_at_y_115_mm,dose_gy_at_y_120_mm,dose_gy_at_y_125_mm,dose_gy_at_y_130_mm
75,0.0075431,0.0076257,0.00813195,0.0086382,0.0093118,0.0099854,0.0112127,0.01244,0.0153245,0.018209,0.01932,0.020431,0.02168,0.022929,0.023627,0.024325,0.021914,0.019503,0.018175,0.016847,0.0166195,0.016392,0.0164105,0.016429,0.0164135,0.016398,0.0163955,0.016393,0.0161735,0.015954,0.0157945,0.015635,0.0151045,0.014574,0.01406,0.013546,0.0139565,0.014367,0.015211,0.016055,0.0160535,0.016052,0.015542,0.015032,0.012522,0.010012,0.00893695,0.0078619,0.00742795,0.006994,0.00670065,0.0064073,0.0064463
80,0.0073243,0.0076093,0.0078943,0.00848375,0.0090732,0.0098716,0.01067,0.0133545,0.016039,0.017281,0.018523,0.0194585,0.020394,0.0208735,0.021353,0.0207095,0.020066,0.0179175,0.015769,0.015445,0.015121,0.01515,0.015179,0.0153035,0.015428,0.015359,0.01529,0.0153535,0.015417,0.015213,0.015009,0.014597,0.014185,0.013929,0.013673,0.013317,0.012961,0.014207,0.015453,0.015709,0.015965,0.015476,0.014987,0.013908,0.012829,0.0106097,0.0083904,0.00776315,0.0071359,0.00679475,0.0064536,0.0062437,0.0060338
85,0.00703195,0.0072509,0.00772345,0.008196,0.00888535,0.0095747,0.01083435,0.012094,0.014561,0.017028,0.017656,0.018284,0.0189605,0.019637,0.019653,0.019669,0.0174375,0.015206,0.014545,0.013884,0.0139995,0.014115,0.0142045,0.014294,0.014362,0.01443,0.014483,0.014536,0.014382,0.014228,0.0139675,0.013707,0.0133935,0.01308,0.012727,0.012374,0.0127115,0.013049,0.014207,0.015365,0.0152205,0.015076,0.0143785,0.013681,0.0115171,0.0093532,0.00824945,0.0071457,0.00674905,0.0063524,0.00609925,0.0058461,0.0058723
90,0.0067396,0.0071144,0.0074892,0.0080356,0.008582,0.00927695,0.0099719,0.01224095,0.01451,0.015488,0.016466,0.017132,0.017798,0.0179705,0.018143,0.017243,0.016343,0.0145725,0.012802,0.0127335,0.012665,0.0127435,0.012822,0.0128805,0.012939,0.013018,0.013097,0.01302,0.012943,0.012861,0.012779,0.012512,0.012245,0.011934,0.011623,0.0114535,0.011284,0.0126145,0.013945,0.0142045,0.014464,0.0140685,0.013673,0.012711,0.011749,0.0097097,0.0076704,0.00710495,0.0065395,0.0061323,0.0057251,0.00571795,0.0057108
95,0.00648095,0.0066632,0.007139,0.0076148,0.008235,0.0088552,0.0097776,0.0107,0.0124535,0.014207,0.014617,0.015027,0.0153775,0.015728,0.015574,0.01542,0.0136175,0.011815,0.0110685,0.010322,0.0104435,0.010565,0.010623,0.010681,0.0108445,0.011008,0.0109755,0.010943,0.0108055,0.010668,0.010582,0.010496,0.010285,0.010074,0.00973915,0.0094043,0.00998515,0.010566,0.0116145,0.012663,0.0124745,0.012286,0.011847,0.011408,0.00986585,0.0083237,0.0074629,0.0066021,0.0063125,0.0060229,0.00569015,0.0053574,0.00546035
100,0.0062223,0.0064692,0.0067161,0.0072252,0.0077343,0.00835035,0.0089664,0.0103897,0.011813,0.0123535,0.012894,0.013335,0.013776,0.01381,0.013844,0.0130155,0.012187,0.0106303,0.0090736,0.0087257,0.0083778,0.0086312,0.0088846,0.00904605,0.0092075,0.0090274,0.0088473,0.00892565,0.009004,0.0089481,0.0088922,0.00862085,0.0083495,0.0082596,0.0081697,0.00808295,0.0079962,0.0091816,0.010367,0.010687,0.011007,0.0107875,0.010568,0.0098935,0.009219,0.008128,0.007037,0.00647815,0.0059193,0.0057188,0.0055183,0.0053641,0.0052099
105,0.00583615,0.0058813,0.00626835,0.0066554,0.00721035,0.0077653,0.0083284,0.0088915,0.00972425,0.010557,0.0108925,0.011228,0.011459,0.01169,0.011408,0.011126,0.0095578,0.0079896,0.0073999,0.0068102,0.00684455,0.0068789,0.006872,0.0068651,0.0070005,0.0071359,0.0070847,0.0070335,0.0069351,0.0068367,0.00674025,0.0066438,0.00651015,0.0063765,0.00622305,0.0060696,0.0065445,0.0070194,0.00784535,0.0086713,0.0088628,0.0090543,0.00869785,0.0083414,0.007755,0.0071686,0.0066999,0.0062312,0.00575825,0.0052853,0.0051495,0.0050137,0.00503605
110,0.00545,0.0057203,0.0059906,0.0063431,0.0066956,0.0072439,0.0077922,0.00822955,0.0086669,0.00904085,0.0094148,0.0098429,0.010271,0.010257,0.010243,0.00926935,0.0082957,0.0071743,0.0060529,0.00583125,0.0056096,0.0056162,0.0056228,0.00567435,0.0057259,0.0057459,0.0057659,0.0056953,0.0056247,0.0056229,0.0056211,0.0055075,0.0053939,0.00534355,0.0052932,0.00523825,0.0051833,0.0060562,0.0069291,0.0074904,0.0080517,0.00790315,0.0077546,0.0074503,0.007146,0.0068236,0.0065012,0.0059366,0.005372,0.0051635,0.004955,0.0049086,0.0048622
115,0.0051743,0.005113,0.0055124,0.0059118,0.00625165,0.0065915,0.0070468,0.0075021,0.0079872,0.0084723,0.0088069,0.0091415,0.00923515,0.0093288,0.0090829,0.008837,0.00755585,0.0062747,0.00569745,0.0051202,0.00503405,0.0049479,0.0050124,0.0050769,0.0051798,0.0052827,0.0051699,0.0050571,0.00504095,0.0050248,0.00495935,0.0048939,0.00475365,0.0046134,0.004575,0.0045366,0.00509605,0.0056555,0.00645625,0.007257,0.00747235,0.0076877,0.0074437,0.0071997,0.0067438,0.0062879,0.00595005,0.0056122,0.00539955,0.0051869,0.0048303,0.0044737,0.00459535
120,0.0048986,0.0050817,0.0052648,0.00564975,0.0060347,0.00634745,0.0066602,0.00708065,0.0075011,0.0078653,0.0082295,0.00843895,0.0086484,0.00861535,0.0085823,0.007848,0.0071137,0.00600975,0.0049058,0.004734,0.0045622,0.0045562,0.0045502,0.00459995,0.0046497,0.00468955,0.0047294,0.0047529,0.0047764,0.0046549,0.0045334,0.00442755,0.0043217,0.00437155,0.0044214,0.00441775,0.0044141,0.0052533,0.0060925,0.0067334,0.0073743,0.0072548,0.0071353,0.00674235,0.0063494,0.006105,0.0058606,0.00546975,0.0050789,0.0047869,0.0044949,0.0044117,0.0043285
125,0.0047114,0.0046408,0.0048861,0.0051314,0.00547335,0.0058153,0.0061488,0.0064823,0.0068943,0.0073063,0.0076263,0.0079463,0.00805615,0.008166,0.0077603,0.0073546,0.00641535,0.0054761,0.0048233,0.0041705,0.0041467,0.0041229,0.0042515,0.0043801,0.0043685,0.0043569,0.0044186,0.0044803,0.0043858,0.0042913,0.0042555,0.0042197,0.0041275,0.0040353,0.00404,0.0040447,0.00450575,0.0049668,0.0058076,0.0066484,0.0069153,0.0071822,0.0068224,0.0064626,0.00625605,0.0060495,0.0056294,0.0052093,0.0049272,0.0046451,0.00442555,0.004206,0.0040463
