crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.0162885,0.008895506326056063,0.8895506326056063,0,vertical_offset_rows
-120.0,0.017388,0.009495967338764334,0.9495967338764334,1,direct
-115.0,0.0194385,0.010615790264238008,1.0615790264238008,0,vertical_offset_rows
-110.0,0.021928,0.01197536069728688,1.197536069728688,1,direct
-105.0,0.023301000000000002,0.012725186045580155,1.2725186045580155,0,vertical_offset_rows
-100.0,0.024233,0.013234171642527956,1.3234171642527957,1,direct
-95.0,0.0239065,0.013055862847030683,1.3055862847030684,0,vertical_offset_rows
-90.0,0.024708,0.013493579537968089,1.3493579537968088,1,direct
-85.0,0.029066500000000002,0.01587385177433825,1.587385177433825,0,vertical_offset_rows
-80.0,0.035622,0.019453953792354674,1.9453953792354675,1,direct
-75.0,0.0441775,0.024126299580645348,2.4126299580645347,0,vertical_offset_rows
-70.0,0.060351,0.03295900188991064,3.295900188991064,1,direct
-65.0,0.0979775,0.05350765700102268,5.350765700102269,0,vertical_offset_rows
-60.0,0.22181,0.12113529534226575,12.113529534226576,1,direct
-55.0,0.618455,0.33775181047248076,33.775181047248076,0,vertical_offset_rows
-50.0,1.2629,0.6896973287396754,68.96973287396754,1,direct
-45.0,1.6116000000000001,0.880130030086991,88.0130030086991,0,vertical_offset_rows
-40.0,1.7127,0.9353429526743542,93.53429526743543,1,direct
-35.0,1.7499,0.9556586868014554,95.56586868014554,0,vertical_offset_rows
-30.0,1.7722,0.9678372048400132,96.78372048400132,1,direct
-25.0,1.78995,0.9775308683011972,97.75308683011971,0,vertical_offset_rows
-20.0,1.8051,0.9858046148610247,98.58046148610246,1,direct
-15.0,1.8142,0.9907743240157725,99.07743240157725,0,vertical_offset_rows
-10.0,1.8233,0.9957440331705203,99.57440331705203,1,direct
-5.0,1.82545,0.9969181952235652,99.69181952235651,0,vertical_offset_rows
0.0,1.8313,1.0001130082516172,100.01130082516173,1,direct
5.0,1.8273000000000001,0.997928520711069,99.79285207110689,0,vertical_offset_rows
10.0,1.8243,0.9962901550556574,99.62901550556575,1,direct
15.0,1.8171,0.9923580774826701,99.235807748267,0,vertical_offset_rows
20.0,1.8085,0.9876614292704909,98.76614292704909,1,direct
25.0,1.79475,0.9801522533498555,98.01522533498554,0,vertical_offset_rows
30.0,1.7787,0.9713869970934045,97.13869970934044,1,direct
35.0,1.75225,0.9569420732315277,95.69420732315277,0,vertical_offset_rows
40.0,1.7128,0.9353975648628681,93.5397564862868,1,direct
45.0,1.59955,0.8735492613710886,87.35492613710886,0,vertical_offset_rows
50.0,1.2148,0.6634288660645797,66.34288660645797,1,direct
55.0,0.5685199999999999,0.3104812141381584,31.04812141381584,0,vertical_offset_rows
60.0,0.20292,0.11081905293202543,11.081905293202542,1,direct
65.0,0.091487,0.04996305290554017,4.996305290554017,0,vertical_offset_rows
70.0,0.056323,0.0307592229365783,3.07592229365783,1,direct
75.0,0.0409545,0.022366148744848394,2.2366148744848395,0,vertical_offset_rows
80.0,0.032542,0.01777189838613233,1.777189838613233,1,direct
85.0,0.026631000000000002,0.014543771923086781,1.4543771923086781,0,vertical_offset_rows
90.0,0.022573,0.012327609313200327,1.2327609313200327,1,direct
95.0,0.0202675,0.011068525307016686,1.1068525307016686,0,vertical_offset_rows
100.0,0.019446,0.010619886178376538,1.0619886178376539,1,direct
105.0,0.019757499999999997,0.01079000314559675,1.079000314559675,0,vertical_offset_rows
110.0,0.019709,0.010763516234167601,1.07635162341676,1,direct
115.0,0.017532,0.009574608890224079,0.9574608890224079,0,vertical_offset_rows
120.0,0.015761,0.00860742703164623,0.860742703164623,1,direct
125.0,0.014501,0.007919313456373452,0.7919313456373452,0,vertical_offset_rows
