crossplane_x_mm_at_y0,dose_gy,relative_to_80_percent_midpoint,percent_of_80_percent_midpoint,directly_measured,interpolation_method
-125.0,0.012251499999999999,0.006487812609151147,0.6487812609151147,0,vertical_offset_rows
-120.0,0.013309,0.007047814391314747,0.7047814391314746,1,direct
-115.0,0.014301999999999999,0.007573660036410211,0.7573660036410211,0,vertical_offset_rows
-110.0,0.015358,0.008132867489804785,0.8132867489804786,1,direct
-105.0,0.016803,0.008898070870633533,0.8898070870633533,0,vertical_offset_rows
-100.0,0.019525,0.010339512810160075,1.0339512810160074,1,direct
-95.0,0.023198,0.012284559189249342,1.2284559189249342,0,vertical_offset_rows
-90.0,0.0284,0.015039291360232836,1.5039291360232836,1,direct
-85.0,0.0344905,0.01826453093873629,1.8264530938736292,0,vertical_offset_rows
-80.0,0.043757,0.023171629297524934,2.3171629297524934,1,direct
-75.0,0.0594765,0.03149593002066508,3.1495930020665077,0,vertical_offset_rows
-70.0,0.090754,0.04805900873614686,4.805900873614686,1,direct
-65.0,0.16405,0.086873089705852,8.6873089705852,0,vertical_offset_rows
-60.0,0.35407,0.1874986581661141,18.74986581661141,1,direct
-55.0,0.77439,0.4100801702975601,41.00801702975601,0,vertical_offset_rows
-50.0,1.3182,0.6980561222203847,69.80561222203848,1,direct
-45.0,1.658,0.8779980660304945,87.79980660304945,0,vertical_offset_rows
-40.0,1.794,0.9500172077555531,95.00172077555531,1,direct
-35.0,1.8493,0.9793014617069924,97.93014617069925,0,vertical_offset_rows
-30.0,1.8761,0.9934934690469305,99.34934690469305,1,direct
-25.0,1.8901,1.00090720422451,100.090720422451,0,vertical_offset_rows
-20.0,1.8931,1.0024958617625628,100.24958617625627,1,direct
-15.0,1.87745,0.9942083649390542,99.42083649390541,0,vertical_offset_rows
-10.0,1.82,0.9637855730853437,96.37855730853437,1,direct
-5.0,1.61265,0.8539828595802634,85.39828595802635,0,vertical_offset_rows
0.0,1.0725,0.5679450698538633,56.79450698538633,1,direct
5.0,0.46718,0.24739634287583015,24.739634287583016,0,vertical_offset_rows
10.0,0.20188,0.10690606126069736,10.690606126069737,1,direct
15.0,0.11725,0.06209003211222887,6.209003211222887,0,vertical_offset_rows
20.0,0.084395,0.04469158430798768,4.469158430798768,1,direct
25.0,0.068563,0.036307708927170564,3.6307708927170563,0,vertical_offset_rows
30.0,0.060286,0.03192460277968298,3.1924602779682982,1,direct
35.0,0.055080000000000004,0.029167752398648758,2.916775239864876,0,vertical_offset_rows
40.0,0.050956,0.026983877836338887,2.6983877836338888,1,direct
45.0,0.0468775,0.024824097913356154,2.4824097913356153,0,vertical_offset_rows
50.0,0.041822,0.022146945185480903,2.2146945185480904,1,direct
55.0,0.0328455,0.017393417055370692,1.7393417055370692,0,vertical_offset_rows
60.0,0.025755,0.013638624964182982,1.3638624964182982,1,direct
65.0,0.021793,0.011540537908927964,1.1540537908927964,0,vertical_offset_rows
70.0,0.019375,0.010260079933257437,1.0260079933257438,1,direct
75.0,0.018825500000000002,0.00996909082753744,0.9969090827537439,0,vertical_offset_rows
80.0,0.017807,0.009429741593368525,0.9429741593368525,1,direct
85.0,0.016796,0.008894364003044743,0.8894364003044744,0,vertical_offset_rows
90.0,0.015469,0.008191647818712738,0.8191647818712738,1,direct
95.0,0.012944,0.006854527724184994,0.6854527724184994,0,vertical_offset_rows
100.0,0.01088,0.005761531338004692,0.5761531338004692,1,direct
105.0,0.00940505,0.0049804678594210505,0.49804678594210505,0,vertical_offset_rows
110.0,0.0091951,0.004869288309382991,0.4869288309382991,1,direct
115.0,0.01002635,0.005309478835551778,0.5309478835551779,0,vertical_offset_rows
120.0,0.010735,0.005684746223665475,0.5684746223665476,1,direct
125.0,0.011104,0.0058801511008459645,0.5880151100845965,0,vertical_offset_rows
