x_aligned_mm,mcc_dose_gy,csv_dose_gy,dose_difference_gy,dose_difference_percent_of_mcc,dose_ratio_csv_to_mcc,mcc_relative,csv_relative,region
-99.0,0.0155097,0.0075887387318321715,-0.007920961268167829,-51.07101535276523,0.48928984647234774,0.008041591766268877,0.003822805747116936,tail
-98.0,0.0154894,0.007963485249146167,-0.007525914750853834,-48.587516306983055,0.5141248369301694,0.008031066461920292,0.004011583248981744,tail
-97.0,0.0154691,0.008346117445222193,-0.007122982554777807,-46.04652212978006,0.5395347787021995,0.008020541157571705,0.004204333139296951,tail
-96.0,0.0154488,0.008939945582644208,-0.006508854417355792,-42.13177992695738,0.5786822007304262,0.00801001585322312,0.004503472389804334,tail
-95.0,0.0154285,0.009517987038356308,-0.0059105129616436915,-38.3090576636983,0.616909423363017,0.007999490548874534,0.004794659143895492,tail
-94.0,0.0158046,0.009673226195741307,-0.006131373804258692,-38.79486860951047,0.6120513139048953,0.008194493847667787,0.004872860431882868,tail
-93.0,0.0161807,0.009835370494394141,-0.006345329505605858,-39.21542025750343,0.6078457974249657,0.008389497146461042,0.004954540165321609,tail
-92.0,0.0165568,0.01018244976874115,-0.00637435023125885,-38.49989268010032,0.6150010731989968,0.008584500445254295,0.0051293803715225916,tail
-91.0,0.0169329,0.010535365348692488,-0.006397534651307513,-37.78168329882957,0.6221831670117043,0.00877950374404755,0.005307160600221987,tail
-90.0,0.017309,0.011044590118161479,-0.006264409881838523,-36.19163372718541,0.638083662728146,0.008974507042840803,0.005563681142579671,tail
-89.0,0.0181755,0.011560197849375167,-0.006615302150624834,-36.396809719814215,0.6360319028018578,0.009423776807276735,0.005823417083925715,tail
-88.0,0.019042,0.01224675543220318,-0.006795244567796821,-35.68556122149365,0.6431443877850636,0.009873046571712668,0.0061692685311961854,tail
-87.0,0.019908500000000003,0.01293997367066104,-0.006968526329338963,-35.002769316316964,0.6499723068368304,0.0103223163361486,0.006518475264966974,tail
-86.0,0.020775000000000002,0.013811579017975034,-0.006963420982024968,-33.51827187496976,0.6648172812503024,0.010771586100584533,0.006957544002035663,tail
-85.0,0.0216415,0.01469026305208504,-0.006951236947914961,-32.11994061370497,0.6788005938629503,0.011220855865020465,0.007400178607626391,tail
-84.0,0.022930600000000002,0.015758529995478048,-0.007172070004521955,-31.277288882636977,0.6872271111736302,0.011889238615550598,0.00793831506942442,tail
-83.0,0.0242197,0.016832662840843497,-0.007387037159156503,-30.500118329940104,0.6949988167005989,0.012557621366080731,0.008479406462807882,tail
