Depth [mm],Dose [Gy],PDD [%]
17.6,1.566105789,87.97458014
17.7,1.558525005,87.54873643
17.8,1.550944221,87.12289272
17.9,1.543363437,86.69704901
18,1.535782653,86.2712053
18.1,1.528201869,85.84536159
18.2,1.520621085,85.41951788
18.3,1.513040301,84.99367417
18.4,1.505459517,84.56783046
18.5,1.497878732,84.14198675
18.6,1.490297948,83.71614304
18.7,1.481956297,83.24755828
18.8,1.471282554,82.64797044
18.9,1.460608812,82.0483826
19,1.44993507,81.44879477
19.1,1.439261328,80.84920693
19.2,1.428587586,80.24961909
19.3,1.417913844,79.65003126
19.4,1.407240102,79.05044342
19.5,1.39656636,78.45085558
19.6,1.385892617,77.85126775
19.7,1.375218875,77.25167991
19.8,1.364545133,76.65209207
19.9,1.353871391,76.05250424
20,1.343197649,75.4529164
20.1,1.332523907,74.85332857
20.2,1.321850165,74.25374073
20.3,1.311176423,73.65415289
20.4,1.30050268,73.05456506
20.5,1.289828938,72.45497722
20.6,1.279155196,71.85538938
20.7,1.26773861,71.21407292
20.8,1.254045174,70.44485655
20.9,1.240351739,69.67564017
21,1.226658304,68.90642379
21.1,1.212964868,68.13720742
21.2,1.199271433,67.36799104
21.3,1.185577998,66.59877466
21.4,1.171884562,65.82955828
21.5,1.158191127,65.06034191
21.6,1.144497692,64.29112553
21.7,1.130804256,63.52190915
21.8,1.117110821,62.75269277
21.9,1.103417386,61.9834764
22,1.08972395,61.21426002
22.1,1.076030515,60.44504364
22.2,1.06233708,59.67582726
22.3,1.048643645,58.90661089
22.4,1.034950209,58.13739451
22.5,1.021256774,57.36817813
22.6,1.007563339,56.59896176
22.7,0.993934903,55.83339667
22.8,0.9805056938,55.07902296
22.9,0.9670764846,54.32464925
23,0.9536472754,53.57027553
23.1,0.9402180662,52.81590182
23.2,0.926788857,52.0615281
23.3,0.9133596478,51.30715439
23.4,0.8999304386,50.55278067
23.5,0.8865012294,49.79840696
23.6,0.8730720202,49.04403325
23.7,0.859642811,48.28965953
23.8,0.8462136018,47.53528582
23.9,0.8327843926,46.7809121
24,0.8193551834,46.02653839
24.1,0.8059259742,45.27216468
24.2,0.792496765,44.51779096
24.3,0.7790675558,43.76341725
24.4,0.7656383466,43.00904353
24.5,0.7522091374,42.25466982
24.6,0.7387799282,41.50029611
24.7,0.7253682189,40.74690543
24.8,0.7120101475,39.99652782
24.9,0.6986520761,39.24615021
25,0.6852940046,38.4957726
25.1,0.6719359332,37.74539498
25.2,0.6585778618,36.99501737
25.3,0.6452197904,36.24463976
25.4,0.631861719,35.49426215
25.5,0.6185036476,34.74388453
25.6,0.6051455762,33.99350692
25.7,0.5917875048,33.24312931
25.8,0.5784294334,32.4927517
25.9,0.565071362,31.74237408
26,0.5517132906,30.99199647
26.1,0.5383552192,30.24161886
26.2,0.5249971478,29.49124125
26.3,0.5116390764,28.74086363
26.4,0.498281005,27.99048602
26.5,0.4849229336,27.24010841
26.6,0.4715648622,26.4897308
26.7,0.4589359726,25.78031431
26.8,0.4485420549,25.19644536
26.9,0.4381481372,24.61257641
27,0.4277542195,24.02870746
27.1,0.4173603018,23.44483851
27.2,0.4069663841,22.86096956
27.3,0.3965724664,22.27710061
27.4,0.3861785487,21.69323165
27.5,0.375784631,21.1093627
27.6,0.3653907133,20.52549375
27.7,0.3549967956,19.9416248
27.8,0.3446028779,19.35775585
27.9,0.3342089602,18.7738869
28,0.3238150426,18.19001794
28.1,0.3134211249,17.60614899
28.2,0.3030272072,17.02228004
28.3,0.2926332895,16.43841109
28.4,0.2822393718,15.85454214
28.5,0.2718454541,15.27067319
28.6,0.2614515364,14.68680423
28.7,0.2519038347,14.1504707
28.8,0.2449498195,13.75983517
28.9,0.2379958043,13.36919964
29,0.2310417891,12.97856411
29.1,0.2240877739,12.58792858
29.2,0.2171337587,12.19729305
29.3,0.2101797435,11.80665752
29.4,0.2032257283,11.41602198
29.5,0.1962717131,11.02538645
29.6,0.1893176979,10.63475092
29.7,0.1823636827,10.24411539
29.8,0.1754096675,9.853479858
29.9,0.1684556523,9.462844327
30,0.1615016371,9.072208796
30.1,0.1545476219,8.681573264
30.2,0.1475936067,8.290937733
30.3,0.1406395915,7.900302201
30.4,0.1336855763,7.50966667
30.5,0.1267315611,7.119031139
30.6,0.1197775459,6.728395607
30.7,0.1136852699,6.386167497
30.8,0.1102342595,6.192310101
30.9,0.1067832491,5.998452705
31,0.1033322387,5.804595308
31.1,0.09988122834,5.610737912
31.2,0.09643021794,5.416880516
31.3,0.09297920755,5.223023119
31.4,0.08952819715,5.029165723
31.5,0.08607718676,4.835308327
31.6,0.08262617636,4.641450931
31.7,0.07917516596,4.447593534
31.8,0.07572415557,4.253736138
31.9,0.07227314517,4.059878742
32,0.06882213477,3.866021345
32.1,0.06537112438,3.672163949
32.2,0.06192011398,3.478306553
32.3,0.05846910358,3.284449156
32.4,0.05501809319,3.09059176
32.5,0.05156708279,2.896734364
32.6,0.04811607239,2.702876967
32.7,0.04522918663,2.540708763
32.8,0.04407136579,2.475669222
32.9,0.04291354495,2.410629681
33,0.0417557241,2.345590139
33.1,0.04059790326,2.280550598
33.2,0.03944008242,2.215511056
33.3,0.03828226158,2.150471515
33.4,0.03712444074,2.085431973
33.5,0.03596661989,2.020392432
33.6,0.03480879905,1.95535289
33.7,0.03365097821,1.890313349
33.8,0.03249315737,1.825273807
33.9,0.03133533653,1.760234266
34,0.03017751569,1.695194724
34.1,0.02901969484,1.630155183
34.2,0.027861874,1.565115641
34.3,0.02670405316,1.5000761
34.4,0.02554623232,1.435036559
34.5,0.02438841148,1.369997017
34.6,0.02323059063,1.304957476
34.7,0.02230526844,1.252978336
34.8,0.02209256406,1.241029859
34.9,0.02187985968,1.229081383
35,0.0216671553,1.217132906
35.1,0.02145445092,1.205184429
35.2,0.02124174654,1.193235953
35.3,0.02102904216,1.181287476
35.4,0.02081633778,1.169338999
35.5,0.0206036334,1.157390523
35.6,0.02039092902,1.145442046
35.7,0.02017822464,1.133493569
35.8,0.01996552026,1.121545092
35.9,0.01975281588,1.109596616
36,0.0195401115,1.097648139
36.1,0.01932740712,1.085699662
36.2,0.01911470274,1.073751186
36.3,0.01890199836,1.061802709
36.4,0.01868929398,1.049854232
36.5,0.0184765896,1.037905756
36.6,0.01826388522,1.025957279
36.7,0.01807792487,1.015511124
36.8,0.01797393607,1.009669646
36.9,0.01786994726,1.003828169
37,0.01776595845,0.9979866915
37.1,0.01766196964,0.992145214
37.2,0.01755798083,0.9863037365
37.3,0.01745399203,0.980462259
37.4,0.01735000322,0.9746207815
37.5,0.01724601441,0.968779304
37.6,0.0171420256,0.9629378265
37.7,0.01703803679,0.957096349
37.8,0.01693404799,0.9512548715
37.9,0.01683005918,0.9454133941
38,0.01672607037,0.9395719166
38.1,0.01662208156,0.9337304391
38.2,0.01651809275,0.9278889616
38.3,0.01641410395,0.9220474841
38.4,0.01631011514,0.9162060066
38.5,0.01620612633,0.9103645291
38.6,0.01610213752,0.9045230516
38.7,0.0160191951,0.899863836
38.8,0.01600076072,0.8988283014
38.9,0.01598232634,0.8977927667
39,0.01596389196,0.8967572321
39.1,0.01594545758,0.8957216974
39.2,0.0159270232,0.8946861628
39.3,0.01590858883,0.8936506282
39.4,0.01589015445,0.8926150935
39.5,0.01587172007,0.8915795589
39.6,0.01585328569,0.8905440242
39.7,0.01583485131,0.8895084896
39.8,0.01581641693,0.8884729549
39.9,0.01579798255,0.8874374203
40,0.01577954817,0.8864018856
40.1,0.01576111379,0.885366351
40.2,0.01574267941,0.8843308163
40.3,0.01572424503,0.8832952817
40.4,0.01570581065,0.882259747
40.5,0.01568737627,0.8812242124
40.6,0.01566894189,0.8801886777
40.7,0.01566678649,0.8800675999
40.8,0.0157145268,0.8827493691
40.9,0.01576226712,0.8854311383
41,0.01581000744,0.8881129075
41.1,0.01585774775,0.8907946767
41.2,0.01590548807,0.8934764459
41.3,0.01595322838,0.8961582151
41.4,0.0160009687,0.8988399843
41.5,0.01604870902,0.9015217536
41.6,0.01609644933,0.9042035228
41.7,0.01614418965,0.906885292
41.8,0.01619192997,0.9095670612
41.9,0.01623967028,0.9122488304
42,0.0162874106,0.9149305996
42.1,0.01633515092,0.9176123688
42.2,0.01638289123,0.9202941381
42.3,0.01643063155,0.9229759073
42.4,0.01647837186,0.9256576765
42.5,0.01652611218,0.9283394457
42.6,0.0165738525,0.9310212149
42.7,0.0165979883,0.9323770218
42.8,0.01654977531,0.9296687004
42.9,0.01650156231,0.9269603791
43,0.01645334932,0.9242520577
43.1,0.01640513633,0.9215437363
43.2,0.01635692334,0.9188354149
43.3,0.01630871034,0.9161270935
43.4,0.01626049735,0.9134187721
43.5,0.01621228436,0.9107104508
43.6,0.01616407136,0.9080021294
43.7,0.01611585837,0.905293808
43.8,0.01606764538,0.9025854866
43.9,0.01601943239,0.8998771652
44,0.01597121939,0.8971688438
44.1,0.0159230064,0.8944605225
44.2,0.01587479341,0.8917522011
44.3,0.01582658041,0.8890438797
44.4,0.01577836742,0.8863355583
44.5,0.01573015443,0.8836272369
44.6,0.01568194144,0.8809189155
44.7,0.01564337955,0.8787527364
44.8,0.0156343987,0.8782482451
44.9,0.01562541785,0.8777437539
45,0.015616437,0.8772392627
45.1,0.01560745614,0.8767347714
45.2,0.01559847529,0.8762302802
45.3,0.01558949444,0.8757257889
45.4,0.01558051359,0.8752212977
45.5,0.01557153274,0.8747168065
45.6,0.01556255189,0.8742123152
45.7,0.01555357103,0.873707824
45.8,0.01554459018,0.8732033328
45.9,0.01553560933,0.8726988415
46,0.01552662848,0.8721943503
46.1,0.01551764763,0.871689859
46.2,0.01550866678,0.8711853678
46.3,0.01549968592,0.8706808766
46.4,0.01549070507,0.8701763853
46.5,0.01548172422,0.8696718941
46.6,0.01547274337,0.8691674028
46.7,0.01546405321,0.8686792412
46.8,0.01545625405,0.8682411304
46.9,0.01544845489,0.8678030196
47,0.01544065573,0.8673649088
47.1,0.01543285657,0.8669267979
47.2,0.01542505741,0.8664886871
47.3,0.01541725825,0.8660505763
47.4,0.01540945909,0.8656124655
47.5,0.01540165993,0.8651743547
47.6,0.01539386077,0.8647362439
47.7,0.01538606161,0.8642981331
47.8,0.01537826245,0.8638600223
47.9,0.01537046329,0.8634219114
48,0.01536266413,0.8629838006
48.1,0.01535486497,0.8625456898
48.2,0.01534706581,0.862107579
48.3,0.01533926664,0.8616694682
48.4,0.01533146748,0.8612313574
48.5,0.01532366832,0.8607932466
48.6,0.01531586916,0.8603551358
48.7,0.015317256,0.8604330398
48.8,0.01534679827,0.8620925505
48.9,0.01537634055,0.8637520611
49,0.01540588282,0.8654115718
49.1,0.0154354251,0.8670710824
49.2,0.01546496737,0.8687305931
49.3,0.01549450965,0.8703901037
49.4,0.01552405192,0.8720496144
49.5,0.0155535942,0.873709125
49.6,0.01558313647,0.8753686357
49.7,0.01561267875,0.8770281463
49.8,0.01564222102,0.878687657
49.9,0.0156717633,0.8803471677
50,0.01570130557,0.8820066783
50.1,0.01573084785,0.883666189
50.2,0.01576039012,0.8853256996
50.3,0.0157899324,0.8869852103
50.4,0.01581947467,0.8886447209
50.5,0.01584901695,0.8903042316
50.6,0.01587855922,0.8919637422
50.7,0.01589496204,0.8928851556
50.8,0.01587109188,0.891544271
50.9,0.01584722172,0.8902033864
51,0.01582335156,0.8888625018
51.1,0.0157994814,0.8875216172
51.2,0.01577561125,0.8861807326
51.3,0.01575174109,0.884839848
51.4,0.01572787093,0.8834989634
51.5,0.01570400077,0.8821580788
51.6,0.01568013061,0.8808171942
51.7,0.01565626046,0.8794763096
51.8,0.0156323903,0.878135425
51.9,0.01560852014,0.8767945404
52,0.01558464998,0.8754536557
52.1,0.01556077982,0.8741127711
52.2,0.01553690966,0.8727718865
52.3,0.01551303951,0.8714310019
52.4,0.01548916935,0.8700901173
52.5,0.01546529919,0.8687492327
52.6,0.01544142903,0.8674083481
52.7,0.01540209385,0.8651987296
52.8,0.01531535773,0.8603264063
52.9,0.01522862161,0.855454083
53,0.01514188549,0.8505817598
53.1,0.01505514937,0.8457094365
53.2,0.01496841325,0.8408371132
53.3,0.01488167713,0.8359647899
53.4,0.01479494101,0.8310924667
53.5,0.01470820489,0.8262201434
53.6,0.01462146877,0.8213478201
53.7,0.01453473265,0.8164754969
53.8,0.01444799653,0.8116031736
53.9,0.01436126041,0.8067308503
54,0.01427452429,0.801858527
54.1,0.01418778818,0.7969862038
54.2,0.01410105206,0.7921138805
54.3,0.01401431594,0.7872415572
54.4,0.01392757982,0.7823692339
54.5,0.0138408437,0.7774969107
54.6,0.01375410758,0.7726245874
54.7,0.01368690623,0.7688496122
54.8,0.01367957974,0.7684380536
54.9,0.01367225326,0.7680264949
55,0.01366492678,0.7676149363
55.1,0.01365760029,0.7672033776
55.2,0.01365027381,0.766791819
55.3,0.01364294732,0.7663802604
55.4,0.01363562084,0.7659687017
55.5,0.01362829436,0.7655571431
55.6,0.01362096787,0.7651455844
55.7,0.01361364139,0.7647340258
55.8,0.0136063149,0.7643224672
55.9,0.01359898842,0.7639109085
56,0.01359166193,0.7634993499
56.1,0.01358433545,0.7630877912
56.2,0.01357700897,0.7626762326
56.3,0.01356968248,0.7622646739
56.4,0.013562356,0.7618531153
56.5,0.01355502951,0.7614415567
56.6,0.01354770303,0.761029998
56.7,0.01356776011,0.7621566863
56.8,0.01367174891,0.7679981638
56.9,0.01377573772,0.7738396413
57,0.01387972653,0.7796811188
57.1,0.01398371534,0.7855225962
57.2,0.01408770415,0.7913640737
57.3,0.01419169295,0.7972055512
57.4,0.01429568176,0.8030470287
57.5,0.01439967057,0.8088885062
57.6,0.01450365938,0.8147299837
57.7,0.01460764819,0.8205714612
57.8,0.01471163699,0.8264129387
57.9,0.0148156258,0.8322544162
58,0.01491961461,0.8380958937
58.1,0.01502360342,0.8439373712
58.2,0.01512759223,0.8497788487
58.3,0.01523158103,0.8556203262
58.4,0.01533556984,0.8614618037
58.5,0.01543955865,0.8673032812
58.6,0.01554354746,0.8731447587
58.7,0.01560340862,0.8765074052
58.8,0.01552801673,0.872272334
58.9,0.01545262484,0.8680372628
59,0.01537723296,0.8638021916
59.1,0.01530184107,0.8595671204
59.2,0.01522644919,0.8553320493
59.3,0.0151510573,0.8510969781
59.4,0.01507566542,0.8468619069
59.5,0.01500027353,0.8426268357
59.6,0.01492488164,0.8383917645
59.7,0.01484948976,0.8341566933
59.8,0.01477409787,0.8299216222
59.9,0.01469870599,0.825686551
60,0.0146233141,0.8214514798
60.1,0.01454792221,0.8172164086
60.2,0.01447253033,0.8129813374
60.3,0.01439713844,0.8087462662
60.4,0.01432174656,0.8045111951
60.5,0.01424635467,0.8002761239
60.6,0.01417096279,0.7960410527
60.7,0.01412498933,0.7934585355
60.8,0.01416918458,0.7959411634
60.9,0.01421337982,0.7984237914
61,0.01425757506,0.8009064193
61.1,0.01430177031,0.8033890472
61.2,0.01434596555,0.8058716752
61.3,0.01439016079,0.8083543031
61.4,0.01443435604,0.810836931
61.5,0.01447855128,0.813319559
61.6,0.01452274652,0.8158021869
61.7,0.01456694177,0.8182848148
61.8,0.01461113701,0.8207674428
61.9,0.01465533225,0.8232500707
62,0.0146995275,0.8257326987
62.1,0.01474372274,0.8282153266
62.2,0.01478791798,0.8306979545
62.3,0.01483211323,0.8331805825
62.4,0.01487630847,0.8356632104
62.5,0.01492050372,0.8381458383
62.6,0.01496469896,0.8406284663
62.7,0.01498895246,0.8419908847
62.8,0.0149520837,0.8399198154
62.9,0.01491521494,0.8378487461
63,0.01487834618,0.8357776768
63.1,0.01484147742,0.8337066075
63.2,0.01480460866,0.8316355382
63.3,0.0147677399,0.8295644689
63.4,0.01473087114,0.8274933996
63.5,0.01469400238,0.8254223303
63.6,0.01465713362,0.823351261
63.7,0.01462026487,0.8212801917
63.8,0.01458339611,0.8192091225
63.9,0.01454652735,0.8171380532
64,0.01450965859,0.8150669839
64.1,0.01447278983,0.8129959146
64.2,0.01443592107,0.8109248453
64.3,0.01439905231,0.808853776
64.4,0.01436218355,0.8067827067
64.5,0.01432531479,0.8047116374
64.6,0.01428844603,0.8026405681
64.7,0.01425826328,0.8009450793
64.8,0.01424857341,0.8004007598
64.9,0.01423888355,0.7998564403
65,0.01422919368,0.7993121208
65.1,0.01421950382,0.7987678013
65.2,0.01420981395,0.7982234818
65.3,0.01420012408,0.7976791623
65.4,0.01419043422,0.7971348428
65.5,0.01418074435,0.7965905233
65.6,0.01417105449,0.7960462038
65.7,0.01416136462,0.7955018843
65.8,0.01415167475,0.7949575648
65.9,0.01414198489,0.7944132453
66,0.01413229502,0.7938689258
66.1,0.01412260515,0.7933246063
66.2,0.01411291529,0.7927802869
66.3,0.01410322542,0.7922359674
66.4,0.01409353556,0.7916916479
66.5,0.01408384569,0.7911473284
66.6,0.01407415582,0.7906030089
66.7,0.01405946599,0.7897778205
66.8,0.01402945103,0.7880917577
66.9,0.01399943608,0.7864056949
67,0.01396942113,0.7847196321
67.1,0.01393940618,0.7830335692
67.2,0.01390939123,0.7813475064
67.3,0.01387937628,0.7796614436
67.4,0.01384936133,0.7779753808
67.5,0.01381934637,0.7762893179
67.6,0.01378933142,0.7746032551
67.7,0.01375931647,0.7729171923
67.8,0.01372930152,0.7712311295
67.9,0.01369928657,0.7695450667
68,0.01366927162,0.7678590038
68.1,0.01363925667,0.766172941
68.2,0.01360924171,0.7644868782
68.3,0.01357922676,0.7628008154
68.4,0.01354921181,0.7611147525
68.5,0.01351919686,0.7594286897
68.6,0.01348918191,0.7577426269
68.7,0.01347224828,0.7567913954
68.8,0.01349540942,0.7580924517
68.9,0.01351857056,0.7593935081
69,0.01354173171,0.7606945645
69.1,0.01356489285,0.7619956208
69.2,0.013588054,0.7632966772
69.3,0.01361121514,0.7645977335
69.4,0.01363437628,0.7658987899
69.5,0.01365753743,0.7671998462
69.6,0.01368069857,0.7685009026
69.7,0.01370385971,0.7698019589
69.8,0.01372702086,0.7711030153
69.9,0.013750182,0.7724040716
70,0.01377334314,0.773705128
70.1,0.01379650429,0.7750061843
70.2,0.01381966543,0.7763072407
70.3,0.01384282657,0.777608297
70.4,0.01386598772,0.7789093534
70.5,0.01388914886,0.7802104097
70.6,0.01391231001,0.7815114661
70.7,0.01392948281,0.782476133
70.8,0.01392830112,0.7824097525
70.9,0.01392711943,0.7823433721
71,0.01392593774,0.7822769917
71.1,0.01392475605,0.7822106113
71.2,0.01392357436,0.7821442308
71.3,0.01392239267,0.7820778504
71.4,0.01392121098,0.78201147
71.5,0.01392002928,0.7819450896
71.6,0.01391884759,0.7818787091
71.7,0.0139176659,0.7818123287
71.8,0.01391648421,0.7817459483
71.9,0.01391530252,0.7816795679
72,0.01391412083,0.7816131874
72.1,0.01391293914,0.781546807
72.2,0.01391175745,0.7814804266
72.3,0.01391057576,0.7814140462
72.4,0.01390939407,0.7813476657
72.5,0.01390821237,0.7812812853
72.6,0.01390703068,0.7812149049
72.7,0.01390265134,0.780968899
72.8,0.01388847104,0.7801723339
72.9,0.01387429075,0.7793757688
73,0.01386011046,0.7785792037
73.1,0.01384593017,0.7777826386
73.2,0.01383174988,0.7769860735
73.3,0.01381756958,0.7761895083
73.4,0.01380338929,0.7753929432
73.5,0.013789209,0.7745963781
73.6,0.01377502871,0.773799813
73.7,0.01376084842,0.7730032479
73.8,0.01374666812,0.7722066828
73.9,0.01373248783,0.7714101177
74,0.01371830754,0.7706135525
74.1,0.01370412725,0.7698169874
74.2,0.01368994696,0.7690204223
74.3,0.01367576666,0.7682238572
74.4,0.01366158637,0.7674272921
74.5,0.01364740608,0.766630727
74.6,0.01363322579,0.7658341619
74.7,0.0136289873,0.7655960686
74.8,0.01365522084,0.767069714
74.9,0.01368145438,0.7685433595
75,0.01370768792,0.7700170049
75.1,0.01373392146,0.7714906504
75.2,0.013760155,0.7729642959
75.3,0.01378638854,0.7744379413
75.4,0.01381262208,0.7759115868
75.5,0.01383885562,0.7773852322
75.6,0.01386508916,0.7788588777
75.7,0.0138913227,0.7803325231
75.8,0.01391755624,0.7818061686
75.9,0.01394378978,0.7832798141
76,0.01397002332,0.7847534595
76.1,0.01399625686,0.786227105
76.2,0.0140224904,0.7877007504
76.3,0.01404872394,0.7891743959
76.4,0.01407495748,0.7906480414
76.5,0.01410119102,0.7921216868
76.6,0.01412742456,0.7935953323
76.7,0.01413929772,0.7942622962
76.8,0.01410715573,0.7924567487
76.9,0.01407501373,0.7906512011
77,0.01404287174,0.7888456535
77.1,0.01401072974,0.7870401059
77.2,0.01397858775,0.7852345583
77.3,0.01394644575,0.7834290107
77.4,0.01391430375,0.7816234631
77.5,0.01388216176,0.7798179155
77.6,0.01385001976,0.7780123679
77.7,0.01381787777,0.7762068204
77.8,0.01378573577,0.7744012728
77.9,0.01375359378,0.7725957252
78,0.01372145178,0.7707901776
78.1,0.01368930979,0.76898463
78.2,0.01365716779,0.7671790824
78.3,0.0136250258,0.7653735348
78.4,0.0135928838,0.7635679872
78.5,0.01356074181,0.7617624396
78.6,0.01352859981,0.7599568921
78.7,0.01350012059,0.7583570972
78.8,0.0134828679,0.757387943
78.9,0.01346561521,0.7564187888
79,0.01344836252,0.7554496346
79.1,0.01343110983,0.7544804803
79.2,0.01341385714,0.7535113261
79.3,0.01339660446,0.7525421719
79.4,0.01337935177,0.7515730177
79.5,0.01336209908,0.7506038635
79.6,0.01334484639,0.7496347092
79.7,0.0133275937,0.748665555
