metric,mcc,csv_aligned_or_width,csv_minus_mcc
normalization_position_mm,-25.32913786121118,-25.32913786121118,0.0
normalization_dose_gy,1.8892639898325234,1.9724930310726354,0.08322904124011199
peak_position_mm,-20.0,-20.77010177476907,-0.7701017747690706
peak_relative_dose,1.0022950790312057,1.0066724214199814,0.004377342388775629
fwhm_mm,54.51397041614871,52.802711661858474,-1.7112587542902347
left_50_mm,-53.21332408639108,-52.400310752345604,0.813013334045479
right_50_mm,1.3006463297576285,0.4024009095128669,-0.8982454202447616
left_penumbra_mm,12.590803861644972,11.597705994912346,-0.9930978667326258
right_penumbra_mm,10.080047547846203,8.915956637858915,-1.1640909099872871
flatness_percent,6.8713491548381604,12.15206132544735,5.28071217060919
symmetry_percent,7.167137567367721,6.967212301667313,-0.1999252657004078
