Depth [mm],Dose [Gy],PDD [%]
0,1.409252764,79.18377734
0.09523809524,1.41304865,79.3970624
0.1904761905,1.416844535,79.61034746
0.2857142857,1.420640421,79.82363252
0.380952381,1.424436306,80.03691757
0.4761904762,1.428232192,80.25020263
0.5714285714,1.432028077,80.46348769
0.6666666667,1.435823963,80.67677275
0.7619047619,1.439619849,80.8900578
0.8571428571,1.443415734,81.10334286
0.9523809524,1.44721162,81.31662792
1.047619048,1.451007505,81.52991298
1.142857143,1.454803391,81.74319803
1.238095238,1.458599276,81.95648309
1.333333333,1.462395162,82.16976815
1.428571429,1.466191047,82.38305321
1.523809524,1.469986933,82.59633826
1.619047619,1.473782819,82.80962332
1.714285714,1.477141239,82.99832789
1.80952381,1.480345196,83.17835338
1.904761905,1.483549153,83.35837887
2,1.48675311,83.53840436
2.095238095,1.489957067,83.71842985
2.19047619,1.493161024,83.89845533
2.285714286,1.496364981,84.07848082
2.380952381,1.499568938,84.25850631
2.476190476,1.502772895,84.4385318
2.571428571,1.505976852,84.61855729
2.666666667,1.509180809,84.79858278
2.761904762,1.512384766,84.97860826
2.857142857,1.515588723,85.15863375
2.952380952,1.51879268,85.33865924
3.047619048,1.521996637,85.51868473
3.142857143,1.525200594,85.69871022
3.238095238,1.528404551,85.8787357
3.333333333,1.531608508,86.05876119
3.428571429,1.534812465,86.23878668
3.523809524,1.538016422,86.41881217
3.619047619,1.541220379,86.59883766
3.714285714,1.543661742,86.73601416
3.80952381,1.545833843,86.85806118
3.904761905,1.548005943,86.9801082
4,1.550178043,87.10215522
4.095238095,1.552350143,87.22420225
4.19047619,1.554522244,87.34624927
4.285714286,1.556694344,87.46829629
4.380952381,1.558866444,87.59034331
4.476190476,1.561038544,87.71239033
4.571428571,1.563210645,87.83443735
4.666666667,1.565382745,87.95648438
4.761904762,1.567554845,88.0785314
4.857142857,1.569726945,88.20057842
4.952380952,1.571899046,88.32262544
5.047619048,1.574071146,88.44467246
5.142857143,1.576243246,88.56671948
5.238095238,1.578415346,88.6887665
5.333333333,1.580587447,88.81081353
5.428571429,1.582759547,88.93286055
5.523809524,1.584931647,89.05490757
5.619047619,1.587103747,89.17695459
5.714285714,1.588643539,89.26347315
5.80952381,1.58996007,89.33744702
5.904761905,1.591276601,89.41142089
6,1.592593131,89.48539477
6.095238095,1.593909662,89.55936864
6.19047619,1.595226193,89.63334251
6.285714286,1.596542724,89.70731638
6.380952381,1.597859255,89.78129025
6.476190476,1.599175786,89.85526412
6.571428571,1.600492316,89.92923799
6.666666667,1.601808847,90.00321186
6.761904762,1.603125378,90.07718574
6.857142857,1.604441909,90.15115961
6.952380952,1.60575844,90.22513348
7.047619048,1.60707497,90.29910735
7.142857143,1.608391501,90.37308122
7.238095238,1.609708032,90.44705509
7.333333333,1.611024563,90.52102896
7.428571429,1.612341094,90.59500284
7.523809524,1.613657624,90.66897671
7.619047619,1.614974155,90.74295058
7.714285714,1.616686456,90.83916215
7.80952381,1.618538498,90.94322559
7.904761905,1.62039054,91.04728903
8,1.622242582,91.15135247
8.095238095,1.624094624,91.25541591
8.19047619,1.625946666,91.35947936
8.285714286,1.627798709,91.4635428
8.380952381,1.629650751,91.56760624
8.476190476,1.631502793,91.67166968
8.571428571,1.633354835,91.77573313
8.666666667,1.635206877,91.87979657
8.761904762,1.637058919,91.98386001
8.857142857,1.638910962,92.08792345
8.952380952,1.640763004,92.19198689
9.047619048,1.642615046,92.29605034
9.142857143,1.644467088,92.40011378
9.238095238,1.64631913,92.50417722
9.333333333,1.648171172,92.60824066
9.428571429,1.650023214,92.7123041
9.523809524,1.651875257,92.81636755
9.619047619,1.653727299,92.92043099
9.714285714,1.655786683,93.03614467
9.80952381,1.657919277,93.15597191
9.904761905,1.660051872,93.27579915
10,1.662184466,93.39562639
10.0952381,1.66431706,93.51545363
10.19047619,1.666449654,93.63528087
10.28571429,1.668582249,93.75510812
10.38095238,1.670714843,93.87493536
10.47619048,1.672847437,93.9947626
10.57142857,1.674980032,94.11458984
10.66666667,1.677112626,94.23441708
10.76190476,1.67924522,94.35424432
10.85714286,1.681377814,94.47407156
10.95238095,1.683510409,94.59389881
11.04761905,1.685643003,94.71372605
11.14285714,1.687775597,94.83355329
11.23809524,1.689908192,94.95338053
11.33333333,1.692040786,95.07320777
11.42857143,1.69417338,95.19303501
11.52380952,1.696305974,95.31286225
11.61904762,1.698438569,95.4326895
11.71428571,1.69983617,95.5112186
11.80952381,1.700974254,95.57516582
11.9047619,1.702112338,95.63911303
12,1.703250422,95.70306024
12.0952381,1.704388506,95.76700746
12.19047619,1.70552659,95.83095467
12.28571429,1.706664674,95.89490188
12.38095238,1.707802758,95.9588491
12.47619048,1.708940842,96.02279631
12.57142857,1.710078926,96.08674353
12.66666667,1.71121701,96.15069074
12.76190476,1.712355094,96.21463795
12.85714286,1.713493178,96.27858517
12.95238095,1.714631262,96.34253238
13.04761905,1.715769346,96.40647959
13.14285714,1.71690743,96.47042681
13.23809524,1.718045514,96.53437402
13.33333333,1.719183598,96.59832123
13.42857143,1.720321682,96.66226845
13.52380952,1.721459766,96.72621566
13.61904762,1.72259785,96.79016288
13.71428571,1.723985825,96.86815111
13.80952381,1.725462034,96.95109708
13.9047619,1.726938244,97.03404304
14,1.728414453,97.116989
14.0952381,1.729890662,97.19993496
14.19047619,1.731366871,97.28288092
14.28571429,1.732843081,97.36582688
14.38095238,1.73431929,97.44877284
14.47619048,1.735795499,97.5317188
14.57142857,1.737271708,97.61466477
14.66666667,1.738747918,97.69761073
14.76190476,1.740224127,97.78055669
14.85714286,1.741700336,97.86350265
14.95238095,1.743176545,97.94644861
15.04761905,1.744652755,98.02939457
15.14285714,1.746128964,98.11234053
15.23809524,1.747605173,98.1952865
15.33333333,1.749081382,98.27823246
15.42857143,1.750557592,98.36117842
15.52380952,1.752033801,98.44412438
15.61904762,1.75351001,98.52707034
15.71428571,1.754253074,98.56882194
15.80952381,1.754737272,98.5960283
15.9047619,1.75522147,98.62323465
16,1.755705668,98.650441
16.0952381,1.756189866,98.67764735
16.19047619,1.756674064,98.7048537
16.28571429,1.757158262,98.73206006
16.38095238,1.75764246,98.75926641
16.47619048,1.758126658,98.78647276
16.57142857,1.758610856,98.81367911
16.66666667,1.759095054,98.84088546
16.76190476,1.759579252,98.86809182
16.85714286,1.76006345,98.89529817
16.95238095,1.760547648,98.92250452
17.04761905,1.761031846,98.94971087
17.14285714,1.761516044,98.97691722
17.23809524,1.762000242,99.00412358
17.33333333,1.76248444,99.03132993
17.42857143,1.762968638,99.05853628
17.52380952,1.763452836,99.08574263
17.61904762,1.763937034,99.11294898
17.71428571,1.764621465,99.15140615
17.80952381,1.765376596,99.19383584
17.9047619,1.766131728,99.23626553
18,1.766886859,99.27869522
18.0952381,1.767641991,99.32112492
18.19047619,1.768397122,99.36355461
18.28571429,1.769152254,99.4059843
18.38095238,1.769907385,99.44841399
18.47619048,1.770662517,99.49084369
18.57142857,1.771417648,99.53327338
18.66666667,1.77217278,99.57570307
18.76190476,1.772927911,99.61813277
18.85714286,1.773683043,99.66056246
18.95238095,1.774438174,99.70299215
19.04761905,1.775193305,99.74542184
19.14285714,1.775948437,99.78785154
19.23809524,1.776703568,99.83028123
19.33333333,1.7774587,99.87271092
19.42857143,1.778213831,99.91514061
19.52380952,1.778968963,99.95757031
19.61904762,1.779724094,100
19.71428571,1.779317183,99.97713627
19.80952381,1.778499968,99.93121818
19.9047619,1.777682752,99.8853001
20,1.776865537,99.83938201
20.0952381,1.776048322,99.79346392
20.19047619,1.775231107,99.74754584
20.28571429,1.774413891,99.70162775
20.38095238,1.773596676,99.65570967
20.47619048,1.772779461,99.60979158
20.57142857,1.771962246,99.56387349
20.66666667,1.77114503,99.51795541
20.76190476,1.770327815,99.47203732
20.85714286,1.7695106,99.42611924
20.95238095,1.768693385,99.38020115
21.04761905,1.76787617,99.33428306
21.14285714,1.767058954,99.28836498
21.23809524,1.766241739,99.24244689
21.33333333,1.765424524,99.19652881
21.42857143,1.764607309,99.15061072
21.52380952,1.763790093,99.10469263
21.61904762,1.762972878,99.05877455
21.71428571,1.761861533,98.99632975
21.80952381,1.760646334,98.92804955
21.9047619,1.759431135,98.85976935
22,1.758215936,98.79148916
22.0952381,1.757000736,98.72320896
22.19047619,1.755785537,98.65492876
22.28571429,1.754570338,98.58664857
22.38095238,1.753355139,98.51836837
22.47619048,1.75213994,98.45008818
22.57142857,1.750924741,98.38180798
22.66666667,1.749709542,98.31352778
22.76190476,1.748494343,98.24524759
22.85714286,1.747279144,98.17696739
22.95238095,1.746063945,98.1086872
23.04761905,1.744848745,98.040407
23.14285714,1.743633546,97.9721268
23.23809524,1.742418347,97.90384661
23.33333333,1.741203148,97.83556641
23.42857143,1.739987949,97.76728622
23.52380952,1.73877275,97.69900602
23.61904762,1.737557551,97.63072582
23.71428571,1.734992845,97.48661889
23.80952381,1.731951644,97.31573842
23.9047619,1.728910443,97.14485794
24,1.725869242,96.97397747
24.0952381,1.722828041,96.80309699
24.19047619,1.71978684,96.63221652
24.28571429,1.716745639,96.46133604
24.38095238,1.713704438,96.29045556
24.47619048,1.710663237,96.11957509
