depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
8.763,37528.22,0.212256808,190.3056253,1.903056253,190.3056253,100
8.89,37893.23,0.208053148,185.1619999,1.851619999,185.1619999,97.29717638
9.017,37926.86,0.2076678853,184.69059,1.8469059,184.69059,97.04946439
9.144,37910.11,0.2078597293,184.9253315,1.849253315,184.9253315,97.17281414
9.271,37880.16,0.2082029691,185.345322,1.85345322,185.345322,97.39350677
9.398,38014.05,0.2066706323,183.4703448,1.834703448,183.4703448,96.40826146
9.525,37968.48,0.2071915626,184.1077585,1.841077585,184.1077585,96.74320358
9.652,38024.44,0.2065519471,183.3251209,1.833251209,183.3251209,96.33195057
9.779,38041.94,0.2063521176,183.0806082,1.830806082,183.0806082,96.20346637
9.906,38094.06,0.2057575124,182.3530454,1.823530454,182.3530454,95.82115356
10.033,38039.68,0.206377919,183.1121789,1.831121789,183.1121789,96.22005586
10.16,37988.11,0.206967087,183.8330887,1.838330887,183.8330887,96.59887269
10.287,38147.21,0.2051519937,181.6121289,1.816121289,181.6121289,95.43182376
10.414,38154.3,0.2050712837,181.5133716,1.815133716,181.5133716,95.37992972
10.541,38201.03,0.2045397011,180.8629237,1.808629237,180.8629237,95.03813849
10.668,38161.43,0.2049901335,181.4140757,1.814140757,181.4140757,95.32775262
10.795,38139.48,0.2052400064,181.7198217,1.817198217,181.7198217,95.48841317
10.922,38216.93,0.204358977,180.6417886,1.806417886,180.6417886,94.9219385
11.049,38212.12,0.204413641,180.7086757,1.807086757,180.7086757,94.95708572
11.176,38258.43,0.2038876298,180.0650451,1.800650451,180.0650451,94.61887681
11.303,38311.5,0.2032856177,179.3284193,1.793284193,179.3284193,94.23180162
11.43,38342.03,0.2029396712,178.9051169,1.789051169,178.9051169,94.00936868
11.557,38401.22,0.2022697518,178.0853992,1.780853992,178.0853992,93.5786312
11.684,38355.63,0.2027856533,178.7166596,1.787166596,178.7166596,93.91033995
11.811,38420.2,0.2020551526,177.8228142,1.778228142,177.8228142,93.4406505
11.938,38536.01,0.2007480279,176.223408,1.76223408,176.223408,92.60020967
12.065,38593.18,0.2001042088,175.4356269,1.754356269,175.4356269,92.18625391
12.192,38615.75,0.1998502997,175.124942,1.75124942,175.124942,92.02299816
12.319,38650.41,0.1994606686,174.648187,1.74648187,174.648187,91.77247742
12.446,38700.45,0.198898759,173.9606307,1.739606307,173.9606307,91.41118684
12.573,38728.65,0.1985824152,173.5735505,1.735735505,173.5735505,91.20778759
12.7,38816.93,0.1975935895,172.3636169,1.723636169,172.3636169,90.57200315
12.827,38876.16,0.196931413,171.5533736,1.715533736,171.5533736,90.14624414
12.954,38984.22,0.1957259246,170.0783302,1.700783302,170.0783302,89.37115232
13.081,38998.6,0.1955657572,169.8823483,1.698823483,169.8823483,89.26816959
13.208,39082.55,0.1946318817,168.7396523,1.687396523,168.7396523,88.66771649
13.335,39126.7,0.1941415534,168.1396834,1.681396834,168.1396834,88.35245054
13.462,39218.01,0.193129221,166.9009869,1.669009869,166.9009869,87.70155201
13.589,39206.77,0.1932537089,167.0533112,1.670533112,167.0533112,87.78159392
13.716,39280.92,0.192433123,166.049237,1.66049237,166.049237,87.25398252
13.843,39385.22,0.1912814982,164.6401014,1.646401014,164.6401014,86.51352329
13.97,39522.27,0.1897728931,162.7941626,1.627941626,162.7941626,85.54353682
14.097,39619.17,0.1887094008,161.4928666,1.614928666,161.4928666,84.8597441
14.224,39680.47,0.1880379663,160.671295,1.60671295,160.671295,84.42803244
14.351,39711.19,0.1877018724,160.2600484,1.602600484,160.2600484,84.21193443
14.478,39950.94,0.1850877717,157.0614179,1.570614179,157.0614179,82.53114835
14.605,40030.73,0.1842212639,156.0011535,1.560011535,156.0011535,81.97401062
14.732,40069.3,0.1838030184,155.4893856,1.554893856,155.4893856,81.70509166
14.859,40149.49,0.1829347409,154.4269556,1.544269556,154.4269556,81.14681602
14.986,40240.21,0.1819545354,153.2275699,1.532275699,153.2275699,80.51657416
15.113,40319.08,0.18110416,152.1870452,1.521870452,152.1870452,79.96980907
15.24,40422.62,0.1799903149,150.8241371,1.508241371,150.8241371,79.25364102
15.367,40580.88,0.1782933134,148.8069789,1.488069789,148.8069789,78.19368381
15.494,40556.05,0.1785591241,149.1168245,1.491168245,149.1168245,78.35649855
15.621,40824.44,0.1756945378,145.7776834,1.457776834,145.7776834,76.60187826
15.748,40892.1,0.1749753597,144.9393644,1.449393644,144.9393644,76.16136634
15.875,41053.5,0.1732645852,142.9451786,1.429451786,142.9451786,75.11348045
16.002,41088.32,0.1728963895,142.5159866,1.425159866,142.5159866,74.88795269
16.129,41161.68,0.1721216818,141.6129389,1.416129389,141.6129389,74.41342772
16.256,41249.95,0.1711913474,140.5284829,1.405284829,140.5284829,73.84357801
16.383,41400.01,0.1696143279,138.6902101,1.386902101,138.6902101,72.87761986
16.51,41550.79,0.1680354885,136.8498162,1.368498162,136.8498162,71.91054703
16.637,41697.3,0.1665068396,135.0679273,1.350679273,135.0679273,70.97421694
16.764,41817.58,0.1652558775,133.6097276,1.336097276,133.6097276,70.20797592
16.891,41993.28,0.1634349762,131.487171,1.31487171,131.487171,69.09263499
17.018,42086.63,0.162470622,130.3630594,1.303630594,130.3630594,68.50194746
17.145,42194.65,0.1613573851,129.0654008,1.290654008,129.0654008,67.82006608
17.272,42265.71,0.160626605,128.2135578,1.282135578,128.2135578,67.37244769
17.399,42463.29,0.1586011342,125.8525423,1.258525423,125.8525423,66.13180355
17.526,42618.86,0.1570129452,124.0012497,1.240012497,124.0012497,65.15900387
17.653,42742.67,0.1557531262,122.5327259,1.225327259,122.5327259,64.38733785
17.78,42858.7,0.1545757801,121.1603376,1.211603376,121.1603376,63.66618822
17.907,42948.12,0.153670616,120.1052216,1.201052216,120.1052216,63.11175588
18.034,43124.08,0.1518949308,118.0353719,1.180353719,118.0353719,62.02411081
18.161,43293.07,0.1501963903,116.0554467,1.160554467,116.0554467,60.98371843
18.288,43496.66,0.148158864,113.6803786,1.136803786,113.6803786,59.7356901
18.415,43616.73,0.146961671,112.2848554,1.122848554,112.2848554,59.00238381
18.542,43793.05,0.1452095809,110.2425095,1.102425095,110.2425095,57.92919119
18.669,43871.05,0.144436745,109.3416437,1.093416437,109.3416437,57.45581274
18.796,44080.38,0.1423694441,106.9318683,1.069318683,106.9318683,56.18954679
18.923,44216.68,0.1410286433,105.368947,1.05368947,105.368947,55.36827766
19.05,44463.98,0.1386064398,102.545475,1.02545475,102.545475,53.88462627
19.177,44623.99,0.1370463743,100.7269649,1.007269649,100.7269649,52.92905283
19.304,44751.55,0.1358066919,99.5246983,0.995246983,99.5246983,52.29729713
19.431,44868.74,0.1346709,98.6483752,0.986483752,98.6483752,51.83681515
19.558,44732.23,0.1359942246,99.66938966,0.9966938966,99.66938966,52.37332818
19.685,44606.23,0.1372192545,100.928485,1.00928485,100.928485,53.03494566
19.812,45402.05,0.1295393112,94.68908494,0.9468908494,94.68908494,49.75632476
19.939,45650.35,0.1271706623,92.86154784,0.9286154784,92.86154784,48.79600785
20.066,45819.76,0.1255619638,91.62035249,0.9162035249,91.62035249,48.14379625
20.193,46022.17,0.1236476816,90.14338318,0.9014338318,90.14338318,47.36769239
20.32,46204.77,0.1219279611,88.81652855,0.8881652855,88.81652855,46.67046937
20.447,46377.15,0.1203107173,87.56873999,0.8756873999,87.56873999,46.01479324
20.574,46559.51,0.1186063728,86.25374868,0.8625374868,86.25374868,45.32380404
20.701,46793.86,0.1164259025,84.57140131,0.8457140131,84.57140131,44.43978006
20.828,46958.34,0.1149020379,83.39565972,0.8339565972,83.39565972,43.82196249
20.955,47156.6,0.113072289,81.98391238,0.8198391238,81.98391238,43.08013085
21.082,47251.6,0.112198255,81.30954922,0.8130954922,81.30954922,42.72577287
21.209,47412.39,0.1107229258,80.17125521,0.8017125521,80.17125521,42.1276329
21.336,47603.31,0.1089776223,78.82466193,0.7882466193,78.82466193,41.42003781
21.463,47866.54,0.1065827379,76.97688284,0.7697688284,76.97688284,40.44908433
21.59,48066.12,0.1047757075,75.58266395,0.7558266395,75.58266395,39.71646337
21.717,48171.01,0.1038290216,74.85224607,0.7485224607,74.85224607,39.33265029
21.844,48482.61,0.1010287824,72.69171442,0.7269171442,72.69171442,38.19735455
21.971,48649.7,0.09953460736,71.53887989,0.7153887989,71.53887989,37.59157397
22.098,48931.47,0.09702651084,69.60375169,0.6960375169,69.60375169,36.57472111
