depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
0,36418.39,0.2252940315,206.6731236,2.066731236,206.6731236,90.03944503
0.127,36325.17,0.2264071184,208.1254378,2.081254378,208.1254378,90.67216187
0.254,36304.02,0.2266600561,208.4554614,2.084554614,208.4554614,90.81594032
0.381,36292.8,0.2267942984,208.6306158,2.086306158,208.6306158,90.89224828
0.508,36201.17,0.227892167,210.0630736,2.100630736,210.0630736,91.51631446
0.635,36138.08,0.2286496989,211.051473,2.11051473,211.051473,91.94692162
0.762,36111.23,0.2289724925,211.472642,2.11472642,211.472642,92.13040858
0.889,36036.16,0.2298762674,212.6518536,2.126518536,212.6518536,92.64414524
1.016,36010.29,0.230188155,213.0587929,2.130587929,213.0587929,92.82143288
1.143,35905.41,0.2314548836,214.711573,2.14711573,214.711573,93.54148492
1.27,35946.45,0.2309587671,214.0642588,2.140642588,214.0642588,93.25947526
1.397,35912.51,0.2313690139,214.5995335,2.145995335,214.5995335,93.49267365
1.524,35873.1,0.2318458657,215.2217118,2.152217118,215.2217118,93.76373256
1.651,35858.51,0.2320225342,215.4522222,2.154522222,215.4522222,93.86415698
1.778,35766.79,0.2331348091,216.9034769,2.169034769,216.9034769,94.49641222
1.905,35792.06,0.2328280791,216.5032671,2.165032671,216.5032671,94.32205638
2.032,35688.94,0.2340811247,218.1381942,2.181381942,218.1381942,95.03433055
2.159,35573,0.2354942815,219.9820283,2.199820283,219.9820283,95.83761738
2.286,35571.36,0.235514304,220.0081529,2.200081529,220.0081529,95.84899884
2.413,35522.7,0.2361088058,220.7838366,2.207838366,220.7838366,96.18693407
2.54,35534.97,0.2359588207,220.5881417,2.205881417,220.5881417,96.10167743
2.667,35476.5,0.2366740067,221.5212896,2.215212896,221.5212896,96.5082137
2.794,35482.84,0.236596401,221.4200325,2.214200325,221.4200325,96.46409991
2.921,35528.04,0.2360435248,220.6986603,2.206986603,220.6986603,96.14982609
3.048,35440.31,0.2371172618,222.0996323,2.220996323,222.0996323,96.76017511
3.175,35436.61,0.2371626049,222.1587943,2.221587943,222.1587943,96.78594969
3.302,35416.9,0.2374042286,222.4740559,2.224740559,222.4740559,96.92329691
3.429,35374.9,0.237919553,223.1464318,2.231464318,223.1464318,97.21622498
3.556,35326.25,0.2385172358,223.926266,2.23926266,223.926266,97.55596839
3.683,35313.3,0.2386764699,224.1340287,2.241340287,224.1340287,97.64648254
3.81,35309.37,0.2387248051,224.1970946,2.241970946,224.1970946,97.67395788
3.937,35288.01,0.238987606,224.5399874,2.245399874,224.5399874,97.82334298
4.064,35302.02,0.2388152172,224.315061,2.24315061,224.315061,97.72535126
4.191,35301.04,0.2388272736,224.3307917,2.243307917,224.3307917,97.73220452
4.318,35258.25,0.2393540211,225.018072,2.25018072,225.018072,98.03162585
4.445,35316.5,0.2386371171,224.0826826,2.240826826,224.0826826,97.62411302
4.572,35245.33,0.2395131927,225.2257532,2.252257532,225.2257532,98.12210447
4.699,35287.73,0.238991052,224.5444837,2.245444837,224.5444837,97.82530181
4.826,35247.86,0.239482019,225.185079,2.25185079,225.185079,98.1043843
4.953,35339.05,0.2383599034,223.7209846,2.237209846,223.7209846,97.46653527
5.08,35300.18,0.238837854,224.3445965,2.243445965,224.3445965,97.73821876
5.207,35231.01,0.2396896802,225.4560275,2.254560275,225.4560275,98.22242604
5.334,35201.29,0.2400561948,225.9342421,2.259342421,225.9342421,98.43076551
5.461,35152.1,0.2406634988,226.7266297,2.267266297,226.7266297,98.77597798
5.588,35204.26,0.2400195541,225.8864346,2.258864346,225.8864346,98.40993768
5.715,35168.8,0.2404572239,226.4574899,2.264574899,226.4574899,98.65872425
5.842,35156.18,0.2406130945,226.660864,2.26660864,226.660864,98.74732642
5.969,35124.34,0.2410066014,227.1742971,2.271742971,227.1742971,98.97100929
6.096,35144.87,0.2407528327,226.8431891,2.268431891,226.8431891,98.8267584
6.223,35189.82,0.2401977285,226.11891,2.2611891,226.11891,98.51121814
6.35,35098.49,0.2413263411,227.5914815,2.275914815,227.5914815,99.15276031
6.477,35127.15,0.2409718586,227.128966,2.27128966,227.128966,98.95126028
6.604,35104.03,0.2412577968,227.5020475,2.275020475,227.5020475,99.11379737
6.731,35068.91,0.2416925064,228.0692402,2.280692402,228.0692402,99.36090121
6.858,35111.25,0.2411684828,227.3855138,2.273855138,227.3855138,99.06302819
6.985,35225.65,0.2397557582,225.5422437,2.255422437,225.5422437,98.25998705
7.112,35107.26,0.2412178383,227.449911,2.27449911,227.449911,99.09108355
