depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
0,40256.72,0.1817763869,153.0095863,1.530095863,153.0095863,83.63010746
0.127,40067.33,0.1838243709,155.5155127,1.555155127,155.5155127,84.99976603
0.254,40052.85,0.1839813497,155.7075929,1.557075929,155.7075929,85.1047509
0.381,39964.1,0.1849447369,156.8863996,1.568863996,156.8863996,85.74904865
0.508,39862.74,0.1860476269,158.2359029,1.582359029,158.2359029,86.48664365
0.635,39831.13,0.1863921465,158.6574593,1.586574593,158.6574593,86.71705278
0.762,39803.4,0.1866946029,159.0275469,1.590275469,159.0275469,86.91933072
0.889,39770.47,0.1870540504,159.4673693,1.594673693,159.4673693,87.15972346
1.016,39729.06,0.1875064842,160.0209701,1.600209701,160.0209701,87.46230385
1.143,39659.63,0.1882661157,160.9504601,1.609504601,160.9504601,87.97033309
1.27,39599.53,0.1889247425,161.7563601,1.617563601,161.7563601,88.41081204
1.397,39492.26,0.1901027863,163.1978221,1.631978221,163.1978221,89.1986687
1.524,39455.87,0.1905031499,163.6877095,1.636877095,163.6877095,89.46642538
1.651,39418.56,0.1909140189,164.1904514,1.641904514,164.1904514,89.74120791
1.778,39427.95,0.1908105767,164.063879,1.64063879,164.063879,89.67202749
1.905,39348.55,0.1916860407,165.1351023,1.651351023,165.1351023,90.25752363
2.032,39273.25,0.1925179317,166.1530095,1.661530095,166.1530095,90.81387888
2.159,39223.97,0.1930632258,166.8202348,1.668202348,166.8202348,91.17856275
2.286,39103.47,0.1943994759,168.4552791,1.684552791,168.4552791,92.07222523
2.413,39115.9,0.1942614467,168.2863856,1.682863856,168.2863856,91.9799135
2.54,39112.43,0.194299975,168.3335291,1.683335291,168.3335291,92.0056806
2.667,39026.81,0.1952517198,169.4980901,1.694980901,169.4980901,92.64219214
2.794,38993.63,0.1956211074,169.9500752,1.699500752,169.9500752,92.8892326
2.921,39081.54,0.1946431052,168.7533854,1.687533854,168.7533854,92.23516054
3.048,39018.7,0.1953419781,169.6085308,1.696085308,169.6085308,92.70255544
3.175,39018.71,0.1953418668,169.6083946,1.696083946,169.6083946,92.702481
3.302,39024.51,0.1952773152,169.5294088,1.695294088,169.5294088,92.65930993
3.429,38941.08,0.1962067817,170.66671,1.7066671,170.66671,93.2809221
3.556,38925.07,0.1963853716,170.8852338,1.708852338,170.8852338,93.40036015
3.683,38935.75,0.1962662292,170.7394503,1.707394503,170.7394503,93.32067959
3.81,38865.73,0.1970479446,171.6959623,1.716959623,171.6959623,93.84347821
3.937,38862.45,0.1970845976,171.7408112,1.717408112,171.7408112,93.86799115
4.064,38807.11,0.1977034722,172.4980702,1.724980702,172.4980702,94.28188451
4.191,38853.75,0.1971818324,171.8597884,1.718597884,171.8597884,93.93302026
4.318,38844.58,0.1972843438,171.9852219,1.719852219,171.9852219,94.00157819
4.445,38861.12,0.1970994608,171.7589979,1.717589979,171.7589979,93.87793144
4.572,38777.86,0.1980309355,172.8987563,1.728987563,172.8987563,94.50088665
4.699,38840.13,0.197334099,172.0461027,1.720461027,172.0461027,94.03485369
4.826,38803.43,0.1977446575,172.5484647,1.725484647,172.5484647,94.30942852
4.953,38759.27,0.198239185,173.1535718,1.731535718,173.1535718,94.64016055
5.08,38738.42,0.1984728704,173.4395107,1.734395107,173.4395107,94.79644558
5.207,38719.02,0.1986904173,173.7057025,1.737057025,173.7057025,94.94193743
5.334,38715.36,0.1987314719,173.7559372,1.737559372,173.7559372,94.96939407
5.461,38658.72,0.1993673035,174.5339448,1.745339448,174.5339448,95.39462798
5.588,38710.28,0.1987884612,173.8256696,1.738256696,173.8256696,95.00750758
5.715,38638.85,0.1995905818,174.8071495,1.748071495,174.8071495,95.54395284
5.842,38630.41,0.1996854564,174.9232387,1.749232387,174.9232387,95.60740344
5.969,38589.96,0.2001404455,175.4799663,1.754799663,175.4799663,95.9116928
6.096,38574.32,0.200316495,175.6953815,1.756953815,175.6953815,96.02943184
6.223,38506.27,0.2010833222,176.6336763,1.766336763,176.6336763,96.54227348
6.35,38522.84,0.200896477,176.4050513,1.764050513,176.4050513,96.41731444
6.477,38423.8,0.2020144608,177.7730235,1.777730235,177.7730235,97.16500393
6.604,38382.39,0.2024827599,178.3460373,1.783460373,178.3460373,97.47819482
6.731,38429.16,0.2019538823,177.6988992,1.776988992,177.6988992,97.12449001
6.858,38398.19,0.2023040206,178.1273307,1.781273307,178.1273307,97.35865688
6.985,38506.02,0.2010861418,176.6371264,1.766371264,176.6371264,96.54415922
7.112,38388.78,0.2024104635,178.2575749,1.782575749,178.2575749,97.42984412
7.239,38303.97,0.2033709853,179.4328755,1.794328755,179.4328755,98.07222558
7.366,38339.57,0.2029675362,178.9392126,1.789392126,178.9392126,97.80240533
7.493,38262.67,0.2038395017,180.0061552,1.800061552,180.0061552,98.38556178
7.62,38276.18,0.2036861856,179.8185567,1.798185567,179.8185567,98.28302646
7.747,38276.12,0.2036868664,179.8193897,1.798193897,179.8193897,98.28348176
7.874,38162.15,0.2049819396,181.4040496,1.814040496,181.4040496,99.14960579
8.001,38193.84,0.2046214494,180.9629515,1.809629515,180.9629515,98.90851578
8.128,38050.58,0.2062534928,182.9599303,1.829599303,182.9599303,100
8.255,38146.31,0.2051622401,181.6246664,1.816246664,181.6246664,99.27018781
8.382,38291.91,0.2035077444,179.6002149,1.796002149,179.6002149,98.16368785
8.509,38177.96,0.2048020553,181.183942,1.81183942,181.183942,99.02930204
8.636,38342.49,0.2029344609,178.8987415,1.788987415,178.8987415,97.78028513
8.763,38340.09,0.2029616459,178.9320052,1.789320052,178.9320052,97.79846599
8.89,38335.41,0.2030146614,178.9968754,1.789968754,178.9968754,97.83392196
9.017,38310.87,0.2032927594,179.3371579,1.793371579,179.3371579,98.01990937
9.144,38273.1,0.2037211337,179.8613194,1.798613194,179.8613194,98.30639921
9.271,38309.43,0.2033090836,179.3571323,1.793571323,179.3571323,98.03082676
9.398,38344.04,0.2029169048,178.8772598,1.788772598,178.8772598,97.76854392
9.525,38308.72,0.2033171326,179.3669811,1.793669811,179.3669811,98.03620979
9.652,38310.74,0.2032942331,179.3389611,1.793389611,179.3389611,98.02089495
9.779,38340.5,0.2029570016,178.9263225,1.789263225,178.9263225,97.79536001
9.906,38322.92,0.2031561813,179.17004,1.7917004,179.17004,97.92856815
10.033,38350.68,0.202841705,178.7852448,1.787852448,178.7852448,97.71825148
10.16,38351.03,0.2028377415,178.780395,1.78780395,178.780395,97.71560077
10.287,38288.6,0.203545287,179.6461522,1.796461522,179.6461522,98.18879572
10.414,38423.65,0.2020161562,177.775098,1.77775098,177.775098,97.1661378
10.541,38413.23,0.2021339473,177.9192279,1.779192279,177.9192279,97.24491455
10.668,38431.45,0.2019280034,177.6672336,1.776672336,177.6672336,97.10718262
10.795,38415.61,0.2021070402,177.8863042,1.778863042,177.8863042,97.22691951
10.922,38340.96,0.2029517911,178.9199469,1.789199469,178.9199469,97.7918753
11.049,38408.68,0.202185392,177.9821759,1.779821759,177.9821759,97.27931993
11.176,38481.73,0.2013601858,176.9724483,1.769724483,176.9724483,96.72743537
11.303,38461.16,0.2015923953,177.2565814,1.772565814,177.2565814,96.88273338
11.43,38507.01,0.2010749761,176.623464,1.76623464,176.623464,96.53669179
11.557,38490.07,0.201266073,176.8572913,1.768572913,176.8572913,96.66449425
11.684,38499.27,0.2011622791,176.7302885,1.767302885,176.7302885,96.59507862
11.811,38630.13,0.1996886042,174.9270904,1.749270904,174.9270904,95.60950868
11.938,38616.5,0.1998418649,175.1146211,1.751146211,175.1146211,95.71200691
12.065,38633.43,0.199651506,174.8816967,1.748816967,174.8816967,95.58469796
12.192,38699.19,0.1989128988,173.9779323,1.739779323,173.9779323,95.09072946
12.319,38797.43,0.1978118156,172.6306399,1.726306399,172.6306399,94.35434283
12.446,38777.45,0.1980355273,172.9043749,1.729043749,172.9043749,94.5039576
12.573,38886.18,0.1968194917,171.4164259,1.714164259,171.4164259,93.69069265
12.7,38875.83,0.1969350995,171.5578844,1.715578844,171.5578844,93.76800928
12.827,39011.57,0.1954213453,169.7056449,1.697056449,169.7056449,92.7556349
12.954,38963.15,0.1959607134,170.3656193,1.703656193,170.3656193,93.11635562
13.081,38987.6,0.1956882722,170.0322584,1.700322584,170.0322584,92.93415131
13.208,39147.52,0.1939105192,167.8569885,1.678569885,167.8569885,91.74521888
13.335,39100.07,0.194437239,168.5014862,1.685014862,168.5014862,92.09748053
13.462,39250.14,0.1927735637,166.4658024,1.664658024,166.4658024,90.98484143
13.589,39375.22,0.1913917806,164.7750437,1.647750437,164.7750437,90.0607272
13.716,39474.31,0.1903002265,163.4394111,1.634394111,163.4394111,89.33071349
13.843,39515.63,0.1898458636,162.8834497,1.628834497,162.8834497,89.02684292
13.97,39546.34,0.189508478,162.4706226,1.624706226,162.4706226,88.8012049
14.097,39593.13,0.188994938,161.8422517,1.618422517,161.8422517,88.45775766
14.224,39703.65,0.1877843401,160.3609564,1.603609564,160.3609564,87.64812937
14.351,39744.98,0.1873324911,159.808071,1.59808071,159.808071,87.34594006
14.478,39898.9,0.1856538514,157.7540767,1.577540767,157.7540767,86.22329297
14.605,40051.56,0.1839953374,155.7247084,1.557247084,155.7247084,85.11410567
14.732,40080.12,0.1836857607,155.3459083,1.553459083,155.3459083,84.90706578
14.859,40192.73,0.1824672682,153.8549531,1.538549531,153.8549531,84.09215769
14.986,40275.55,0.1815732941,152.7610805,1.527610805,152.7610805,83.49428222
