dose_cgy,net_od,mean_signal,source_file
0.0,0.0,61180.7468,6MeV_0cGy.tif
50.0,0.07161832272775996,51879.57995555556,6MeV_50cGy.tif
100.0,0.13642272473512992,44688.116355555554,6MeV_100cGy.tif
150.0,0.17931678371256418,40485.35857777778,6MeV_150cGy.tif
200.0,0.22017959635377177,36849.8036,6MeV_200cGy.tif
250.0,0.25850074408365226,33737.58795555556,6MeV_250cGy.tif
300.0,0.2917762482975462,31249.1728,6MeV_300cGy.tif
