depth_mm,intensity,net_od,dose_cgy,dose_gy,smoothed_dose_cgy,pdd_percent
8.763,35137.34,0.2408458928,226.9646106,2.269646106,226.9646106,98.91009154
8.89,35143.32,0.2407719868,226.8681808,2.268681808,226.8681808,98.8680679
9.017,35064.49,0.2417472472,228.1406641,2.281406641,228.1406641,99.42261003
9.144,35029.4,0.2421820753,228.7080114,2.287080114,228.7080114,99.6698573
9.271,35032.44,0.242144387,228.6588372,2.286588372,228.6588372,99.64842739
9.398,35065.52,0.2417344903,228.1240192,2.281240192,228.1240192,99.4153563
9.525,35046.4,0.2419713604,228.4330786,2.284330786,228.4330786,99.55004287
9.652,35032.72,0.2421409159,228.6543082,2.286543082,228.6543082,99.64645368
9.779,35016.16,0.2423462558,228.9222281,2.289222281,228.9222281,99.76321188
9.906,35127.74,0.2409645642,227.1194485,2.271194485,227.1194485,98.97756919
10.033,35215.4,0.2398821481,225.7071525,2.257071525,225.7071525,98.36209733
10.16,35108.85,0.2411981696,227.4242481,2.274242481,227.4242481,99.11039939
10.287,35186.03,0.2402445052,226.1799425,2.261799425,226.1799425,98.56813695
10.414,35254.52,0.2393999679,225.0780217,2.250780217,225.0780217,98.08792516
10.541,35246.12,0.2395034584,225.2130523,2.252130523,225.2130523,98.14677082
10.668,35276.38,0.2391307617,224.7267716,2.247267716,224.7267716,97.93485201
10.795,35297.97,0.2388650442,224.3800734,2.243800734,224.3800734,97.7837626
10.922,35278.29,0.2391072479,224.6960917,2.246960917,224.6960917,97.92148187
11.049,35208.33,0.2399693478,225.8209273,2.258209273,225.8209273,98.41167985
11.176,35250.61,0.2394481372,225.1408712,2.251408712,225.1408712,98.11531467
11.303,35277.26,0.2391199279,224.7126361,2.247126361,224.7126361,97.92869186
11.43,35387.58,0.2377639097,222.9433542,2.229433542,222.9433542,97.15764728
11.557,35472.47,0.2367233438,221.5856628,2.215856628,221.5856628,96.56597183
11.684,35497.1,0.2364218998,221.19235,2.2119235,221.19235,96.394568
11.811,35614.52,0.2349876784,219.3210315,2.193210315,219.3210315,95.57905637
11.938,35638.81,0.2346915796,218.9346929,2.189346929,218.9346929,95.41069183
12.065,35713.08,0.2337874672,217.7550409,2.177550409,217.7550409,94.89660513
12.192,35729.97,0.2335821223,217.4871145,2.174871145,217.4871145,94.7798441
12.319,35761.2,0.2332026904,216.9920459,2.169920459,216.9920459,94.56409556
12.446,35789.61,0.232857808,216.5420562,2.165420562,216.5420562,94.36799223
12.573,35799.62,0.2327363571,216.3835917,2.163835917,216.3835917,94.29893413
12.7,35881.6,0.2317429734,215.0874618,2.150874618,215.0874618,93.73408693
12.827,36056.5,0.2296312064,212.3321072,2.123321072,212.3321072,92.53331656
12.954,36055.4,0.2296444559,212.3493946,2.123493946,212.3493946,92.54085036
13.081,36079.53,0.2293539024,211.9702914,2.119702914,211.9702914,92.37563897
13.208,36157.81,0.2284126556,210.7421876,2.107421876,210.7421876,91.84043724
13.335,36132.57,0.2287159212,211.1378773,2.111378773,211.1378773,92.01287689
13.462,36266.5,0.2271091291,209.0413951,2.090413951,209.0413951,91.09923997
13.589,36325.15,0.2264073575,208.1257498,2.081257498,208.1257498,90.70020615
13.716,36452.06,0.2248926974,206.149478,2.06149478,206.149478,89.83895633
13.843,36519.06,0.2240951836,205.1089118,2.051089118,205.1089118,89.38548256
13.97,36539.43,0.2238530056,204.792927,2.04792927,204.792927,89.24777791
14.097,36572.48,0.2234603628,204.2806213,2.042806213,204.2806213,89.02451755
14.224,36702.53,0.2219187716,202.2692107,2.022692107,202.2692107,88.14795444
14.351,36815.54,0.2205835989,200.5271274,2.005271274,200.5271274,87.38876286
14.478,36859.53,0.2200649807,199.8597555,1.998597555,199.8597555,87.09792539
14.605,36902.97,0.2195534537,199.2338478,1.992338478,199.2338478,86.82515781
14.732,36979.52,0.2186535042,198.1326639,1.981326639,198.1326639,86.3452671
14.859,37137.09,0.2168069037,195.8731516,1.958731516,195.8731516,85.36058248
14.986,37198.07,0.2160943665,195.0012865,1.950012865,195.0012865,84.98062784
15.113,37356.74,0.2142458041,192.7393737,1.927393737,192.7393737,83.99489705
15.24,37399.5,0.2137489778,192.1314538,1.921314538,192.1314538,83.72996847
15.367,37497.55,0.212611881,190.7400949,1.907400949,190.7400949,83.12362089
15.494,37584.92,0.2116011437,189.5033502,1.895033502,189.5033502,82.5846535
15.621,37761.65,0.2095638113,187.0104572,1.870104572,187.0104572,81.49826264
15.748,37866.3,0.2083619026,185.539794,1.85539794,185.539794,80.85735464
15.875,38046.44,0.2063007477,183.0177517,1.830177517,183.0177517,79.75826068
16.002,38034.52,0.2064368341,183.1842678,1.831842678,183.1842678,79.83082762
16.129,38078.95,0.2059298094,182.5638691,1.825638691,182.5638691,79.56046082
16.256,38239.71,0.2041001838,180.3251276,1.803251276,180.3251276,78.58482797
16.383,38339.88,0.2029640246,178.9349159,1.789349159,178.9349159,77.97898036
16.51,38467.94,0.2015158439,177.1629126,1.771629126,177.1629126,77.20674981
16.637,38641.86,0.1995567512,174.7657542,1.747657542,174.7657542,76.16207963
16.764,38735.34,0.1985074015,173.4817632,1.734817632,173.4817632,75.60252252
16.891,38938.87,0.1962314297,170.6968694,1.706968694,170.6968694,74.38887913
17.018,38992.83,0.1956300176,169.9609777,1.699609777,169.9609777,74.06818104
17.145,39160.5,0.1937665457,167.6808215,1.676808215,167.6808215,73.07449988
17.272,39159.9,0.1937731998,167.6889635,1.676889635,167.6889635,73.07804813
